date, pm25, o3, no2
2020-07-02,61,57,12
2020-07-03,55,57,9
2020-07-04,59,44,11
2020-07-05,30,56,12
2020-07-06,46,69,10
2020-07-07,55,46,4
2020-07-08,55,57,10
2020-07-09,46,82,12
2020-07-10,63,84,14
2020-07-11,61,51,7
2020-07-12,57,45,5
2020-07-13,63,48,8
2020-07-14,53,54,11
2020-07-15,50,65,13
2020-07-16,57,61,14
2020-07-17,55,62,10
2020-07-18,68,48,7
2020-07-19,34,70,9
2020-07-20,38,55,11
2020-07-21,50,56,11
2020-07-22,63,66,10
2020-07-23,63,63,8
2020-07-24,61,44,12
2020-07-25,42,49,10
2020-07-26,34,55,7
2020-07-27,42,68,6
2020-07-28,59,71,9
2020-07-29,70,63,15
2020-07-30,63,76,12
2020-07-31,74,56,5
2020-08-01,70, , 
2020-06-02,61,45,8
2020-06-03,50,42,6
2020-06-04,34,37,7
2020-06-05,34,47,5
2020-06-06,25,48,8
2020-06-07,53,35,5
2020-06-08,34,27,3
2020-06-09,38,37,4
2020-06-10,30,35,7
2020-06-11,25,37,6
2020-06-12,53,47,6
2020-06-13,30,46,6
2020-06-14,30,49,7
2020-06-15,21,48,8
2020-06-16,55,44,5
2020-06-17,42,46,3
2020-06-18,46,37,6
2020-06-19,21,43,6
2020-06-20,34,55,6
2020-06-21,34,49,9
2020-06-22,50,58,12
2020-06-23,38,79,11
2020-06-24,55,94,11
2020-06-25,57,70,11
2020-06-26,50,69,8
2020-06-27,61,57,11
2020-06-28,53,55,9
2020-06-29,55,44,6
2020-06-30,59,54,9
2020-07-01,68,48,7
2020-05-02,46,38,6
2020-05-03,34,41,6
2020-05-04,34,45,9
2020-05-05,53,32,13
2020-05-06,34,40,8
2020-05-07,50,48,9
2020-05-08,61,53,11
2020-05-09,55,44,10
2020-05-10,38,45,2
2020-05-11,42,29,6
2020-05-12,30,32,6
2020-05-13,34,15,12
2020-05-14,55,39,6
2020-05-15,76,35,6
2020-05-16,38,36,3
2020-05-17,55,39,5
2020-05-18,59,38,5
2020-05-19,55,33,4
2020-05-20,59,49,5
2020-05-21,53,63,7
2020-05-22,65,57,6
2020-05-23,61,44,10
2020-05-24,55,45,5
2020-05-25,53,53,8
2020-05-26,46,45,5
2020-05-27,42,49,7
2020-05-28,46,53,11
2020-05-29,42,46,5
2020-05-30,38,50,6
2020-05-31,42,50,5
2020-06-01,70,57,6
2020-04-02,61,37,8
2020-04-03,78,41,8
2020-04-04,91,45,11
2020-04-05,91,47,7
2020-04-06,78,46,11
2020-04-07,87,53,11
2020-04-08,91,46,11
2020-04-09,78,51,8
2020-04-10,72,53,11
2020-04-11,74,49,7
2020-04-12,63,42,4
2020-04-13,53,50, 
2020-04-14,59,41,4
2020-04-15,61,37,6
2020-04-16,50,45,13
2020-04-17,59,41,15
2020-04-18,53,43,10
2020-04-19,57,35,4
2020-04-20,61,33,6
2020-04-21,61,29,6
2020-04-22,59,45,7
2020-04-23,68,48,15
2020-04-24,72,54,17
2020-04-25,72,42,5
2020-04-26,50,41,4
2020-04-27,30,33,9
2020-04-28,30,31,10
2020-04-29,38,38,6
2020-04-30,25,34,10
2020-05-01,34,30,6
2020-03-07,157,33,12
2020-03-08,172,37,13
2020-03-10,59,34,19
2020-03-11,65,36,11
2020-03-12,50,32,9
2020-03-13,53,32,18
2020-03-14,38,40,6
2020-03-15,70,23,6
2020-03-16,53,33,7
2020-03-17,78,36,11
2020-03-18,76,38,11
2020-03-19,114,43,15
2020-03-20,132,45,15
2020-03-21,97,34,11
2020-03-22,74,41,7
2020-03-23,89,29,5
2020-03-24,50,31,9
2020-03-25,61,35,10
2020-03-26,59,32,5
2020-03-27,55,26,5
2020-03-28,80,27,8
2020-03-29,112,37,8
2020-03-30,109,39,5
2020-03-31,80,35,10
2020-04-01,38,31,6
2020-02-02,127,14,11
2020-02-03,85,7,16
2020-02-04,57,32,14
2020-02-05,53,32,8
2020-02-06,34,20,17
2020-02-07,57,18,27
2020-02-08,95,12,22
2020-02-09,112,4,14
2020-02-10,158,17,20
2020-02-11,159,33,19
2020-02-12,59,32,23
2020-02-13,34,23,18
2020-02-14,76,28,22
2020-02-15,127,24,20
2020-02-16,139,17,18
2020-02-17,158,4,17
2020-02-18,160,35,22
2020-02-19,153,29,27
2020-02-20,97,26,20
