date, pm25, pm10, o3, no2
2020-07-02,61,18,85,9
2020-07-03,57,8,55,8
2020-07-04,30,9,60,8
2020-07-05,30,14,70,6
2020-07-06,50,23,90,6
2020-07-07,70,12,47,6
2020-07-08,30,16,66,8
2020-07-09,46,24,89,10
2020-07-10,63,27,108,8
2020-07-11,68,20,72,7
2020-07-12,63,7,45,5
2020-07-13,17,10,50,9
2020-07-14,30,13,55,9
2020-07-15,42,16,65,11
2020-07-16,53,20,75,9
2020-07-17,53,21,54,8
2020-07-18,61,8,48,8
2020-07-19,21,10,70,6
2020-07-20,38,18,81,15
2020-07-21,57,20,91,11
2020-07-22,59,18,103,12
2020-07-23,55,14,91,8
2020-07-24,42,11,54,99
2020-07-25,30,9,73,16
2020-07-26,34,12,58,12
2020-07-27,42,16,79,9
2020-07-28,50,21,118,12
2020-07-29,63,19,89,15
2020-07-30,57,26,66,12
2020-07-31,70,20,108,17
2020-08-01,57, , , 
2020-06-02,57,16,69,9
2020-06-03,55,10,57,11
2020-06-04,34,6,32,15
2020-06-05,21,9,55,18
2020-06-06,25,13,51,11
2020-06-07,53,10,31,8
2020-06-08,21,5,37,8
2020-06-09,21,8,39,9
2020-06-10,30,10,34,13
2020-06-11,34,7,41,13
2020-06-12,38,11,53,9
2020-06-13,42,13,53,9
2020-06-14,53,10,45,8
2020-06-15,30,12,49,7
2020-06-16,46,10,41,8
2020-06-17,38,6,44, 
2020-06-18,17,11,48,11
2020-06-19,30,10,46,14
2020-06-20,30,8,59,11
2020-06-21,25,7,55,6
2020-06-22,30,10,79,17
2020-06-23,42,15,92,12
2020-06-24,53,21,75,13
2020-06-25,59,21,64,10
2020-06-26,59,14,66,16
2020-06-27,50,21,78,6
2020-06-28,63,17,71,5
2020-06-29,57,18,68,7
2020-06-30,57,20,57,9
2020-07-01,57,23,72,14
2020-05-02,25,7,38,6
2020-05-03,25,6,45,6
2020-05-04,21,9,51,13
2020-05-05,42,16,48,12
