date, pm25, pm10, o3, no2
2020-07-02,30,22,48,30
2020-07-03,38,11,39,33
2020-07-04,25,8,38,34
2020-07-05,30,10,46,20
2020-07-06,34,15,54,33
2020-07-07,42,21,32,20
2020-07-08,30,18,45,31
2020-07-09,30,17,61,31
2020-07-10,46,20,72,33
2020-07-11,50,22,53,20
2020-07-12,50,10,34,14
2020-07-13,25,13,36,23
2020-07-14,25,13,41,29
2020-07-15,30,10,36,30
2020-07-16,25,17,57,37
2020-07-17,38,16,37,23
2020-07-18,34,10,39,21
2020-07-19,21,10,48,17
2020-07-20,21,18,61,33
2020-07-21,42,16,66,35
2020-07-22,42,21,58,35
2020-07-23,50,12,53,30
2020-07-24,25,12,30,27
2020-07-25,21,9,45,25
2020-07-26,17,13,46,20
2020-07-27,30,17,56,28
2020-07-28,42,20,74,29
2020-07-29,50,22,68,31
2020-07-30,53, ,74, 
2020-08-01,42, , , 
2020-06-02,21,9,41,16
2020-06-03,21,5,34,20
2020-06-04,17,4,25,38
2020-06-05,13,7,31,22
2020-06-06,17,7,29,11
2020-06-07,17,8,26,13
2020-06-08,25,13,19,20
2020-06-09,46, ,24,25
2020-06-10,30,6,31,25
2020-06-11,25,9, ,24
2020-06-12,30,8,34,27
2020-06-13,34,9,33,22
2020-06-14,30,8,35,15
2020-06-15,13,6,25,19
2020-06-16,25,11,36,23
2020-06-17,25,8,34,20
2020-06-18,30,7,36,15
2020-06-19,25,5,34,29
2020-06-21,21,8,43,19
2020-06-22,34,10,45,29
2020-06-23,38, ,59,27
2020-06-26,21,19,48,27
2020-06-27,42,12,48,27
2020-06-28,34,14,64,18
2020-06-29,34,12,44,23
2020-06-30,25,19, ,33
2020-07-01,34,18,42,27
2020-05-02,13,9,33,15
2020-05-03,30,12,31,15
2020-05-04,38,12,40,29
2020-05-05,42,12,39,26
2020-05-06,38,17,26,26
2020-05-07,42,15,41,27
2020-05-08,38,17, ,24
2020-05-09,46,10,43,17
2020-05-10,34,12,42,14
2020-05-11,34,4,30,17
2020-05-12,13,8,26,25
2020-05-13,21,13,22,24
2020-05-14,25,26,26,25
2020-05-15,53,15,32,27
2020-05-16,38,11,25,23
2020-05-20,53,15, ,32
2020-05-21,46,11,38,29
2020-05-22,42,15,46,33
2020-05-23,53,14,41,16
2020-05-24,50,13,36,14
2020-05-25,42,10,42,26
2020-05-26,38,15,33,20
2020-05-27,38,9,35,22
2020-05-28,30,8,45,27
2020-05-30,21,8,33,24
2020-05-31,25,10,35,18
2020-06-01,25,11,39,20
2020-04-02,50,19,36,33
2020-04-03,59,20,38,33
2020-04-04,61,21,40,31
2020-04-05,63,20,38,21
2020-04-06,57,27,42,27
2020-04-07,72,27,41,31
2020-04-08,70,19,41,32
2020-04-09,55,17,43,36
2020-04-10,50,18,50,31
2020-04-11,55,19,54,27
2020-04-12,59,9,43,9
2020-04-13,34,13,46,15
2020-04-14,53,17,43,15
2020-04-15,50,16,33,25
2020-04-16,38,14,38,27
2020-04-17,42,18,42,30
2020-04-18,53,17,43,24
2020-04-19,38,20,38,15
2020-04-20,46,14,20,28
2020-04-21,25,16,19,25
2020-04-22,34,21,36,29
2020-04-23,55,25,37,28
2020-04-24,61,20,47,23
2020-04-25,59,14,39,8
2020-04-26,42,11,43,20
2020-04-27,25,10, ,17
2020-04-28,25,8,25,18
2020-04-29,21,11,28,28
2020-04-30,30,8,26,11
2020-05-01,13,6,28,13
2020-03-02,82,16,24,32
2020-03-03,38,9,17,26
2020-03-04,21,16,19,33
2020-03-05,42,20,15,44
2020-03-06,46,21,22,37
2020-03-07,59,31,22,42
2020-03-08,72,13,29,47
2020-03-09,38,22,22,44
2020-03-10,59,23,23,43
2020-03-11,65,20,26,37
2020-03-12,57,30,31,30
2020-03-13,76,20,20,31
2020-03-14,55,26,24,19
2020-03-15,68,11,29,21
2020-03-16,38,18,30,40
2020-03-17,57,24,32,38
2020-03-18,68,32,40,36
2020-03-19,76,27,39,32
2020-03-20,70,31,34,33
2020-03-21,80,24,38,22
2020-03-22,63,19,24,14
2020-03-23,50,14,28,21
2020-03-24,38,17,30,28
2020-03-25,55,20,26,19
2020-03-26,50,14,24,20
2020-03-27,46,36,15,20
2020-03-28,61,72,35,19
2020-03-29,72,67,35,25
2020-03-30,63,42,27,25
2020-03-31,55,10,30,26
2020-04-01,34,14,32,27
