date,pm25,pm10,o3,so2
2020-07-02,46,10,43,7
2020-07-03,30,6,34,5
2020-07-04,5,9,1,7
2020-07-05,21,14,49,4
2020-07-06,46,17,27,11
2020-07-07,55,6,32,2
2020-07-09,46,20,41,9
2020-07-10,55,25,57,14
2020-07-11,59,11,14,9
2020-07-12,21,5,39,3
2020-07-13,21,10,41,4
2020-07-14,30,11,33,8
2020-07-15,38,10,24,6
2020-07-16,34,10,36,7
2020-07-17,34,6,7,11
2020-07-18,13,6,48,5
2020-07-19,13,7,48,4
2020-07-20,25,14,70,9
2020-07-21,46,16,32,8
2020-07-22,50,12,44,4
2020-07-23,46,10,58,6
2020-07-24,34,10,9,13
2020-07-25,25,9,29,5
2020-07-26,25,11,38,4
2020-07-27,38,15,47,5
2020-07-28,50,20,29,8
2020-07-29,57,18,52,4
2020-07-30,57,20,49,7
2020-07-31,61,14,18,9
2020-08-01,42, ,37,6
2020-06-02,30,13,41,2
2020-06-03,42,16,45,4
2020-06-04,46,10,35,2
2020-06-05,25,4,39,3
2020-06-06,13,10,44,3
2020-06-07,34,7,21,2
2020-06-08,25,6,13,5
2020-06-09,17,5,25,3
2020-06-10,13,6,24,4
2020-06-11,17,5,34,2
2020-06-12,13,10,43,4
2020-06-13,25,15,45,3
2020-06-14,42,11,30,7
2020-06-15,38,5,17,7
2020-06-16,17,7,36, 
2020-06-17,17,9,31,2
2020-06-18,17,6,45,3
2020-06-19,17,6,25,6
2020-06-20,17,5,37,3
2020-06-21,13,5,39,5
2020-06-22,17,9,33,6
2020-06-23,25,13,45,5
2020-06-24,30,20,59,5
2020-06-25,53,19,48,8
2020-06-26,55,20,34,10
2020-06-27,53,20,58,7
2020-06-28,57,14,55,4
2020-06-29,46,15,37,10
2020-06-30,42,13,50,6
2020-07-01,42,19,30,9
2020-05-02,17,7,23,3
2020-05-03,21,12,39,2
2020-05-04,34,11,33,4
2020-05-05,30,25,28,8
2020-05-06,50,16,26,5
2020-05-07,38,16,36,5
2020-05-08,38,22,46,4
2020-05-09,55,24,64,6
2020-05-10,59,21,54,3
2020-05-11,59,10,36,3
2020-05-12,34,9,22,4
2020-05-13,25,10,31,4
2020-05-14,25,16,32,6
2020-05-15,38,11,25,2
2020-05-16,25,8,19,3
2020-05-17,21,13,26,2
2020-05-18,34,10,35,5
2020-05-19,21,12,37,5
2020-05-20,21,9,35,4
2020-05-21,13,10,43,2
2020-05-22,17,18,49,4
2020-05-23,46,18,49,10
2020-05-24,57,3,37,2
2020-05-25,13,8,37,3
2020-05-26,17,10,38,1
2020-05-27,21,11,41,3
2020-05-28,30,20,40,6
2020-05-29,34,10,40,1
2020-05-30,25,14,43,5
2020-05-31,38,9,37,3
2020-06-01,30,10,39,5
2020-04-02,38,21,36,15
2020-04-03,61,20,42,16
2020-04-04,61,16,43,9
2020-04-05,55,12,36,5
2020-04-06,46,18,33,12
2020-04-07,55,20,11,17
2020-04-08,61,21,44,2
2020-04-09,57,18,39,10
2020-04-10,57,26,46,14
2020-04-11,61,24,54,9
2020-04-12,65,19,48,3
2020-04-13,59,16,48,4
2020-04-14,57,20,43,5
2020-04-15,55,20,34,7
2020-04-16,42,28,32,7
2020-04-17,42,21,50,11
2020-04-18,55,21,52,9
2020-04-19,55,22,55,4
2020-04-20,55,35,10,12
2020-04-21,70,14,30,7
2020-04-22,46,16,38,3
2020-04-23,38,21,52,3
2020-04-24,55,48,42,6
2020-04-25,76,25,35,7
2020-04-26,63,17,38,2
2020-04-27,55,26,27,8
2020-04-28,63,20,7,12
2020-04-29,53,6, , 
2020-04-30,21, ,21,4
2020-03-02,57, ,14,9
2020-03-04,21,6,33,2
2020-03-05,25,11,14,12
2020-03-06,30,14,12,13
2020-03-07,50,6,21,5
2020-03-08,21,7,28,3
2020-03-09,30,11,30,7
2020-03-10,34,10,32,9
2020-03-11,30,14,16,10
2020-03-12,46,32,34,10
2020-03-13,85,24,31,14
2020-03-14,72,4,23,6
2020-03-15,9,9, , 
2020-03-16,38,10,30,4
2020-03-17,34,14,29,7
2020-03-18,46,18,36,8
2020-03-19,57,16,40,8
2020-03-20,53,20,48,7
2020-03-21,61,24,42,6
2020-03-22,68,16,30,4
2020-03-23,53,10,32,4
2020-03-24,21,16,34,15
2020-03-25,50,18,35,15
2020-03-26,50,19,22,20
2020-03-27,55,19,18,14
2020-03-28,59,31,38,6
2020-03-29,65,35,34,7
2020-03-30,61,7,27,6
2020-03-31,17,6,40,5
2020-04-01,21,14,32,12
2020-02-02,68,22,4,17
2020-02-03,70,25,3,17
2020-02-04,74,23,17,11
2020-02-05,70,1,27,3
2020-02-06,5,10,24,8
2020-02-07,17,17,9,21
2020-02-08,46, ,8,20
2020-02-17,55,37,6,25
2020-02-18,85,23,17,12
2020-02-19,65,7,17,9
2020-02-20,17,12,27,4
2020-02-21,42,12,19,12
2020-02-22,34,22, ,30
2020-02-23,61,20, ,23
2020-02-24,61,40,11,20
2020-02-25,97,53,1,27
2020-02-26,127,20,16,16
2020-02-27,59,15,27,5
2020-02-28,34,23,27,5
2020-02-29,53,16,18,12
2020-03-01,42,19,25,5
2020-01-02,93,24,4,17
2020-01-03,65,27,1,23
2020-01-04,74,21,1,23
2020-01-05,63,8,31,2
2020-01-06,21,15,8,16
2020-01-07,53,27,6,19
2020-01-08,70,20,8,19
2020-01-09,55,28,2,26
2020-01-10,68,30,4,22
2020-01-11,74,26, ,23
2020-01-12,70,19,19,9
2020-01-13,57,26,4,21
2020-01-14,65,33, ,17
2020-01-15,74,31,6,19
2020-01-16,74,28,6,20
2020-01-17,70,30,6,19
2020-01-18,72,20,1,29
2020-01-19,57,5,18,9
2020-01-20,13,16,11,9
2020-01-21,42,20,6,24
2020-01-22,55,28,4,28
2020-01-23,65,25,2,34
2020-01-24,61,28,3,31
2020-01-25,70,30,2,32
2020-01-26,76,33,3,24
2020-01-27,82,30,3,17
2020-01-28,74,33, ,28
2020-01-29,76,10,12,14
2020-01-30,38,13,10,15
2020-01-31,42,20,5,19
2020-02-01,59,27,1,23
2019-10-02,53,13,14,10
2019-10-03,42,4,29,1
2019-10-04,13,10,13,7
2019-10-05,30,11,10,8
2019-10-06,34,10,13,5
2019-10-07,30,7,14,7
2019-10-08,25,9,14,6
2019-10-09,30,20, ,12
2019-10-10,59,7,6,8
2019-10-11,25,8,9,7
2019-10-12,30,13, ,7
2019-10-13,42,14,9,8
2019-10-14,50,18,7,9
2019-10-15,55,30, ,14
2019-10-16,80,5,23,7
2019-10-17,17,10,21,7
2019-10-18,25,20,1,16
2019-10-19,55,18,1,13
2019-10-20,57,10,14,6
2019-10-21,34,11,7,10
2019-10-22,38,15, ,9
2019-10-23,38,17, ,8
2019-10-24,38,19, ,9
2019-10-25,50,18, ,13
2019-10-26,50,18, ,11
2019-10-27,50,16, ,11
2019-10-28,46,19, ,9
2019-10-29,57,20, ,13
2019-10-30,63,14,3,12
2019-10-31,50,12,1,12
2019-11-01,38,17, ,11
2019-11-02,57,22,1,11
2019-11-03,72,11,3,12
2019-11-04,46,6, ,12
2019-11-05,17,7, ,14
2019-11-06,21,9, ,10
2019-11-07,38,10, ,12
2019-11-08,38,6, ,19
2019-11-09,17,8,1,13
2019-11-10,30,7, ,7
2019-11-11,13,10, ,14
2019-11-12,25,12, ,17
2019-11-13,50, ,6,19
2019-11-18,38,11,6,14
2019-11-19,46,11,2,15
2019-11-20,46,13,2,13
2019-11-21,53,19,1,12
