date, pm25, pm10, no2
2020-07-02,61,11,22
2020-07-03,50,2,18
2020-07-04,25, ,22
2020-07-05,34,4,41
2020-07-06,46,28,30
2020-07-07,57,2,7
2020-07-08,38,6,24
2020-07-09,38,15,32
2020-07-10,57,12,33
2020-07-11,53,20,15
2020-07-12,55, ,6
2020-07-13,21, ,9
2020-07-14,25,2,14
2020-07-15,30,16,21
2020-07-16,42,4,47
2020-07-17,70,7,19
2020-07-18,53, ,22
2020-07-19,21,1,30
2020-07-20,30,9,27
2020-07-21,50,3,27
2020-07-22,57,3,29
2020-07-23,57,5,21
2020-07-24,50, ,23
2020-07-25,34,4,18
2020-07-26,25,3,37
2020-07-27,42,30,35
2020-07-28,53,34,42
2020-07-29,61,32,41
2020-07-30,65,34,57
2020-07-31,68,34,76
2020-08-01,70, , 
2020-06-02,42,12,18
2020-06-03,34,10,16
2020-06-04,30,6,12
2020-06-05,17,11,15
2020-06-06,30,12,11
2020-06-07,38,10,12
2020-06-08,25,6,16
2020-06-09,17,13,25
2020-06-10,34,13,17
2020-06-11,34,9,12
2020-06-12,25,12,38
2020-06-13,34,12,20
2020-06-14,38,9,15
2020-06-15,30,11,19
2020-06-16,30,10,28
2020-06-17,30,10,22
2020-06-18,34,14,22
2020-06-19,42,10,17
2020-06-20,34,6,27
2020-06-21,25,7,39
2020-06-22,30,11,42
2020-06-23,30,16,47
2020-06-24,42,14,11
2020-06-25,46,16,13
2020-06-26,46,11,49
2020-06-27,50,16,48
2020-06-28,59,13,43
2020-06-29,55,15,51
2020-06-30,53,15,26
2020-07-01,55,25,22
2020-05-02,21,10,33
2020-05-03,34,8,8
2020-05-04,25,10,31
2020-05-05,21,18,22
2020-05-06,38,19,15
2020-05-07,46,16,21
2020-05-08,42,24,38
2020-05-09,55,20,37
2020-05-10,42,19,9
2020-05-11,46,8,11
2020-05-12,21,11,13
2020-05-13,34,14,19
2020-05-14,30,23,19
2020-05-15,55,14,17
2020-05-16,42,14,12
2020-05-17,38,11,19
2020-05-18,34,22,27
2020-05-19,55,16,19
2020-05-20,38,20,18
2020-05-21,50,17,21
2020-05-22,53,22,37
2020-05-23,55,27,33
2020-05-24,61,7,8
2020-05-25,17,13,36
2020-05-26,38,11,10
2020-05-27,30,11,12
2020-05-28,25,17,33
2020-05-29,38,9,16
2020-05-30,25,14,11
2020-05-31,46,10,12
2020-06-01,30,16,20
2020-04-02,50,20,10
2020-04-03,61,30,16
2020-04-04,85,32,40
2020-04-05,87,20,15
2020-04-06,63,21,18
2020-04-07,63,27,22
2020-04-08,68,21,30
2020-04-09,57,25,28
2020-04-10,63,25,36
2020-04-11,65,21,27
2020-04-12,57,14,6
2020-04-13,46,15,8
2020-04-14,50,23,12
2020-04-15,57,19,7
2020-04-16,50,22,15
2020-04-17,57,25,27
2020-04-18,59,21,36
2020-04-19,46,26,32
2020-04-20,55,14,4
2020-04-21,38,20,10
2020-04-22,57,17,11
2020-04-23,46,26,14
2020-04-24,61,30,37
2020-04-25,68,19,12
2020-04-26,50,12,18
2020-04-27,38,19,22
2020-04-28,46,15,11
2020-04-29,38,6,8
2020-04-30,9,10,10
2020-05-01,30,9,10
2020-03-04,63,16,29
2020-03-05,46,13,18
2020-03-06,38,20,27
2020-03-07,63,25,24
2020-03-08,76,9,31
2020-03-09,30,20,27
2020-03-10,61,33,29
2020-03-11,82,29,27
2020-03-12,74,50,28
2020-03-13,117,25,29
2020-03-14,63,23,13
2020-03-15,72,10,10
