date, pm25, pm10, no2
2020-07-02,61,18,13
2020-07-03,46,13,11
2020-07-04,42,10,18
2020-07-05,34,13,12
2020-07-06,38,20,13
2020-07-07,57,17,7
2020-07-08,46,15,16
2020-07-09,46,21,19
2020-07-10,57,30,21
2020-07-11,63,20,8
2020-07-12,5,10,6
2020-07-13,5,14,11
2020-07-14,13,17,18
2020-07-15,50,18,22
2020-07-16,46,23,19
2020-07-17,65,21,16
2020-07-18,55,10,11
2020-07-19,53,12,11
2020-07-20,42,19,16
2020-07-21,50,24,15
2020-07-22,57,21,16
2020-07-23,50,15,12
2020-07-24,50,13,8
2020-07-25,46,15,18
2020-07-26,57,17,14
2020-07-27,57,15,15
2020-07-28,55,31,16
2020-07-29,68,30,18
2020-07-30,63,27,18
2020-07-31,65,32,17
2020-08-01,70, , 
2020-06-02,53,14,13
2020-06-03,42,12,14
2020-06-04,42,9,11
2020-06-05,17,7,12
2020-06-06,21,15,10
2020-06-07,46,8,7
2020-06-08,30,10,13
2020-06-09,17,20,8
2020-06-10,46,10,15
2020-06-11,30,15,14
2020-06-12,46,17,15
2020-06-13,46,15,12
2020-06-14,46,7,14
2020-06-15,25,19,16
2020-06-16,50,14,18
2020-06-17,38,12,15
2020-06-18,34,14,10
2020-06-19,38,11,14
2020-06-20,25,12,19
2020-06-21,50,10,16
2020-06-22,38,13,21
2020-06-23,46,20,22
2020-06-24,46,29,22
2020-06-25,57,22,13
2020-06-26,46,18,14
2020-06-27,53,30,15
2020-06-28,65,19,13
2020-06-29,57,20,13
2020-06-30,57,21,13
2020-07-01,61,27,13
2020-05-02,53,16,8
2020-05-03,50,14,4
2020-05-04,34,10,12
2020-05-05,21,17,14
2020-05-06,53,22,10
2020-05-07,25,19,11
2020-05-08,42,17,74
2020-05-09,42,13,83
2020-05-10,76,16, 
2020-05-11,42,17,8
2020-05-12,50,15,8
2020-05-13,21,14,6
2020-05-14,17,30,15
2020-05-15,46,17,13
2020-05-16,46,19,10
2020-05-17,57,18,11
2020-05-18,46,26,15
2020-05-19,59,34,13
2020-05-20,70,24,13
2020-05-21,53,18,14
2020-05-22,53,26,17
2020-05-23,72,30,16
2020-05-24,68,20,6
2020-05-25,63,9,15
2020-05-26,34,13,10
2020-05-27,42,14,11
2020-05-28,38,20,10
2020-05-29,53,10,8
2020-05-30,61, , 
2020-04-02,70,28,19
2020-04-03,68,28,22
2020-04-04,91,41,15
2020-04-05,99,33,21
2020-04-06,93,33,20
2020-04-07,87,43,20
2020-04-08,95,30,22
2020-04-09,74,25,23
2020-04-10,70,30,20
2020-04-11,74,25,15
