date, pm25
2020-07-02,30
2020-07-03,17
2020-07-04,25
2020-07-05,5
2020-07-06,9
2020-07-07,13
2020-07-08,21
2020-07-09,9
2020-07-10,38
2020-07-11,70
2020-07-12,57
2020-07-13,17
2020-07-14,25
2020-07-15,42
2020-07-16,59
2020-07-17,53
2020-07-18,68
2020-07-19,21
2020-07-20,38
2020-07-21,57
2020-07-22,65
2020-07-23,53
2020-07-24,42
2020-07-25,30
2020-07-26,30
2020-07-27,50
2020-07-28,61
2020-07-29,68
2020-07-30,74
2020-07-31,147
2020-06-02,65
2020-06-03,53
2020-06-04,38
2020-06-05,25
2020-06-06,13
2020-06-07,38
2020-06-08,38
2020-06-09,17
2020-06-10,5
2020-06-11,21
2020-06-12,21
2020-06-13,25
2020-06-14,13
2020-06-15,13
2020-06-16,21
2020-06-17,30
2020-06-18,17
2020-06-19,30
2020-06-20,21
2020-06-21,38
2020-06-22,57
2020-06-23,50
2020-06-24,57
2020-06-25,55
2020-06-26,38
2020-06-27,42
2020-06-28,38
2020-06-29,13
2020-06-30,17
2020-07-01,9
2020-05-02,9
2020-05-03,5
2020-05-04,5
2020-05-05,9
2020-05-06,21
2020-05-13,21
2020-05-14,13
2020-05-15,9
2020-05-16,34
2020-05-17,25
2020-05-18,21
2020-05-19,30
2020-05-20,25
2020-05-21,21
2020-05-22,68
2020-05-23,91
2020-05-24,70
2020-05-25,21
2020-05-26,55
2020-05-27,57
2020-05-28,5
2020-05-29,91
2020-05-30,53
2020-05-31,38
2020-06-01,72
2020-04-02,61
2020-04-03,78
2020-04-04,74
2020-04-05,76
2020-04-06,78
2020-04-07,68
2020-04-08,65
2020-04-09,68
2020-04-10,74
2020-04-11,74
2020-04-12,38
2020-04-13,13
2020-04-14,17
2020-04-15,30
2020-04-16,5
2020-04-17,13
2020-04-18,17
2020-04-19,17
2020-04-20,21
2020-04-21,13
2020-04-22,13
2020-04-23,9
2020-04-24,9
2020-04-25,13
2020-04-26,21
2020-04-27,21
2020-04-28,13
2020-04-29,5
2020-04-30,5
2020-05-01,9
2020-03-04,46
2020-03-05,46
2020-03-06,70
2020-03-07,68
2020-03-08,55
2020-03-09,53
2020-03-10,72
2020-03-11,65
2020-03-12,95
2020-03-13,63
2020-03-14,68
2020-03-15,59
2020-03-16,63
2020-03-17,61
2020-03-18,65
2020-03-19,85
2020-03-20,74
2020-03-21,89
2020-03-22,70
2020-03-23,89
2020-03-24,42
2020-03-25,57
2020-03-26,55
2020-03-27,55
2020-03-28,42
2020-03-29,61
2020-03-30,55
2020-03-31,46
2020-04-01,42
2020-02-02,107
2020-02-03,87
2020-02-04,70
2020-02-05,17
2020-02-06,25
2020-02-07,38
2020-02-25,55
2020-02-26,30
2020-02-27,57
2020-02-28,38
2020-02-29,57
2020-03-01,78
2020-01-03,93
2020-01-04,104
2020-01-05,91
2020-01-06,78
2020-01-07,109
2020-01-08,151
2020-01-09,129
2020-01-10,107
2020-01-11,93
2020-01-12,80
2020-01-13,72
2020-01-14,107
2020-01-15,147
2020-01-16,114
2020-01-17,112
2020-01-18,95
