date, pm25, pm10, no2
2020-07-03,34,14,8
2020-07-04,38,10,8
2020-07-05,30,15,6
2020-07-06,38,16,8
2020-07-07,38,10,14
2020-07-08,25,14,5
2020-07-09,34,18,14
2020-07-10,46,17,12
2020-07-11,46,17,10
2020-07-12,46,8,8
2020-07-13,21,9,8
2020-07-14,25,12,3
2020-07-15,34,12,13
2020-07-16,34,15,12
2020-07-17,46,10,11
2020-07-18,30,6,13
2020-07-19,21,6,10
2020-07-20,25,11,7
2020-07-21,34,13,9
2020-07-22,34,15,8
2020-07-23,38,15,8
2020-07-24,42,12,7
2020-07-25,34,10,11
2020-07-26,25,11,13
2020-07-27,38,15,13
2020-07-28,46,15,16
2020-07-29,46,20,11
2020-07-30,53,20,13
2020-07-31,55, ,17
2020-06-02,21,10,7
2020-06-03,30,11,6
2020-06-04,30,11,11
2020-06-05,25,15,8
2020-06-06,30,15,4
2020-06-07,25,12,6
2020-06-08,21,13,5
2020-06-09,21,14,7
2020-06-10,25,9,11
2020-06-11,17,9,11
2020-06-12,25,11, 
2020-06-13,30,10, 
2020-06-15,17,16,6
2020-06-16,34,12,14
2020-06-17,30,17,6
2020-06-18,30,12,9
2020-06-19,21,10,9
2020-06-20,21,10,7
2020-06-21,25,10,13
2020-06-22,38,12,15
2020-06-23,38, ,15
2020-06-24,46,17,16
2020-06-25,50,17,17
2020-06-26,42,16,13
2020-06-27,46,13,13
2020-06-28,42,15,11
2020-06-29,38,16,8
2020-06-30,46, ,8
2020-05-02,21,15,3
2020-05-03,25,8,4
2020-05-04,17,8,12
2020-05-05,21,12,11
2020-05-06,25,9,5
2020-05-07,25,10,11
2020-05-08,25,13,14
2020-05-09,34,12,7
2020-05-10,30,13,7
2020-05-11,34,11,11
2020-05-12,25,10,6
2020-05-13,21,16,10
2020-05-14,34,33,6
2020-05-15,50,15,6
2020-05-16,30,12,9
2020-05-17,25,18,6
2020-05-18,38,20,11
2020-05-19,46,23,15
2020-05-20,57, ,4
2020-05-22,34,12,9
2020-05-23,38,12,7
2020-05-24,34,9,4
2020-05-25,30,8,13
2020-05-26,21,7,9
2020-05-27,17,6,11
2020-05-28,17,10,12
2020-05-29,21,5,6
2020-05-30,13,10,10
2020-05-31,25,10,10
2020-06-01,34,8,11
2020-04-02,42,12,16
2020-04-03,42,13,17
2020-04-04,50,16,26
2020-04-05,53,15,7
2020-04-06,50,22,6
2020-04-07,63,21,14
2020-04-08,61,18,12
2020-04-09,53,18,17
2020-04-10,55,21, 
2020-04-13,53,15,10
2020-04-14,55,12,6
2020-04-15,42,9,3
2020-04-16,25,12,14
2020-04-17,38,18,12
2020-04-18,42,20,7
2020-04-19,53,24,4
2020-04-20,57,10,5
2020-04-21,30,10,2
2020-04-22,34,14,4
2020-04-23,46,18,6
2020-04-24,55,20,16
2020-04-25,59,12,5
2020-04-26,46,10,5
2020-04-27,38,10,7
2020-04-28,34,10,5
2020-04-29,25,15,4
2020-04-30,25,13,5
2020-05-01,25,13,3
2020-03-02,30, , 
2020-03-04,21,11,25
2020-03-05,30,12,30
2020-03-06,42,12,29
2020-03-07,25,9,20
2020-03-08,25,14,23
2020-03-09,50,17,27
2020-03-10,53,16,33
2020-03-11,50,20,33
2020-03-12,57,31,26
2020-03-13,78,19,20
2020-03-14,53,15,9
2020-03-15,53,8,3
2020-03-16,25,11,22
2020-03-17,34,20,23
2020-03-18,59,20,13
2020-03-19,59,19,17
2020-03-20,59,26,18
2020-03-21,72,21,16
2020-03-22,65,16,8
2020-03-23,53,10,7
2020-03-24,25,10,17
2020-03-25,42,10,3
2020-03-26,34,10,2
2020-03-27,34,25,3
2020-03-28,53, ,19
2020-03-29,99, ,10
2020-03-30,70,25,15
2020-03-31,53,7,5
2020-04-01,21,12,5
2020-02-02,42,11,17
2020-02-03,38,18,17
2020-02-04,50,19,17
2020-02-05,42,8,28
2020-02-06,21,11,33
2020-02-07,30,27,37
2020-02-08,68,30,33
2020-02-09,78,37,30
2020-02-10,104,19,27
2020-02-11,50,30,11
2020-02-12,50,23,30
2020-02-13,46,20,27
2020-02-14,46,14,36
2020-02-15,38,19,33
2020-02-16,57,23,29
2020-02-17,70,22,26
2020-02-18,63,14,21
2020-02-19,46, ,19
2020-02-23,78,21,22
2020-02-24,55,24,31
2020-02-25,55,21,24
2020-02-26,57,19,18
2020-02-27,34,11,27
2020-02-28,25,14,35
2020-02-29,42,23,33
2020-03-01,61,18,10
2020-01-02,155,41,36
2020-01-03,112,43, 
2020-01-07,76,39,31
2020-01-08,102,31,35
2020-01-09,82,33,35
2020-01-10,91,41,38
2020-01-11,109,26,21
2020-01-12,74,20,30
2020-01-13,63,36,36
2020-01-14,93, ,36
2020-01-15,134, ,39
2020-01-16,124,40,32
2020-01-17,104,40,35
2020-01-18,104,12,35
2020-01-19,104,12,24
2020-01-20,46,7,5
2020-01-21,25,14,18
2020-01-22,53,32,37
2020-01-23,85,38,36
2020-01-24,97,34,37
2020-01-25,93,20,20
2020-01-26,68,28,22
2020-01-27,80,20,23
2020-01-28,65,14,20
2020-01-29,30,25,24
2020-01-30,46,29,33
2020-01-31,63,18,26
2020-02-01,57,14,19
2019-10-02,42,14,22
2019-10-03,30,7,17
2019-10-04,21,12,30
2019-10-05,34,16,25
2019-10-06,50,14,26
2019-10-07,42,10,13
2019-10-08,30,17,35
2019-10-09,46,17,27
2019-10-10,50,15,33
2019-10-11,30,20,36
2019-10-12,42,21,29
2019-10-13,53,17,20
2019-10-14,46,25,29
2019-10-15,57,23,11
2019-10-16,50,16,25
2019-10-17,25,14,26
2019-10-18,30,18,26
2019-10-19,50,14,21
2019-10-20,38,17,23
2019-10-21,46,22,33
2019-10-22,50,24,29
2019-10-23,61,25,37
2019-10-24,57, ,23
2019-10-27,61,20,29
2019-10-28,59,25,26
2019-10-29,65,21,19
2019-10-30,63,15,19
2019-10-31,46,8,8
2019-11-01,21,7,13
2019-11-02,21,10,14
2019-11-03,30,10,11
2019-11-04,21,14,23
2019-11-05,17,10,19
2019-11-06,21,7,24
2019-11-07,13,11,18
2019-11-08,30,7,20
2019-11-09,21,10,19
2019-11-10,34,13,19
2019-11-11,46,11,19
2019-11-12,21,8,16
2019-11-13,30,10,20
2019-11-14,30,14,20
2019-11-15,34,8,27
2019-11-16,21,6,19
2019-11-17,17,8,18
2019-11-18,17,8,27
2019-11-19,21,9,22
2019-11-20,25,14,23
2019-11-21,38,13,21
2019-11-22,38,19,26
2019-11-23,55,14,10
2019-11-24,30,6,16
2019-11-25,13,11,27
2019-11-26,38,20,22
2019-11-27,55,10,22
2019-11-28,30,11,25
2019-11-29,21,15,22
2019-11-30,25,22,21
2019-12-01,57,17,21
2019-12-02,50,6,15
2019-12-03,17,5,5
2019-12-04,17,8,28
2019-12-05,21,25,30
2019-12-06,70,35,26
2019-12-07,97,25,23
2019-12-08,70,16,18
2019-12-09,46,12,22
2019-12-10,30,11,25
2019-12-11,42,12,27
2019-12-12,38,14,27
2019-12-13,53,16,32
2019-12-14,61,24,32
2019-12-15,70,27,25
2019-12-16,72,24,32
2019-12-17,61,21,29
2019-12-18,42,33,37
2019-12-19,70,20,25
2019-12-20,55,20,22
2019-12-21,42,12,19
2019-12-22,25,11,21
2019-12-23,21,20,26
2019-12-24,42,22,25
2019-12-25,55,29,18
2019-12-26,68,23,21
2019-12-27,72, , 
2019-12-29,57,10,16
2019-12-30,34, , 
2019-07-02,55,20,16
2019-07-03,53,22,15
2019-07-04,59,15,13
2019-07-05,42,18,12
