date, pm25, pm10, o3, no2
2020-07-02,46,13,61,11
2020-07-03,46,10,63,11
2020-07-04,38,10,48,19
2020-07-05,38,17,66,23
2020-07-06,59,29,92,18
2020-07-07,76,13,49,9
2020-07-08,25,16,61,13
2020-07-09,42,24,88,17
2020-07-10,61,30,100,17
2020-07-11,70,16,59,13
2020-07-12,46,11,47,6
2020-07-13,46,13,53,8
2020-07-14,34,18,59,12
2020-07-15,50,21,68,22
2020-07-16,55,18,63,17
2020-07-17,53,19,60,8
2020-07-18,59,9,50,15
2020-07-19,30,12,65,11
2020-07-20,42,16,67,19
2020-07-21,53,19,65,25
2020-07-22,53,18,73,14
2020-07-23,42,18,74,8
2020-07-24,55,11,39,20
2020-07-25,50,17,70,17
2020-07-26,53,18,57,12
2020-07-27,55,20,70,36
2020-07-28,57,30,82,22
2020-07-29,72,25,74,20
2020-07-30,70,28,76,19
2020-07-31,70,25,75,27
2020-08-01,70, , , 
2020-06-02,65,19,61,15
2020-06-03,57,14,60,21
2020-06-04,46,11,32,17
2020-06-05,42,10,47,18
2020-06-06,34,20,59,11
2020-06-07,57,13,34,9
2020-06-08,34,9,36,8
2020-06-09,34,12,39,12
2020-06-10,38,10,39,18
2020-06-11,34,15,47,9
2020-06-12,55,18,60,27
2020-06-13,53,13,47,25
2020-06-14,50,10,46,10
2020-06-15,34,17,53,14
2020-06-16,46,12,48,17
2020-06-17,50,11,47,15
2020-06-18,38,14,41,20
2020-06-19,34,12,46,17
2020-06-20,13,13,47,28
2020-06-21,46,10,50,18
2020-06-22,34,12,71,35
2020-06-23,38,17,67,34
2020-06-24,46,22,82,19
2020-06-25,55,23,70,12
2020-06-26,55,20,71,15
2020-06-27,55,21,74,24
2020-06-28,63,15,57,13
2020-06-29,59,19,49,12
2020-06-30,53,20,62,12
2020-07-01,59,17,66,15
2020-05-02,53,8,38,10
2020-05-03,34,12,43,9
2020-05-04,34,12,26,18
2020-05-05,38,18,38,25
2020-05-06,38,20,47,18
2020-05-07,53,19,63,9
2020-05-08,46,23,71,13
2020-05-09,57,14,61,24
2020-05-10,25,15,56,8
2020-05-11,53,10,33,6
2020-05-12,46,15,42,13
2020-05-13,53,20,19,18
2020-05-14,50,26,46,15
2020-05-15,63,14,43,8
2020-05-16,30,22,39,8
2020-05-17,57,17,44,15
2020-05-18,55,26,48,17
2020-05-19,65,21,36,17
2020-05-20,59,22,57,20
2020-05-21,61,19,59,13
2020-05-22,55,25,70,23
2020-05-23,65,20,76,22
2020-05-24,68,14,54,10
2020-05-25,42,16,51,27
2020-05-26,46,16,51,21
2020-05-27,42,14,52,15
2020-05-28,38,22,72,21
2020-05-29,57,10,49,16
2020-05-30,38,21,65,14
2020-05-31,59,15,52,12
2020-06-01,55,24,59,17
2020-04-02,65,30,39,22
2020-04-03,85,39,43,23
2020-04-04,99,42,47,22
2020-04-05,107,32,45,15
2020-04-06,87,31,50,29
2020-04-07,78,40,51,32
2020-04-08,85,30,46,23
2020-04-09,72,32,51,29
2020-04-10,74,33,54,31
2020-04-11,78,21,50,22
2020-04-12,59,6,44,17
2020-04-13,17,19,49,16
2020-04-14,57,19,43,15
2020-04-15,38,20,39,8
2020-04-16,38,30,45,23
2020-04-17,63,16,45,31
2020-04-18,30,20,43,17
2020-04-19,53,20,49,11
2020-04-20,55,16,35,15
2020-04-21,55,21,30,17
2020-04-22,57,21,46,17
2020-04-23,63,29,51,21
2020-04-24,78,30,57,24
2020-04-25,76,14,42,17
2020-04-26,46,13,45,7
2020-04-27,42,12,36,19
2020-04-28,30,13,30,20
2020-04-29,38,10,39,12
2020-04-30,42,20,33,12
2020-05-01,59,20,33,11
2020-03-04,63,20,29,20
2020-03-05,63,21,24,17
2020-03-06,65,20,26,21
2020-03-07,70,25,33,20
2020-03-08,78,20,35,31
2020-03-09,68,27,26,29
2020-03-10,82,22,30,39
2020-03-11,78,24,32,29
2020-03-12,63,42,25,26
2020-03-13,109,17,38,23
2020-03-14,61,23,24,11
2020-03-15,72,16,32,14
2020-03-16,65,25,35,18
2020-03-17,76,40,38,23
2020-03-18,102,54,43,30
2020-03-19,132,48,43,27
2020-03-20,124,51,34,27
2020-03-21,124,35,42,22
2020-03-22,87,23,33,6
2020-03-23,70,13,31,11
2020-03-24,42,22,33,22
2020-03-25,72,16,32,9
2020-03-26,55,18,25,14
2020-03-27,55,34,28,20
2020-03-28,78,64,37,17
2020-03-29,95,69,40,17
2020-03-30,89,31,37,9
2020-03-31,59,12,29,11
2020-04-01,46,20,35,17
2020-02-02,147,32,7,19
2020-02-03,76,29,9,17
2020-02-04,65,30,35,16
2020-02-05,63,8,32,34
2020-02-06,21,21,26,41
2020-02-07,59,36,17,38
2020-02-08,91,48,14,47
2020-02-09,117,61,3,29
2020-02-10,157,57,8,29
2020-02-11,152,31,31,47
2020-02-12,80,11,30,38
2020-02-13,34,36,21,29
2020-02-14,85,38,23,34
2020-02-15,104,58,18,35
2020-02-16,153,59,19,34
2020-02-17,155,42,11,28
2020-02-18,112,44,27,29
2020-02-19,114,47,25,28
2020-02-20,119,25,27,39
2020-02-21,70,40,29,32
2020-02-22,99,49,31,37
2020-02-23,122,47,32,27
2020-02-24,117,39,28,13
2020-02-25,97,59,21,35
2020-02-26,152,28,33,22
2020-02-27,74,13,31,42
2020-02-28,25,12,36,44
2020-02-29,38,30,23,33
2020-03-01,80, , , 
2020-01-02,166,59,7,33
2020-01-03,154,54,4,28
2020-01-04,152,42,11,27
2020-01-05,122,45,11,27
2020-01-06,117,40,9,22
2020-01-07,104,37,5,20
2020-01-08,65,31,4,21
2020-01-09,68,37,3,21
2020-01-10,93,55,4,29
2020-01-11,152,53,9,33
2020-01-12,149,53,11,34
2020-01-13,151,54,3,31
