date, pm25, pm10, o3, no2
2020-07-02,50,15,46,16
2020-07-03,46,10,56,14
2020-07-04,30,10,43,10
2020-07-05,30,16,59,21
2020-07-06,50,19,70,18
2020-07-07,59,15,43,11
2020-07-08,34,17,59,19
2020-07-09,38,24,74,24
2020-07-10,59,26,86,21
2020-07-11,63,17,50,12
2020-07-12,46,10,42,7
2020-07-13,38, ,45,7
2020-07-17,13,10,48,11
2020-07-18,42,10,44,17
2020-07-19,34,10,48,18
2020-07-20,34, ,43,9
2020-07-23,25,15,59,11
2020-07-24,46,14,36,13
2020-07-25,34,14,46,18
2020-07-26,42,50,46,12
2020-07-27,132,17,60,15
2020-07-28,53,25,78,28
2020-07-29,63,24,71,17
2020-07-30,61,13,78,14
2020-07-31,38,25,66,23
2020-08-01,61, , , 
2020-06-02,55,13,46,10
2020-06-03,53,12,43,20
2020-06-04,42,9,24,14
2020-06-05,30,8,40,11
2020-06-06,25,13,44,14
2020-06-07,42,4,24,6
2020-06-08,13,7,27,14
2020-06-09,21,9,35,16
2020-06-10,25, ,31,15
2020-06-14,38,10,36,10
2020-06-15,34,15,42,17
2020-06-16,50,11,39,13
2020-06-17,38,9,37,15
2020-06-18,25,10,35,11
2020-06-19,25,10,35,15
2020-06-20,30,11,49,19
2020-06-21,34,10,37,14
2020-06-22,34,14,48,20
2020-06-23,42,10,53,39
2020-06-24,46,13,63,30
2020-06-25,38,12,56,12
2020-06-26,38,17,51,9
2020-06-27,34,23,52,14
2020-06-28,61,16,46,11
2020-06-29,53, ,32,8
2020-07-01,68,19,49,17
2020-05-02,38,9,35,7
2020-05-03,34,8,43,5
2020-05-04,34,11,46,13
2020-05-05,42,12,37,21
2020-05-06,42,17,42,14
2020-05-07,50,15,53,17
2020-05-08,55,20,57,22
2020-05-09,59,15,53,7
2020-05-10,50,14,49,6
2020-05-11,53,10,32,9
2020-05-12,34,10,33,12
2020-05-13,34,13,19,17
2020-05-14,42,19,38,13
2020-05-15,57,9,37,13
2020-05-16,30,17,36,13
2020-05-17,53,11,35,8
2020-05-18,34,20,39,13
2020-05-19,57,17,30,18
2020-05-20,46,18,47,18
2020-05-21,57,17,48,17
2020-05-22,57,20,52,20
2020-05-23,61,14,48,7
2020-05-24,50,10,42,15
2020-05-25,38,10,45,20
2020-05-26,42,12,45,8
2020-05-27,38,11,45,14
2020-05-28,42,17,52,26
2020-05-29,55,10,43,6
2020-05-30,38,15,53,10
2020-05-31,53,11,43,11
2020-06-01,50,15,47,17
2020-04-02,59,33,39,28
2020-04-03,85,37,47,35
2020-04-04,91,42,51,27
2020-04-05,102,28,46,17
2020-04-06,72,30,51,33
2020-04-07,72,35,54,29
2020-04-08,80,30,52,29
2020-04-09,72,27,55,29
2020-04-10,65,27,56,31
2020-04-11,63,22,56,28
2020-04-12,59,11,43,14
2020-04-13,38,17,49,10
2020-04-14,53,19,41,9
2020-04-15,38,17,41,9
2020-04-16,34,27,44,24
2020-04-17,57,16,44,25
2020-04-18,38,20,46,17
2020-04-19,38,20,41,6
2020-04-20,38,16,28,8
2020-04-21,46,19,24,11
2020-04-22,55,20,46,21
2020-04-23,53,26,50,17
2020-04-24,65,31,57,22
2020-04-25,87,16,44,4
2020-04-26,57,11,45,4
2020-04-27,42,11,35,6
2020-04-28,38,12,30,16
2020-04-29,42,8,36,10
2020-04-30,30,13,32,11
2020-05-01,42,11,32,6
2020-03-04,55,22,30,34
2020-03-05,59,20,24,29
2020-03-06,59,22,22,32
2020-03-07,68,29,34,26
2020-03-08,76,18,35,37
2020-03-09,55,25,32,34
2020-03-10,72,24,30,27
2020-03-11,65,20,34,34
2020-03-12,50,29,26,30
2020-03-13,70,14,33,19
2020-03-14,38,22,26,14
2020-03-15,68,20,33,24
2020-03-16,65,24,35,33
2020-03-17,70,39,37,33
2020-03-18,93,44,44,36
2020-03-19,102,41,46,39
2020-03-20,97,43,38,29
2020-03-21,102,30,44,25
2020-03-22,74,24,32,6
2020-03-23,63,16,29,16
2020-03-24,38,20,34,25
2020-03-25,57,17,32,17
2020-03-26,53,18,28,15
2020-03-27,53,30,32,20
2020-03-28,61,65,38,22
2020-03-29,74,63,42,19
2020-03-30,65,24,37,16
2020-03-31,50,10,30,12
2020-04-01,34,20,35,22
2020-02-02,154,37,6,19
2020-02-03,91,41,5,29
2020-02-04,89,37,32,17
2020-02-05,74,12,32,27
2020-02-06,34,22,24,36
2020-02-07,59,40,23,47
2020-02-08,82,50,18,36
2020-02-09,114,62,5,34
2020-02-10,155,55,12,33
2020-02-11,142,26,30,36
2020-02-12,68,14,32,44
2020-02-13,30,32,21,35
2020-02-14,80,32,20,38
2020-02-15,80,54,18,31
2020-02-16,129,59,27,37
2020-02-17,151,50,12,31
2020-02-18,117,52,19,32
2020-02-19,122,47,24,38
2020-02-20,107,23,25,39
2020-02-21,59,42,23,36
2020-02-22,93,50,28,34
2020-02-23,112,40,32,33
2020-02-24,95,40,28,22
2020-02-25,91,55,20,32
2020-02-26,119,39,32,26
2020-02-27,87,11,27,31
2020-02-28,30,11,35,39
2020-02-29,30,25,20,33
2020-03-01,65, , , 
2020-01-02,189,54,7,28
2020-01-03,137,59,2,33
2020-01-04,149,50,5,32
2020-01-05,124,39,11,36
2020-01-06,97,48,5,25
2020-01-07,109,52,2,27
2020-01-08,119,54,3,24
2020-01-09,124,60,2,39
2020-01-10,147,65,2,34
2020-01-11,155,65,3,47
2020-01-12,155,53,13,33
2020-01-13,134,60,10,32
2020-01-14,152,69,2,33
2020-01-15,158,62,3,29
2020-01-16,156,65,4,35
2020-01-17,157,57,9,57
2020-01-18,142,37,18,31
2020-01-19,95,38,15,31
2020-01-20,97,23,24,32
2020-01-21,59,47,4,41
2020-01-22,102,45,11,34
2020-01-23,104,56,12,36
2020-01-24,134,72,2,54
2020-01-25,160,63,4,32
2020-01-26,155,63,16,30
2020-01-27,157,72,2,46
2020-01-28,161,53,4,30
2020-01-29,129,28,19,40
2020-01-30,65,43,13,33
2020-01-31,97,58,12,39
2020-02-01,139,63,3,26
