date, pm25, pm10, o3, no2
2020-07-02,46,16,55,15
2020-07-03,46,15,45,11
2020-07-04,42,13,43,17
2020-07-05,38,13,49,13
2020-07-06,34,17,64,14
2020-07-07,46,13,41,14
2020-07-08,25,12,49,16
2020-07-09,30,19,70,15
2020-07-10,50,21,79,18
2020-07-11,53,21,65,22
2020-07-12,42,9,41,6
2020-07-13,17,10,45,12
2020-07-14,30,14,50,20
2020-07-15,34,18,48,22
2020-07-16,42,19,68,21
2020-07-17,42,13,49,13
2020-07-18,25,10,47,6
2020-07-19,17,10,60,10
2020-07-20,25,19,76,22
2020-07-21,42,23,72,22
2020-07-22,53,26,72,19
2020-07-23,63,13, ,11
2020-07-24,42,16,40,11
2020-07-25,34,10, , 
2020-07-26,30,14, , 
2020-07-31,46,21,73,28
2020-08-01,57, , , 
2020-06-02,25,11,55,8
2020-06-03,21,7,45,12
2020-06-04,13,12,32,20
2020-06-05,13,11,42,13
2020-06-06,13,13,41,12
2020-06-07,17,12,34,8
2020-06-08,17,20,30,10
2020-06-09,50,16,35,17
2020-06-10,34,11,38,13
2020-06-11,25,18,34,17
2020-06-12,46,14,47,20
2020-06-13,34,11,47,22
2020-06-14,25,10,40,15
2020-06-15,17,14,29,15
2020-06-16,25,12,35,12
2020-06-17,25,12,35,18
2020-06-18,30,10,37,13
2020-06-19,25,12,43,17
2020-06-20,30,10,51,19
2020-06-21,34,13,49,16
2020-06-22,34,15,56,21
2020-06-23,34,14,65,17
2020-06-24,34,20,59,10
2020-06-25,38,20,53,8
2020-06-26,38,18,57,9
2020-06-27,38,20,69,15
2020-06-28,46,17,63,12
2020-06-29,42,16,43,13
2020-06-30,25,19,48,12
2020-07-01,42,21,59,15
2020-05-02,13,8,38,7
2020-05-03,17,11,41,5
2020-05-04,38,11,47,14
2020-05-05,30,15,37,16
2020-05-06,42,20,38,17
2020-05-07,50,14,50,16
2020-05-08,38,19,54,22
2020-05-09,50,14,59,11
2020-05-10,42,15,47,5
2020-05-11,21,8,41,6
2020-05-12,13,12,37,11
2020-05-13,21,21,26,8
2020-05-14,25,33,38,10
2020-05-15,53,18,38,10
2020-05-16,34,20,34,14
2020-05-17,38,21,41,9
2020-05-18,57,26,41,15
2020-05-19,57,30,22,16
2020-05-20,53,15,42,15
2020-05-21,34,16,48,19
2020-05-22,38,20,55,17
2020-05-23,50,19,53,14
2020-05-24,55,14,45,6
2020-05-25,34,12,47,20
2020-05-26,34,13,43,11
2020-05-27,38,10,43,16
2020-05-28,42,16,55,19
2020-05-29,34,7,40,17
2020-05-30,17,10,45,14
2020-05-31,25,10,44,8
2020-06-01,17,10,48,12
2020-04-02,55,19,44,22
2020-04-03,63,24,48,24
2020-04-04,72,26,49,20
2020-04-05,72,22,43,21
2020-04-06,61,29,48,22
2020-04-07,74,27,47,22
2020-04-08,72,19,45,22
2020-04-09,53,18,48,19
2020-04-10,57,19,55,18
2020-04-11,57,19,57,10
2020-04-12,57,15,50,6
2020-04-13,42,15,48,8
2020-04-14,42,20,43,15
2020-04-15,42,17,41,17
2020-04-16,38,21,43,29
2020-04-17,53,25,48,15
2020-04-18,59,21,46,14
2020-04-19,38,29,43,8
2020-04-20,38,19,27,5
2020-04-21,17,23,28,15
2020-04-22,21,20,44,16
2020-04-23,50,20,49,15
2020-04-24,59,15,51,13
2020-04-25,55,9,48,7
2020-04-26,38,14,47,7
2020-04-27,34,12,41,16
2020-04-28,34,14,28,17
2020-04-29,21,11,33,12
2020-04-30,13,10,35,15
2020-05-01,13,10,35,7
2020-03-02,74,16,20,25
2020-03-03,38,10,13,28
2020-03-04,21,18,21,27
2020-03-05,46,24,17,28
2020-03-06,57,21,23,27
2020-03-07,57,31,24,33
2020-03-08,76,20,32,33
2020-03-09,57,30,21,25
2020-03-10,78,30,21,38
2020-03-11,72,23,28,30
2020-03-12,61,50,30,25
2020-03-13,109,43,29,31
2020-03-14,91,28,22,6
2020-03-15,68,15,31,11
2020-03-16,42,23,33,37
2020-03-17,70,32,35,38
2020-03-18,78,41,39,40
2020-03-19,95,30,39,32
2020-03-20,76,41,33,27
2020-03-21,93,26,39,14
2020-03-22,61,18,30,3
2020-03-23,46,13,32,29
2020-03-24,38,15,32,20
2020-03-25,50,17,29,11
2020-03-26,55,12,26,15
2020-03-27,46,30,17,14
2020-03-28,63,68,37,14
2020-03-29,76,55,41,10
2020-03-30,61,52,37,17
2020-03-31,55,11,37,10
2020-04-01,25,17,39,17
2020-02-02,151,38,5,20
2020-02-03,70,20,3,17
2020-02-04,38,17,26,14
2020-02-05,17,12,26,28
2020-02-06,34,29,22,41
2020-02-07,65,39,16,44
2020-02-08,89,53,15,41
2020-02-09,127,52,18,35
2020-02-10,134,53,14,35
2020-02-11,137,22,24,44
2020-02-12,57,7,29,41
2020-02-13,21,37,13,40
2020-02-14,78,51,19,46
2020-02-15,114,53,18,39
2020-02-16,127,61,19,38
2020-02-17,154,59,19,29
2020-02-18,151,55,10,32
2020-02-19,122, ,17,38
2020-02-21,85,43,23,35
2020-02-22,93,57,24,40
2020-02-23,149,59,28,40
2020-02-24,144,56,27,26
2020-02-25,134,53,23,35
2020-02-26,102,25,28,27
2020-02-27,50,9,28,35
2020-02-28,13,19,28,39
2020-02-29,50,34,20,30
2020-03-01,87,26,16,22
2020-01-02,160,54,5,17
2020-01-03,137,41,8,25
2020-01-04,93,40,10,19
2020-01-05,95,36,8,18
2020-01-06,89,42,4,14
2020-01-07,97,41,3,13
2020-01-08,74,34,4,15
2020-01-09,74,44,3,28
2020-01-10,95,52,3,22
2020-01-11,129,57,10,20
2020-01-12,147,50,9,21
2020-01-13,109,56,4,20
2020-01-14,104,71,3,19
2020-01-15,159,73,3,17
2020-01-16,166,72,4,18
2020-01-17,160,52,7,21
2020-01-18,109,31,8,15
2020-01-19,80,30,16,13
2020-01-20,76,28,11,27
2020-01-21,72,46,7,42
2020-01-22,97,46,9,46
2020-01-23,95,60,7,47
2020-01-24,147,64,4,32
2020-01-25,155,69,3,28
2020-01-26,159,56,7,26
2020-01-27,132,41,9,27
2020-01-28,91,58,4,25
2020-01-29,117,29,17,33
2020-01-30,57,39,6,33
2020-01-31,80,50,15,38
2020-02-01,99,62,4,22
2019-10-02,38,14,24,25
2019-10-03,30,10,29,20
2019-10-04,21,14,23,23
2019-10-05,25,29,28,23
2019-10-06,65,25,29,14
2019-10-07,59,16,17,17
2019-10-08,46,22,21,24
2019-10-09,55,31,26,13
2019-10-10,70,50,21,17
2019-10-11,102,52,24,26
2019-10-12,104,58,19,19
2019-10-13,117,57,28,16
2019-10-14,102,63,19,21
2019-10-15,137,40,20,10
2019-10-16,59,17,22,22
2019-10-17,38,21,19,17
2019-10-18,38,25,21,19
2019-10-19,55,32,12,13
2019-10-20,74,19,28,7
2019-10-21,50,30,22,11
2019-10-22,57,45,23,19
2019-10-23,80,54,22,22
2019-10-24,99,50,11,14
2019-10-25,82,35,17,18
2019-10-26,68,48,18,19
2019-10-27,87,33,23,19
2019-10-28,68,54,13,18
2019-10-29,104,60,7,12
2019-10-30,124,25,9,11
2019-10-31,50,20,9,11
2019-11-01,50,16,17,11
2019-11-02,46,26,11,7
2019-11-03,61,13,9,9
2019-11-04,13,12,9,15
2019-11-05,30,20,8,14
2019-11-06,46,16,9,18
2019-11-07,42,27,11,15
2019-11-08,68,17,9,15
2019-11-09,46,19,17,17
2019-11-10,55,33,14,16
2019-11-11,82,28,4,13
2019-11-12,65,11,7,13
2019-11-13,30,19,9,20
2019-11-14,46,17,9,19
2019-11-15,38,12,12,21
2019-11-16,42,28,6,15
2019-11-17,68,11,21,13
2019-11-18,30,21,7,17
2019-11-19,57,15,12,15
2019-11-20,38,21,9,13
2019-11-21,55,28,9,14
2019-11-22,65,27,9,13
2019-11-23,55,12,16,9
2019-11-24,30,18,22,7
2019-11-25,25,17,22,17
2019-11-26,38,17,22,17
2019-11-27,38,27,3,12
2019-11-28,63,28,3,15
2019-11-29,59,40,3,17
2019-11-30,80,30,4,12
2019-12-01,72,40,5,10
2019-12-02,80,17,5,16
2019-12-03,57,18,13,17
2019-12-04,46,36,10,25
2019-12-05,78,52,3,24
2019-12-06,104,50,3,18
2019-12-07,109,55,9,23
2019-12-08,129,56,6,15
2019-12-09,129,64,3,17
2019-12-10,147,43,6,24
2019-12-11,78,34,11,27
2019-12-12,70,23,9,18
