date, pm25, pm10, o3, no2, so2
2020-07-02,55,18,59,22,3
2020-07-03,55,10,53,17,1
2020-07-04,13,10,54,19,1
2020-07-05,61,18,61,18,1
2020-07-06,46,18,89,21,1
2020-07-07,59,12,45,24,8
2020-07-08,30,20,70,21,6
2020-07-09,30,24,92,23,2
2020-07-10,55,31,103,20,4
2020-07-11,65,17,69,20,1
2020-07-12,57,9,44,15,1
2020-07-13,17,10,48,17,10
2020-07-14,38,13,53,20,3
2020-07-15,38,22,59,27,4
2020-07-16,59,18,59,24,1
2020-07-17,57,19,48,17,3
2020-07-18,59,5,48,18,1
2020-07-19,9,9,61,17,1
2020-07-20,30, ,63,24,1
2020-07-22,21,16,80,21,1
2020-07-23,46,17,81,16,12
2020-07-24,55,8,43,27,1
2020-07-25,38,11,57,19,1
2020-07-26,42,12,53,15,1
2020-07-27,30,17,74,21,1
2020-07-28,61,26,96,19,1
2020-07-29,72,26,79,25,1
2020-07-30,65,31,101,23,3
2020-07-31,70,20,89,27,1
2020-08-01,55, , , , 
2020-06-02,53,19,55,17,1
2020-06-03,61,14,49,21,1
2020-06-04,50,8,26,22,1
2020-06-05,34,8,41,20,1
2020-06-06,30,15,46,17,2
2020-06-07,30,10,25,11,1
2020-06-08,25,9,28,20,1
2020-06-09,34,10,36,18,1
2020-06-10,25,12,30,20,1
2020-06-11,34,10,37,18,1
2020-06-12,30,14,45,20,1
2020-06-13,46,11,43,20,1
2020-06-14,42,12,44,13,1
2020-06-15,42,20,43,23,1
2020-06-16,55,10,43,19,2
2020-06-17,50,9,39,19,1
2020-06-18,30,10,41,25,1
2020-06-19,25,7,43,27,1
2020-06-20,17,12,63,22,1
2020-06-21,30,5,39,17,1
2020-06-22,5,10,63,27,1
2020-06-23,30,12,72,23,1
2020-06-24,34,20,70,21,5
2020-06-25,46,21,61,20,3
2020-06-26,55,15,59,14,2
2020-06-27,53,21,78,17,1
2020-06-28,57,18,54,15,1
2020-06-29,57,16,50,16,1
2020-06-30,53,20,49,16,5
2020-07-01,57,19,59,27,2
2020-05-02,38,10,39,11,1
2020-05-03,25,9,46,9,1
2020-05-04,30,12,50,21,1
2020-05-05,34,14,43,27,1
2020-05-06,42,21,44,19,1
2020-05-07,65,20,62,22,1
2020-05-08,53,22,66,22,2
2020-05-09,50,13,59,14,2
2020-05-10,30,18,55,15,1
2020-05-11,53,15,33,12,1
2020-05-12,46,10,37,15,1
2020-05-13,34,17,21,20,1
2020-05-14,38,30,39,17,1
2020-05-15,70,9,41,16,1
2020-05-16,21,19,38,10,1
2020-05-17,53,15,36,13,1
2020-05-18,25,21,47,13,1
2020-05-19,42,18,35,21,1
2020-05-20,25,20,53,16,1
2020-05-21,55,19,59,15,2
2020-05-22,50,30,58,16,1
2020-05-23,61,20,59,13,1
2020-05-24,30,11,45,16,1
2020-05-25,34, ,48,17,1
2020-05-29,38,9,48,13,2
2020-05-30,42,16,58,17,1
2020-05-31,55,6,49,12,1
2020-06-01,25,20,59,22,1
2020-04-02,63,30,39,38,2
2020-04-03,93,39,48,36, 
2020-04-04,102,40,55,35, 
2020-04-05,102,27,48,25, 
2020-04-06,80,27,55,32,3
2020-04-07,74,33,58,39,3
2020-04-08,91,30,55,35,3
2020-04-09,76,25,60,36,3
2020-04-10,80,30,59,39,3
2020-04-11,74,21,65,28,3
2020-04-12,63,13,49,20,4
2020-04-13,46,16,55,17,3
2020-04-14,61,27,45,26,3
2020-04-15,89,14,41,21,3
2020-04-16,30,28,39,32,3
2020-04-17,63,27,48,23,2
2020-04-18,80,25,50,22,1
2020-04-19,53,18,45,16, 
2020-04-20,42,18,27,16, 
2020-04-21,61,21,28,21, 
2020-04-22,63,19,51,20,1
2020-04-23,70,25,57,29,1
2020-04-24,70,33,66,38,2
2020-04-25,80,16,51,13,1
2020-04-26,46,11,48,12,1
2020-04-27,30,11,38,18,1
2020-04-28,30,14,32,15,1
2020-04-29,34,9,39,13,1
2020-04-30,34,12,36,15,1
2020-05-01,46,11,34,10,1
2020-03-04,70,24,33,44,3
2020-03-05,72,22,25,36,3
2020-03-06,65,27,28,43,2
2020-03-07,85,29,41,38,7
2020-03-08,80,13,39,40,3
2020-03-09,63,28,34,38,2
2020-03-10,85,31,30,45,3
2020-03-11,89,25,35,39,4
2020-03-12,72, ,21,32,2
2020-03-15,72,20,33,24,2
2020-03-16,85,21,35,32,2
2020-03-17,70,37,37,35,4
2020-03-18,97,43,45,36,2
2020-03-19,107,38,47,35,3
2020-03-20,89,44,44,35,2
2020-03-21,99,26,50,23,2
2020-03-22,70,25,34,13,2
2020-03-23,70,17,33,20,2
2020-03-24,42,22,38,27,2
2020-03-25,59,20,37,27,3
2020-03-26,59,20,30,23,3
2020-03-27,63,33,35,27,2
2020-03-28,72,67,43,32,2
2020-03-29,82,63,46,20,2
2020-03-30,74,25,39,21,2
2020-03-31,57,13,32,23,2
2020-04-01,42,20,38,28,4
2020-02-02,154,44,5,35,3
2020-02-03,122,53,9,47,4
2020-02-04,107,38,38,30,2
2020-02-05,82,8,37,31,3
2020-02-06,34,23,22,53,5
2020-02-07,68,43,26,54,6
2020-02-08,99,52,14,46,4
2020-02-09,124,64,8,48,4
2020-02-10,153,56,21,47,4
2020-02-11,104,22,35,43,4
2020-02-12,74,7,38,55,3
2020-02-13,21,36,24,56,5
2020-02-14,89,29,24,52,4
2020-02-15,95,51,23,43,6
2020-02-16,122,57,28,44,3
2020-02-17,151,62,6,42,3
2020-02-18,117,54,18,43,3
2020-02-19,117,50,33,45,4
2020-02-20,112,24,22,54,5
2020-02-21,68,42,20,50,5
2020-02-22,104,51,27,51,3
2020-02-23,109,51,37,49,3
2020-02-24,117,53,30,40,3
2020-02-25,124,54,23,47,2
2020-02-26,112,33,37,39,2
2020-02-27,95,7,31,47,3
2020-02-28,30,13,40,51,3
2020-02-29,55,28,26,41,11
2020-03-01,78, , , , 
2020-01-02,165,52,7,42,4
2020-01-03,142,61,2,50,4
2020-01-04,155,44,4,42,3
2020-01-05,119,36,17,42,3
2020-01-06,97,45,19,35,4
2020-01-07,114,59,2,44,5
2020-01-08,142,56,2,46,4
2020-01-09,129,63,8,57,4
2020-01-10,154,55,2,47,4
2020-01-11,149,63,4,51,4
2020-01-12,157,49,11,41,3
2020-01-13,127,57,9,48,4
2020-01-14,151,64,2,48,4
2020-01-15,155,71,2,40,5
2020-01-16,152,74,3,46,7
2020-01-17,160,64,5,56,4
2020-01-18,157,42,22,41,3
2020-01-19,114,27,12,36,3
2020-01-20,93,24,23,102,5
2020-01-21,74,44,10,44,4
2020-01-22,112,57,10,50,6
2020-01-23,144,53,16,53,5
2020-01-24,127,63,5,55,7
2020-01-25,155,66,5,45,4
2020-01-26,155,67,17,44,4
2020-01-27,158,73,5,63,5
2020-01-28,160,52,7,40,3
2020-01-29,132,23,29,46,3
