date, pm25, pm10, no2
2020-08-02,49,29,27
2020-08-03,67, , 
2020-07-02,53,36,27
2020-07-03,61,37,21
2020-07-04,56,20,12
2020-07-05,51,13,9
2020-07-06,31,29,25
2020-07-07,54,33,26
2020-07-08,52,26,16
2020-07-09,48,29,21
2020-07-10,57,35,31
2020-07-11,62,33,22
2020-07-12,52,26,20
2020-07-13,50,27,13
2020-07-14,42,27,21
2020-07-15,43,27,25
2020-07-16,43,27,24
2020-07-17,46,26,23
2020-07-18,39,20,14
2020-07-19,41,16,11
2020-07-20,33,25,26
2020-07-21,49,30,28
2020-07-22,56,41,38
2020-07-23,67,35,29
2020-07-24,53,27,28
2020-07-25,47,23,19
2020-07-26,43,21,16
2020-07-27,40,30,30
2020-07-28,52,32,31
2020-07-29,55,31,28
2020-07-30,54,32,32
2020-07-31,58,28,25
2020-08-01,45,30,23
2020-06-02,44,14,12
2020-06-03,37,21,22
2020-06-04,48,18,19
2020-06-05,40,21,15
2020-06-06,39,23,17
2020-06-07,49,19,14
2020-06-08,30,20,18
2020-06-09,41,20,13
2020-06-10,34,20,13
2020-06-11,34,19,18
2020-06-12,37,30,23
2020-06-13,43,31,21
2020-06-14,57,22,12
2020-06-15,35,29,16
2020-06-16,42,29,18
2020-06-17,44,31,16
2020-06-18,43,33,17
2020-06-19,43,24,23
2020-06-20,47,28,18
2020-06-21,51,23,23
2020-06-22,42,12,12
2020-06-23,32,17,10
2020-06-24,41,26,23
2020-06-25,56,33,30
2020-06-26,66,30,27
2020-06-27,57,36,36
2020-06-28,66,36,33
2020-06-29,63,33,27
2020-06-30,54,27,22
2020-07-01,52,29,22
2020-05-02,28,25,7
2020-05-03,33,20,5
2020-05-04,27,10,6
2020-05-05,23,20,19
2020-05-06,42,21,13
2020-05-07,39,17,4
2020-05-08,32,16,17
2020-05-09,35,20,19
2020-05-10,51,24,20
2020-05-11,55,40,16
2020-05-12,49,45,13
2020-05-13,45,39,14
2020-05-14,54,56,21
2020-05-15,76,44,16
2020-05-16,59,45,22
2020-05-17,75,50,13
2020-05-18,74,50,16
2020-05-19,75,37,13
2020-05-20,48,19,13
2020-05-21,40,19,8
2020-05-22,41,16,9
2020-05-23,43,22,19
2020-05-24,53,17,15
2020-05-25,40,19,9
2020-05-26,42,15,5
2020-05-27,28,14,4
2020-05-28,29,18,13
2020-05-29,36,23,22
2020-05-30,49, , 
2020-06-01,33,17,15
2020-04-02,27,16,6
2020-04-03,47,32,7
2020-04-04,68,15,2
2020-04-05,47,18,2
2020-04-06,56,24,8
2020-04-07,59,26,10
2020-04-08,68,27,11
2020-04-09,71,36,20
2020-04-10,85,37,23
2020-04-11,86,34,14
2020-04-12,86,28,9
2020-04-13,68,25,8
2020-04-14,70,26,10
2020-04-15,63,22,3
2020-04-16,37,15,10
2020-04-17,34,25,15
2020-04-18,50,23,10
2020-04-19,49,27,10
2020-04-20,45,26,10
2020-04-21,48,23,13
2020-04-22,43,14,12
2020-04-23,34,11,4
2020-04-24,38,16,9
2020-04-25,47,17,9
2020-04-26,46,15,8
2020-04-27,35,15,12
2020-04-28,36,30,22
2020-04-29,53,21,9
2020-04-30,35,21,9
2020-05-01,34,16,6
2020-03-02,53,40,19
2020-03-03,46,34,23
2020-03-04,39,25,23
2020-03-05,38,22,22
2020-03-06,48,32,23
2020-03-07,41,21,21
2020-03-08,38,19,16
2020-03-09,47,29,24
2020-03-10,59,28,17
2020-03-11,57,39,26
2020-03-12,79,36,23
2020-03-13,66,39,25
2020-03-14,69,33,15
2020-03-15,67,21,5
2020-03-16,49,22,14
2020-03-17,51,25,12
2020-03-18,60,31,19
2020-03-19,74,36,26
2020-03-20,80,40,19
2020-03-21,98,37,19
2020-03-22,85,35,9
2020-03-23,89,27,3
2020-03-24,47,12,4
2020-03-25,38,12,5
2020-03-26,32,10,6
2020-03-27,21,15,14
2020-03-28,42,11,10
2020-03-29,35,19,10
2020-03-30,63,39,10
2020-03-31,69,43,10
2020-04-01,64,8,2
2020-02-02,99,23,27
2020-02-03,59,21,26
2020-02-04,48,40,22
2020-02-05,71,20,8
2020-02-06,40,17,10
2020-02-07,33,28,27
2020-02-08,65,44,43
2020-02-09,106,36,35
2020-02-10,100,27,32
2020-02-11,54,32,19
2020-02-12,47,41,26
2020-02-13,55,38,31
2020-02-14,69,18,22
2020-02-15,36,21,20
2020-02-16,41,28,29
2020-02-17,67,46,41
2020-02-18,96,40,43
2020-02-19,68,36,30
2020-02-20,56,29,22
2020-02-21,61,40,32
2020-02-22,76,28,20
2020-02-23,59,38,28
2020-02-24,81,27,23
2020-02-25,46,25,18
2020-02-26,46,29,11
2020-02-27,37,17,14
2020-02-28,31,23,12
2020-02-29,37,20,21
2020-03-01,37,33,17
2020-01-02,139,24,18
2020-01-03,60,51,38
2020-01-04,122,69,39
2020-01-05,154,32,15
2020-01-06,89,9,6
2020-01-07,25,58,25
2020-01-08,88,26,13
2020-01-09,68,40,19
2020-01-10,95,58,21
2020-01-11,129,48,17
2020-01-12,110,30,8
2020-01-13,76,39,14
2020-01-14,78,65,17
2020-01-15,137,58,15
2020-01-16,126,48,11
2020-01-17,101,70,15
2020-01-18,133,54,13
2020-01-19,113,26,6
2020-01-20,74,15,3
2020-01-21,42,25,13
2020-01-22,67,45,32
2020-01-23,90,66,48
2020-01-24,145,54,38
2020-01-25,118,52,37
2020-01-26,114,46,27
2020-01-27,104,53,36
2020-01-28,106,31,20
2020-01-29,41,38,22
2020-01-30,44,51,39
2020-01-31,83,43,39
2020-02-01,76,43,33
2019-10-02,58,32,29
2019-10-03,63,25,26
