date, pm25, pm10, o3, no2, so2
2020-07-02,42,18,49,11, 
2020-07-03,46,10,41,6,5
2020-07-04,25,10,40,17,5
2020-07-05,25,12,47,21,5
2020-07-06,38,16,62,18,5
2020-07-07,50,12,41,11,5
2020-07-08,25,17,46,22,5
2020-07-09,42,20,59,32,5
2020-07-10,50,25,71,28,5
2020-07-11,59,19,53,14,5
2020-07-12,50,10,36,6,5
2020-07-13,30,11,40,18,5
2020-07-14,30,16,44,23,5
2020-07-15,42,16,42,24, 
2020-07-16,46,20,55,36,5
2020-07-17,55,14,43,14,5
2020-07-18,53,9,42,9,5
2020-07-19,21,15,51,17,5
2020-07-20,42,16,61,30,5
2020-07-21,42,20,64,19,5
2020-07-22,55,22,68,23,5
2020-07-23,59,16,55,26,5
2020-07-24,50,11,33,25,5
2020-07-25,38,11,46,23,5
2020-07-26,30,13,47,10,5
2020-07-27,38,17,53,24,5
2020-07-28,53,23,66,22,5
2020-07-29,63,24,70,21,5
2020-07-30,65,29,69,24,5
2020-07-31,65,24,54,21, 
2020-08-01,63, , , , 
2020-06-02,38,12,45,12,5
2020-06-03,38,10,37,20,5
2020-06-04,30,13,34,11, 
2020-06-05,34,9,40,24,5
2020-06-06,21,13,35,14,5
2020-06-07,30,10,28,6,5
2020-06-08,21,14,22,9,5
2020-06-09,42,15,30,14,5
2020-06-10,38,9,32,15,5
2020-06-11,25,11,33,24,5
2020-06-12,34,14,39,20,5
2020-06-13,34,13,38,13,5
2020-06-14,21,9,36,23,5
2020-06-15,17,17,32,18,5
2020-06-16,46,13,34,18,5
2020-06-17,46,11,31,13,5
2020-06-18,38,11,33,22,5
2020-06-19,25,9,38,12,5
2020-06-20,21,10,43,16,5
2020-06-21,25,10,45,27,5
2020-06-22,25,12,47,34,5
2020-06-23,25,17,58,21,5
2020-06-24,38,20,57,16,5
2020-06-25,46,20,44,24,5
2020-06-26,46,16,51,13,5
2020-06-27,42,15,64,19,5
2020-06-28,42,15,50,7, 
2020-06-29,46, , , , 
2020-05-02,25,8,34,3,5
2020-05-03,25,10,35,3,5
2020-05-04,30, ,42,34,5
2020-05-06,25,15,33,15,5
2020-05-07,34,15,45,20,5
2020-05-08,38,16,50,15,5
2020-05-09,42,11,49,15,5
2020-05-10,25,16,43,6,5
2020-05-11,42,9,35,11, 
2020-05-12,21,10,30,13, 
2020-05-13,30,18,22,10,5
2020-05-14,34,29,32,12,5
2020-05-15,61,12,33,7,5
2020-05-16,21,19,30,12,5
2020-05-17,38,20,35,13,5
2020-05-18,57,22,36,21,5
2020-05-19,53,25,27,15,5
2020-05-20,57,14,41,17,5
2020-05-21,42,16,42,22,5
2020-05-22,46,19,50,24,5
2020-05-23,53,16,41,17,5
2020-05-24,46,10,40,8,5
2020-05-25,30,11,43,31,5
2020-05-26,25,13,40,12,5
2020-05-27,30,11,41,23,5
2020-05-28,30,15,48,22,5
2020-05-29,38,9,40,13,5
2020-05-30,30,13,40,11,5
2020-05-31,42,12,41,14,5
2020-06-01,46,14,42,13,5
2020-04-02,57,21,39,23,5
2020-04-03,63,27,42,26,5
2020-04-04,76,30,45,22,5
2020-04-05,78,20,40,16,5
2020-04-06,61,27,45,27,5
2020-04-07,68,27,41,29,5
2020-04-08,70,20,41,24,5
2020-04-09,55,20,42,27,5
2020-04-10,57,21,49,22,5
2020-04-11,59,20,52,9,5
2020-04-12,57,12,43,3,5
2020-04-13,38,17,47,4,5
2020-04-14,55,17,44,14,5
2020-04-15,46,15,36,19,5
2020-04-16,38,20,38,21,5
2020-04-17,53,20,43,38,5
2020-04-18,55,22,42,15,5
2020-04-19,55,24,40,4,5
2020-04-20,57,15,22,3,5
2020-04-21,42,20,21,16,5
2020-04-22,42,20,38,29,5
2020-04-23,53,21,43,26,5
2020-04-24,61,20,46,24,5
2020-04-25,59,12,44,7,5
2020-04-26,42,13,40,14,5
2020-04-27,42,11,32,19,5
2020-04-28,34,10,30,17,5
2020-04-29,25,8,29,9,5
2020-04-30,21,10,30,17,5
2020-05-01,25,9,30,7,5
2020-03-02,70,30,8,21,5
2020-03-03,72,16,14,24,5
2020-03-04,46,27,19,27, 
2020-03-05,55,23,13,15,5
2020-03-06,61,20,20,24,5
2020-03-07,59,25,23,17,5
2020-03-08,70,17,29,28,5
2020-03-09,53,20,23,18,5
2020-03-10,57,17,22,36,5
2020-03-11,53,22,26,26,5
2020-03-12,57,47,29,26,5
2020-03-13,104,36,26,18,5
2020-03-14,82,24,19,4,5
2020-03-15,63,15,29,14,5
2020-03-16,50,18,32,29,5
2020-03-17,59,26,33,41,5
2020-03-18,72,36,39,48,5
2020-03-19,89,34,39,39,5
2020-03-20,85,39,28,30,5
2020-03-21,93,30,34,16,5
2020-03-22,76,16,26,3,5
2020-03-23,53,10,30,23,5
2020-03-24,38,9,31,19,5
2020-03-25,30,20,28,6,5
2020-03-26,50,18,24,6,5
2020-03-27,46,40,17,15,5
2020-03-28,68,71,32,16,5
2020-03-29,82,60,36,14,5
2020-03-30,65,45,30,16,5
2020-03-31,57,10,30,22,5
2020-04-01,25,19,33,22,5
2020-02-02,154,30,7,17,5
2020-02-03,63,22,3,17,5
2020-02-04,42,13,24,11,5
2020-02-05,30,6,22,25, 
2020-02-06,17,17,17,48,5
2020-02-07,46,31,14,39, 
2020-02-08,72,39, ,37, 
2020-02-09,91,48, ,23, 
2020-02-10,112,53, ,30, 
2020-02-11,129,20, ,23, 
2020-02-12,50,9, ,38, 
2020-02-13,21,39, ,38, 
2020-02-14,91,43, ,39, 
2020-02-15,99,44, ,34, 
2020-02-16,104,55, ,35, 
2020-02-17,144,67, ,22, 
2020-02-18,158,41, ,27, 
2020-02-19,93,32, ,26, 
2020-02-20,78,34, ,48, 
2020-02-21,85,37, ,30, 
2020-02-22,87,53, ,40, 
2020-02-23,132,52,22,37,5
2020-02-24,124,51,22,21,5
2020-02-25,114,56,22,27,5
2020-02-26,132,30,27,23,5
2020-02-27,68, ,30,27,5
2020-02-29,30,30,13,21,5
2020-03-01,72,27,13,23,5
2020-01-02,109,51,3,21,5
2020-01-03,119,45,7,39,5
2020-01-04,104,44,5,28,5
2020-01-05,104,33,6,25,5
2020-01-06,85,43,4,22,5
2020-01-07,95,39,4,21, 
2020-01-08,72,31,3,25,5
2020-01-09,59,38,4,33,5
2020-01-10,85,56,3,31,5
2020-01-11,149,52,7,39,5
2020-01-12,127,46,7,35,5
2020-01-13,117,51,3,27,5
2020-01-14,122,64,3,25,5
2020-01-15,160,65,3,22,5
2020-01-16,159,66,5,33,5
2020-01-17,158,50,5,31,5
2020-01-18,114,33,11,29,5
2020-01-19,91,30,3,21,5
2020-01-20,82,23,11,29,5
2020-01-21,68,35,4,30,5
2020-01-22,80,34,9,39,5
2020-01-23,78,54,4,33,5
2020-01-24,134,58,3,29,5
2020-01-25,153,64,3,24,5
2020-01-26,158,61,6,34,5
2020-01-27,153,48,9,31,5
2020-01-28,114,62,5,22,5
2020-01-29,154,25,18,30,5
2020-01-30,65,32,16,28,5
2020-01-31,74,44,11,38,5
2020-02-01,97,60,3,20,5
2019-10-02,42,18,26,37,5
2019-10-03,42,9,26,33, 
2019-10-04,21,15,15,32,5
2019-10-05,34,29,24,35,5
2019-10-06,68,26,23,14,5
2019-10-07,63,12,18,29,5
2019-10-08,34,20,18,29,5
2019-10-09,50,33,14,19,5
2019-10-10,76,40,13,25,5
2019-10-11,102,40,17,36,5
2019-10-12,89,50,19,30,5
2019-10-13,104,55,13,24,5
2019-10-14,132,62,13,33,5
