date, pm25, pm10, o3, no2
2020-07-03,21,14,53,11
2020-07-04,17,4,43,11
2020-07-05,38,4,43,11
2020-07-06,55,15,55,10
2020-07-07,46,23,76,20
2020-07-09,25,15,50,14
2020-07-10,61,24,81,15
2020-07-11,59,20,84,12
2020-07-12,17,16,53,11
2020-07-13,17,12,42,6
2020-07-14,30,10,45,9
2020-07-15,38,19,50,13
2020-07-16,46,20,59,11
2020-07-17,38,13,59,10
2020-07-18,53,23,51,9
2020-07-19,17,8,43,7
2020-07-20,38,10,66,8
2020-07-21,25,11,57,10
2020-07-22,34,12,55,10
2020-07-23,34,12,57,10
2020-07-24,50,14,57,9
2020-07-25,46,20,39,11
2020-07-26,50,11,48,11
2020-07-27,65,17,49,12
2020-07-28,57,26,63,10
2020-07-29,61,29,70,15
2020-07-30,65,19,59,11
2020-07-31,25,25,61,10
2020-08-01,55,26,63,12
2020-06-02,72,13,48,11
2020-06-03,53,11,48,11
2020-06-04,46,9,29,15
2020-06-05,30,2,47,13
2020-06-06,53,18,49,11
2020-06-07,59,7,34,14
2020-06-08,17,3,28,10
2020-06-11,5,12,40,9
2020-06-12,30,15,48,11
2020-06-13,46,10,41,9
2020-06-14,25,8,45,13
2020-06-15,17,10,47,14
2020-06-16,38,10,42,9
2020-06-17,46,6,44,11
2020-06-18,30,10,40,10
2020-06-19,34,6,46,11
2020-06-20,21,9,48,15
2020-06-21,34,5,45,12
2020-06-22,9,10,53,21
2020-06-23,17,10,74,30
2020-06-24,25,24,79,29
2020-06-25,55,19,60,11
2020-06-26,42,10,64,9
2020-06-27,38,16,61,11
2020-06-28,30,12,49,8
2020-06-29,38,17,45,10
2020-06-30,50,25,53,10
2020-05-02,46,4,41,13
2020-05-03,30,5,45,8
2020-05-04,5,10,51,13
2020-05-05,25,10,38,13
2020-05-06,21,14,43,13
2020-05-07,42,16,54,12
2020-05-08,38,27,66,16
2020-05-09,68,14,53,10
2020-05-10,38,18,50,7
2020-05-11,50,10,28,9
2020-05-12,25,12,37,10
2020-05-13,34,17,17,19
2020-05-14,53,21,40,9
2020-05-15,89,5,39,10
2020-05-16,9,18,37,8
2020-05-17,38,17,40,11
2020-05-18,38,18,44,10
2020-05-19,55,14,34,12
2020-05-20,30,14,51,14
2020-05-21,38,14,55,16
2020-05-22,42,23,70,22
2020-05-23,65,19,55,10
2020-05-24,38,10,49,14
2020-05-25,25,11,52,18
2020-05-26,30,10,46,16
2020-05-27,25,10,48,12
2020-05-28,21,14,58,20
2020-05-29,38,10,44,8
2020-05-30,42,20,55,10
2020-05-31,42,21,52,9
2020-06-01,63,24,53,14
2020-04-02,65,30,43,22
2020-04-03,87,33,45,19
2020-04-04,85,37,51,22
2020-04-05,95,32,47,13
2020-04-06,85,32,53,23
2020-04-07,89,31,59,18
2020-04-08,85,30,50,26
2020-04-09,76,30,54,22
2020-04-10,72,25,59,21
2020-04-11,68,16,55,22
2020-04-12,55,10,44,19
2020-04-13,38,20,54,11
2020-04-14,61,28,44,12
2020-04-15,53,15,41,10
2020-04-16,30,25,48,16
2020-04-17,59,17,45,25
2020-04-18,46,17,48,10
2020-04-19,38,20,43,10
2020-04-20,70,15,33,11
2020-04-21,57,19,29,8
2020-04-22,53,20,48,11
2020-04-23,63,27,51,21
2020-04-24,74,33,59,22
2020-04-25,76,10,46,11
2020-04-26,42,10,45,8
2020-04-27,25,9,38,14
2020-04-28,21,9,29,13
2020-04-29,38,8,43,10
2020-04-30,25,12,36,11
2020-05-01,38,13,35,9
2020-03-04,46,19,32,27
2020-03-05,53,32,25,21
2020-03-06,70,14,30,18
2020-03-21,89,25,44,19
2020-03-22,80,23,33,9
2020-03-23,70,42,32,13
2020-03-24,78,23,36,19
2020-03-25,65,19,32,10
2020-03-26,59,16,26,12
2020-03-27,59,38,29,15
2020-03-28,65,63,38,13
2020-03-29,85,61,43,19
2020-03-30,70,40,37,13
2020-03-31,65,7,32,9
2020-04-01,13,25,39,17
2020-02-02,127,51,2,22
2020-02-03,82,32,11,17
2020-02-04,65,18,35,15
2020-02-05,38,8,34,30
2020-02-06,25,29,19,42
2020-02-07,74,40,17,39
2020-02-08,93,51,12,33
2020-02-09,119,64,3,26
2020-02-10,158,62,13,32
2020-02-11,157,31,31,33
2020-02-12,70,20,32,48
2020-02-13,53,35,18,30
2020-02-14,85,46,26,37
2020-02-15,107,56,19,32
2020-02-16,122,64,22,28
2020-02-17,160,38,20,21
2020-02-18,102,55,28,33
2020-02-19,147,49,20,38
2020-02-20,109,29,27,35
2020-02-21,70,42,25,27
2020-02-22,112,57,28,35
2020-02-23,142,50,30,24
2020-02-24,119,39,29,16
2020-02-25,93,62,22,24
2020-02-26,154,20,33,15
2020-02-27,53,10,32,26
2020-02-28,38,13,36,44
2020-02-29,46,35,21,33
2020-03-01,99, , , 
2020-01-03,158,61,9,29
2020-01-04,153,58,6,25
2020-01-05,117,47,13,28
2020-01-06,102,37,10,32
2020-01-07,134,51,7,18
2020-01-08,95,50,4,20
2020-01-09,102,50,4,22
2020-01-10,114,53,3,22
2020-01-11,151,61,5,33
2020-01-12,144,55,14,38
2020-01-13,132,51,9,29
2020-01-14,151,55,2,25
2020-01-15,158,60,2,25
2020-01-16,165,70,2,26
2020-01-17,163,68,6,32
2020-01-18,158,64,11,32
2020-01-19,89,30,19,30
2020-01-20,93,37,10,22
2020-01-21,65,11,19,29
2020-01-22,107,47,6,30
2020-01-23,124,49,12,34
2020-01-24,151,55,6,34
2020-01-25,160,67,4,31
2020-01-26,161,66,4,30
2020-01-27,156,61,18,30
2020-01-28,155,60,11,29
2020-01-29,163,70,4,29
2020-01-30,107,51,26,43
2020-01-31,95,38,8,27
2020-02-01,142,58,9,30
2019-10-02,53,14,37,31
2019-10-03,38,8,31,17
2019-10-04,25,24,18,21
2019-10-05,61, ,37,26
2019-10-09,59,34,14,17
2019-10-10,93,32,24,21
2019-10-11,80,34,28,27
2019-10-12,82, ,35,19
2019-10-15,104,30,22,15
2019-10-16,70,8,30,26
2019-10-17,17,20,27,23
2019-10-18,50,16,27,20
2019-10-19,25,29,14,11
2019-10-20,97,20,28,10
2019-10-21,65,9,30,20
2019-10-22,42,26,23,19
2019-10-23,72,43,24,18
2019-10-24,89,33,20,16
2019-10-25,87,19,18,16
2019-10-26,70,20,20,26
2019-10-27,78,24,28,22
2019-10-28,72,34,21,23
2019-10-29,85,50,18,18
2019-10-30,122,30,11,12
2019-10-31,76,19,15,12
2019-11-01,59,23,14,12
2019-11-02,65,21,19,12
2019-11-03,74,17,10,13
2019-11-04,59,24,5,16
2019-11-05,53,24,11,18
2019-11-06,72,26,21,22
2019-11-07,46,17,10,24
2019-11-08,65,11,17,32
2019-11-09,13,20,18,28
2019-11-10,68,29,11,27
2019-11-11,91,20,7,24
2019-11-12,74,13,15,23
2019-11-13,53,13,18,32
2019-11-14,46,33,16,20
2019-11-15,93,12,17,18
2019-11-16,38,25,9,19
2019-11-17,74,9,22,17
2019-11-18,42,21,19,26
2019-11-19,63,10,18,28
2019-11-20,50,19,11,22
2019-11-21,59,25,9,17
2019-11-22,72,30,11,19
2019-11-23,74,12,26,8
2019-11-24,30,5,28,22
2019-11-25,21,12,13,24
2019-11-26,42,24,8,17
2019-11-27,65,31,2,19
2019-11-28,72,28,2,18
2019-11-29,70,33,2,21
2019-11-30,65,25,4,19
2019-12-01,61,28,10,15
2019-12-02,80,15,13,23
2019-12-03,63,15,15,19
2019-12-04,50,27,19,32
2019-12-05,72,41,7,27
2019-12-06,107,55,3,25
2019-12-07,147,57,7,29
2019-12-08,152,64,3,26
2019-12-09,160,60,14,24
2019-12-10,154,19,30,49
2019-12-11,61,44,7,30
2019-12-12,122,33,17,24
2019-12-13,91,27,12,28
2019-12-14,82,24,14,34
2019-12-15,72,37,2,23
2019-12-16,107,40,2,21
2019-12-17,119,30,1,24
2019-12-18,85,29,1,22
2019-12-19,78,34, ,24
2019-12-20,68,25,8,20
2019-12-21,57,13,9,20
2019-12-22,63,10,21,28
2019-12-23,30, , , 
2019-07-02,85,13,68,10
2019-07-03,34,24,92,14
2019-07-04,59,18,79,10
2019-07-05,38,29,88,16
2019-07-06,107,29,66,9
2019-07-07,65,26,49,13
2019-07-08,59,26,76,13
2019-07-09,74,24,51,9
2019-07-10,55,18,51,9
