date, pm25, pm10, o3, no2
2020-07-02,46,16,53,18
2020-07-03,50,14,45,20
2020-07-04,42,9,43,25
2020-07-05,30,13,58,35
2020-07-06,42,22,71,31
2020-07-07,61,15,43,17
2020-07-08,38,20,46,34
2020-07-09,46,25,76,47
2020-07-10,59,30,87,33
2020-07-11,65,18,50,14
2020-07-12,46,10,41,14
2020-07-13,34,15,45,25
2020-07-14,42,21,49,38
2020-07-15,55,20,45,26
2020-07-16,55,20,62,41
2020-07-17,55,20,51,22
2020-07-18,55,10,46,28
2020-07-19,30,14,63,39
2020-07-20,42,19,66,28
2020-07-21,53,20,66,29
2020-07-22,57,19,68,22
2020-07-23,55,19,66,22
2020-07-24,57,15,44,18
2020-07-25,46,13,48,26
2020-07-26,38,14,57,43
2020-07-27,50,20,61,41
2020-07-28,55,25,85,28
2020-07-29,61,25,72,30
2020-07-30,68,28,78,27
2020-07-31,63,26, ,38
2020-08-01,63, , , 
2020-06-02,46,14,49,24
2020-06-03,42,15,40,25
2020-06-04,38,10,33,21
2020-06-05,38,10,45,24
2020-06-06,25,13,39,20
2020-06-07,34,9,29,17
2020-06-08,21,10,25, 
2020-06-09,38,12,34,18
2020-06-10,38,11,32,22
2020-06-11,30,19,34,22
2020-06-12,59,16,44,28
2020-06-13,50,11,42,11
2020-06-14,42,8,40,21
2020-06-15,21,19,44,18
2020-06-16,53,17,44,20
2020-06-17,42,10,40,14
2020-06-18,25,14,36,17
2020-06-19,34,11,39,29
2020-06-20,34,11,45,22
2020-06-21,34,10,47,13
2020-06-22,25,12,48,42
2020-06-23,34,20,64,55
2020-06-24,50,22,68,29
2020-06-25,55,22,57,24
2020-06-26,53,21,65,26
2020-06-27,55,20,66,8
2020-06-28,55,15,56,27
2020-06-29,50,22,50,30
2020-06-30,55,26,60,29
2020-07-01,61,21,57,17
2020-05-02,42,9,37,7
2020-05-03,30,10,43,8
2020-05-04,30,13,45,18
2020-05-05,38,15,37,23
2020-05-06,42,19,42,15
2020-05-07,55,18,50,29
2020-05-08,50,19,57,24
2020-05-09,53,13,55,19
2020-05-10,34,14,50,5
2020-05-11,42,10,39,11
2020-05-12,34,14,36,19
2020-05-13,46,20,25,14
2020-05-14,46,27,40,11
2020-05-15,63,13,32,17
2020-05-16,30,19,32,16
2020-05-17,50,18,41,14
2020-05-18,57,26,42,22
2020-05-19,65,24,32,19
2020-05-20,61,18,48,18
2020-05-21,50,19,49,35
2020-05-22,53,23,64,23
2020-05-23,61,20,59,20
2020-05-24,55,11,47,13
2020-05-25,38,13,48,30
2020-05-26,38, ,47,22
2020-05-28,34,20,62,20
2020-05-29,46,10,44,27
2020-05-30,25,12,49,16
2020-05-31,42,13,48,22
2020-06-01,46,15,48,28
2020-04-02,65,22,41,24
2020-04-03,70,28,46,29
2020-04-04,78,28,48,19
2020-04-05,80,20,44,27
2020-04-06,65,27,50,37
2020-04-07,74,31,50,33
2020-04-08,78,25,46,37
2020-04-09,61,20,46,27
2020-04-10,55,22,53,20
2020-04-11,63,17,51,18
2020-04-12,57,12,48,10
2020-04-13,46,16,50,13
2020-04-14,55,23,45,19
2020-04-15,63,18,39,29
2020-04-16,42,22,45,24
2020-04-17,59,20,45,27
2020-04-18,55,19,42,21
2020-04-19,50,20,45,11
2020-04-20,55,14,30,14
2020-04-21,53,20,28,21
2020-04-22,55,22,45,28
2020-04-23,61,24,48,31
2020-04-24,65,21,57,35
2020-04-25,63,15,44,20
2020-04-26,50,11,43,13
2020-04-27,34,14,39,20
2020-04-28,46,11,30,21
2020-04-29,30,8,39,11
2020-04-30,30,13,34,19
2020-05-01,42,14,34,18
2020-03-02,76,25,11,19
2020-03-03,72,18,17,26
2020-03-04,55,21, ,29
2020-03-05,61,26,18,26
2020-03-06,72,21,25,27
2020-03-07,68,25,30,22
2020-03-08,74,17,31,34
2020-03-09,59,27,26,29
2020-03-10,74,20,27,36
2020-03-11,59,29,30,29
2020-03-12,68,45,26,27
2020-03-13,109,28,34,27
2020-03-14,78,23,22,15
2020-03-15,72,19,34,24
2020-03-16,57,21,35,39
2020-03-17,59,29,32,38
2020-03-18,76,45,37,41
2020-03-19,112,40,42,38
2020-03-20,104,33,36,22
2020-03-21,87,24,40,14
2020-03-22,72,20,32,4
2020-03-23,59,16,33,26
2020-03-24,46,16,35,26
2020-03-25,53,18,32,29
2020-03-26,55,15,27,23
2020-03-27,55,36,25,16
2020-03-28,74,64,38,16
2020-03-29,89,60,41,18
2020-03-30,72,31,35,20
2020-03-31,61,10,32,25
2020-04-01,34,20,36,24
2020-02-02,147,34,8,17
2020-02-03,80,23,3,18
2020-02-04,59,20,28,14
2020-02-05,53,13,27,30
2020-02-06,38,30,12,43
2020-02-07,65,37, ,35
2020-02-08,80,40, ,36
2020-02-09,95,58, ,21
2020-02-10,153,57, ,30
2020-02-11,152,28, ,22
2020-02-12,72,12, ,38
2020-02-13,34,36, ,34
2020-02-14,82,46, ,29
2020-02-15,114,45, ,33
2020-02-16,112,58, ,33
2020-02-17,153,54, ,23
2020-02-18,142,37, ,36
2020-02-19,97,38, ,28
2020-02-20,95,39, ,40
2020-02-21,85,44, ,38
2020-02-22,99,52, ,36
2020-02-23,132,50,25,31
2020-02-24,124,40,22,33
2020-02-25,102,59,21,32
2020-02-26,151,29,30,17
2020-02-27,74,11,27,30
2020-02-28,34, ,34,43
2020-03-01,76,24,18,16
2020-01-02,153,55,4,25
2020-01-03,151,54,6,32
2020-01-04,149,49,7,28
2020-01-05,127,40,8,30
2020-01-06,104,40,4,26
2020-01-07,99,40,4,22
2020-01-08,85,38,6,22
2020-01-09,80,33,3,25
2020-01-10,82,57,5,32
2020-01-11,151,52,10,32
2020-01-12,147,50,9,27
2020-01-13,137,52,5,38
2020-01-14,142,59,3,23
2020-01-15,158,66,3,23
2020-01-16,164,67,6,28
2020-01-17,163,54,7,30
2020-01-18,142,33,17,27
2020-01-19,91,31,7,25
2020-01-20,82,30,11,46
2020-01-21,76,42,5,30
2020-01-22,104,43,8,35
2020-01-23,109,59,4,42
2020-01-24,147,63,3,35
2020-01-25,155,63,4,24
2020-01-26,160,58,12,35
2020-01-27,155,54,9,38
2020-01-28,142,65,6,23
2020-01-29,159,39,19,39
2020-01-30,93,35,11,31
2020-01-31,80,49,8,37
2020-02-01,97,53,3,22
2019-10-02,63,23,29,41
2019-10-03,57,16,30,33
2019-10-04,42,20,15,28
2019-10-05,50,27,31,38
2019-10-06,63,29,30,17
2019-10-07,72,10,26,32
2019-10-08,34,20,19,35
2019-10-09,57,32,12,24
2019-10-10,80,33,18,31
2019-10-11,87,34,19,33
2019-10-12,82,40,21,23
2019-10-13,89,52,12,19
2019-10-14,112,53,22,32
2019-10-15,112,40,17,25
2019-10-16,91,15,28,34
2019-10-17,34,29,11,23
2019-10-18,63,15,17,23
2019-10-19,50,36,13,16
2019-10-20,89,25,22,19
2019-10-21,70,30,20,26
2019-10-22,68,40, ,27
2019-10-23,85,42,17,35
2019-10-24,87,41,13,26
2019-10-25,97,20,18,31
2019-10-26,57,25,18,27
2019-10-27,63,27,23,31
2019-10-28,65,46,7,34
2019-10-29,99,52,4,20
2019-10-30,122,26,9,14
2019-10-31,63,20,11,22
2019-11-01,57,20,13,16
2019-11-02,61,19,15,14
2019-11-03,59,14,9,12
2019-11-04,42,20,9,29
2019-11-05,57,27,7,26
2019-11-06,72,17,13,24
2019-11-07,50,17,6,22
2019-11-08,53,15,15,27
2019-11-09,46,20,12,27
2019-11-10,63,31,8,25
2019-11-11,80,23,3,24
2019-11-12,68,14,13,24
2019-11-13,50,19,21,36
2019-11-14,57,23,7,27
2019-11-15,63,12,17,25
2019-11-16,34,24,3,20
2019-11-17,70,9,22,22
2019-11-18,34,19,12,26
2019-11-19,57,13,7,27
2019-11-20,46,14,14,22
2019-11-21,53,30,8,22
2019-11-22,78,29,6,20
2019-11-23,74,11,21,12
2019-11-24,38,8,25,11
2019-11-25,25,17,19,26
2019-11-26,50,17,19,26
2019-11-27,50,24,3,17
2019-11-28,70,25,6,17
2019-11-29,70,25,3,20
2019-11-30,63,21,3,18
2019-12-01,63,28,4,17
2019-12-02,78,11,9,23
2019-12-03,42,21,12,25
2019-12-04,57,37,11,38
2019-12-05,80,48,3,36
2019-12-06,104,50,3,25
2019-12-07,124,53,8,31
2019-12-08,142,58,4,24
2019-12-09,153,62,3,33
2019-12-10,157,40,13,43
2019-12-11,87,38,3,46
2019-12-12,87,30,6,33
2019-12-13,85,22,15,22
2019-12-14,72,22,15,22
2019-12-15,72,41,3,20
2019-12-16,109,40,3,19
2019-12-17,122,33,3,18
2019-12-18,95,30,3,22
2019-12-19,85,37,3,22
2019-12-20,78,23,4,18
2019-12-21,61,14,8,25
2019-12-22,53,9,25,19
2019-12-23,34,6,27,11
2019-12-24,21,10,23,28
2019-12-25,34,21,13,20
2019-12-26,70,23,10,24
2019-12-27,74,34, ,25
2019-12-28,93,51, ,28
2019-12-29,139,49, ,25
2019-12-30,127, , , 
2019-07-02,68,19,84,29
2019-07-03,46,22,76,34
2019-07-04,57,17,82,42
2019-07-05,50,23,67,35
2019-07-06,59,22,96,30
2019-07-07,59,24,72,21
2019-07-08,59,21,45,28
