date, pm25, pm10, o3, no2
2020-08-01,63, , , 
2020-07-31,61,30,60,17
2020-07-30,61,32,68,17
2020-07-29,61,30,72,10
2020-07-28,50,27,66,13
2020-07-27,34,23,50,13
2020-07-26,30,14,47,19
2020-07-25,34,12,49,17
2020-07-24,42,16,32,13
2020-07-23, ,15,48,10
2020-07-22, ,33,65,22
2020-07-21, ,25,64,27
2020-07-20,25,23,61,20
2020-07-19,46,13,49,12
2020-07-18,55,10,42,11
2020-07-17,50,19,42,12
2020-07-16,38,19,59,25
2020-07-15,30,18,44,20
2020-07-14,21,17,43,18
2020-07-13,53,14,39,14
2020-07-12,57,14,35,8
2020-07-11,50,26,53,12
2020-07-10,34,27,67,19
2020-07-09,25,24,61,23
2020-07-08,46,17,45,33
2020-07-07,46,12,36,11
2020-07-06,25,16,59,31
2020-07-05,30,15,47,26
2020-07-04,46,11,40,28
2020-07-03,46,23,40,12
2020-07-02,50,23,52,15
2020-07-01,42,21,56,23
2020-06-30,53,23,45,18
2020-06-29,55,14,38,20
2020-06-28,53,17,57,20
2020-06-27,46,20,65,18
2020-06-26,50,22,51,16
2020-06-25,42, ,50,15
2020-06-24,21, ,58,22
2020-06-23,25, ,61,33
2020-06-22,21,13,51,44
2020-06-21,17,11,47,33
2020-06-20,21,10,45,37
2020-06-19,30,10,38,24
2020-06-18,34,12,32,17
2020-06-17,38,13,30,20
2020-06-16,13,13,31,16
2020-06-15,30,16,28,16
2020-06-14,30,9,37,35
2020-06-13,34,12,43,18
2020-06-12,25,11,42,37
2020-06-11,25,14,33,19
2020-06-10,42,11,29,19
2020-06-09,21,17,32,27
2020-06-08,30,18,27,12
2020-06-07,25,12,27,15
2020-06-06,30,16,42,17
2020-06-05,25,10,39,25
2020-06-04,34,7,29,26
2020-06-03,34,4,40,16
2020-06-02,42,12,50,11
2020-06-01,38,15,43,17
2020-05-31,21,11,41,10
2020-05-30,42,13,41,12
2020-05-29,25,10,39,19
2020-05-28,25,24,51,22
2020-05-27,30,15,39,15
2020-05-26,30,22,38,17
2020-05-25,50,19,43,29
2020-05-24,53,15,40,11
2020-05-23,42,21,45,14
2020-05-22,42,26,49,17
2020-05-21,55,17,43,16
2020-05-20,55,17,39,20
2020-05-19,55,30,26,22
2020-05-18,57,29,37,17
2020-05-17,38,28,36,13
2020-05-16,21,21,30,15
2020-05-15,59,17,34,16
2020-05-14,38,34,32,11
2020-05-13,25,22,20,17
2020-05-12,17, ,32,16
2020-05-11,46,8,32,13
2020-05-10,34,16,44,5
2020-05-09,50,19,51,30
2020-05-08,38,23,51,37
2020-05-07,34,19,44,17
2020-05-06,34,22,32,13
2020-05-05,30,18,30,15
2020-05-04,30,16,42,21
2020-05-03,17,13,35,5
2020-05-02,21,9,34,12
2020-05-01,25,7,29,4
2020-04-30,17,10,31,13
2020-04-29,17,10,30,19
2020-04-28,38,10,28,12
2020-04-27,42,10,36,15
2020-04-26,42,10,42,9
2020-04-25,57,10,41,11
2020-04-24,57,20,47,33
2020-04-23,53,22,43,20
2020-04-22,38,21,39,14
2020-04-21,42,21,24,19
2020-04-20,59,10,26,6
2020-04-19,55,21,38,6
2020-04-18,57,20,42,27
2020-04-17,50,22,43,30
2020-04-16,38,20,40,27
2020-04-15,46,17,37,11
2020-04-14,55,21,40,14
2020-04-13,50,15,44,9
2020-04-12,61,12,46,8
2020-04-11,63,22,51,28
2020-04-10,57,23,49,42
2020-04-09,57,20,43,31
2020-04-08,68,19,41,22
2020-04-07,68,30,43,20
2020-04-06,57,30,45,35
2020-04-05,76,30,40,22
2020-04-04,74,28,46,30
2020-04-03,61,23,44,22
2020-04-02,55,20,40,17
2020-04-01,25,10,35,16
2020-03-31,59,52,33,19
2020-03-30,65,58,34,12
2020-03-29,82,72,38,33
2020-03-28,65,36,35,16
