date, pm25, pm10, o3, no2
2020-07-02,25,19,45,3
2020-07-03,38,18,45,3
2020-07-04,38,16,38,3
2020-07-05,17,14,44,3
2020-07-06,25,14,59,3
2020-07-07,42,28,42,3
2020-07-08,13,12,41,3
2020-07-09,21,14,46,3
2020-07-10,25,14,51,3
2020-07-11,30,20,51,3
2020-07-12,50,13,40,3
2020-07-13,13,12,39,3
2020-07-14,21,17,41,3
2020-07-15,25,15,42,3
2020-07-16,21,17,52,4
2020-07-17,46,15,41,3
2020-07-18,34,10,36,3
2020-07-19,13,8,38,3
2020-07-20,13,13,54,5
2020-07-21,25,13,51,8
2020-07-22,34,19,70,7
2020-07-23,55,16,49,4
2020-07-24,30,14,39,5
2020-07-25,21,9,42,3
2020-07-26,13,17,46,4
2020-07-27,25,19,47,5
2020-07-28,30,15,50,6
2020-07-29,34,20,53,6
2020-07-30,50,20,53,6
2020-07-31,55,30,66,7
2020-08-01,61, , , 
2020-06-02,13,8,41,3
2020-06-03,13,10,43,3
2020-06-04,13,10,36,3
2020-06-05,13,10,37,3
2020-06-06,13,14,40,3
2020-06-07,13,11,30,3
2020-06-08,13,15,29,3
2020-06-09,13,16,32,3
2020-06-10,17,13,29,3
2020-06-11,21,15,35,3
2020-06-12,25,14,39,4
2020-06-13,25,15,32,3
2020-06-14,21,7,32,3
2020-06-15,13,9,34,3
2020-06-16,13,9,39,4
2020-06-17,21,13,36,3
2020-06-18,21,10,34,3
2020-06-19,21,13,35,3
2020-06-20,17,11,45,3
2020-06-21,13,10,48,3
2020-06-22,21,12,53,6
2020-06-23,17,13,44,3
2020-06-24,30,21,50,4
2020-06-25,34,23,48,8
2020-06-26,46,18,47,17
2020-06-27,38,18,50,5
2020-06-28,25,20,66,4
2020-06-29,30,13,46, 
2020-06-30,17,12,41, 
2020-07-01,21,14,42,4
2020-05-02,13,11, ,3
2020-05-03,13,11, ,3
2020-05-04,17,14, ,3
2020-05-05,21,12, ,3
2020-05-06,25,20,33,6
2020-05-07,25,13,43,3
2020-05-08,30,18,43,6
2020-05-09,30,18,50,3
2020-05-10,38,12,47,3
2020-05-11,30,10,38,3
2020-05-12,13,10,28,3
2020-05-13,13,23, ,5
2020-05-14,17,38,37,3
2020-05-15,38,26,36,3
2020-05-16,21,20,32,3
2020-05-17,17,19,37,3
2020-05-18,38,28,30,5
2020-05-19,50,29,37,3
2020-05-20,46,20,36,3
2020-05-21,38,14,41,3
2020-05-22,30,16,47,5
2020-05-23,42,19,42,3
2020-05-24,38,13,41,3
2020-05-25,17,10,40,4
2020-05-26,13,19,34,3
2020-05-27,13,14,36,5
2020-05-28,13,12,43,4
2020-05-29,21,10,35,3
2020-05-30,13,10,40,3
2020-05-31,13,8,36,3
2020-06-01,13,11,35,3
2020-04-02,38,20,43,4
2020-04-03,50,22,45,4
2020-04-04,61,30,43,5
2020-04-05,57,29,43,3
2020-04-06,53,33,47,4
2020-04-07,72,31,44,4
2020-04-08,65,26,43,4
2020-04-09,59,20,44,6
2020-04-10,53,24,52,5
2020-04-11,55,30,59,3
2020-04-12,61,21,48,3
2020-04-13,55,19,48,3
2020-04-14,50,21,44,3
2020-04-15,38,18,38,3
2020-04-16,25,19,40,5
2020-04-17,34,18,40,4
2020-04-18,38,22,41,3
2020-04-19,17,18,37,3
2020-04-20,13,17,35,3
2020-04-21,13,23,34,3
2020-04-22,17,28,36,3
2020-04-23,25,26,46,3
2020-04-24,59,24,46,5
2020-04-25,61,15,43,3
2020-04-26,38,13,41,3
2020-04-27,34,11,42,4
2020-04-28,21,10,32,3
2020-04-29,13,7,34,3
2020-04-30,13,10,33,3
2020-05-01,13,7,33,3
2020-03-02,53,18,33,3
2020-03-03,13,16,34,10
2020-03-04,13,21,23,8
2020-03-05,17,14,30,6
2020-03-06,13,21,33,8
2020-03-07,30,33,26,6
2020-03-08,55,20,35,4
2020-03-09,17,28,35,9
2020-03-10,42,39,30,11
2020-03-12,30,35,32,5
2020-03-13,30,16,30,5
2020-03-14,34,19,29,3
2020-03-15,30,16,38,5
2020-03-16,30,19,37,6
2020-03-17,42,33,37,6
2020-03-18,70,56,43,10
2020-03-19,91,49,43,6
2020-03-20,74,38,37,7
2020-03-21,70,35,40,5
2020-03-22,89,28,33,3
2020-03-23,30,29,33,3
2020-03-24,42,44,33,3
2020-03-25,55,22,34,3
2020-03-26,42,27,33,4
2020-03-27,42,35,26,6
2020-03-28,55,93,34,4
2020-03-29,91,86,41,3
2020-03-30,76,54,37,3
2020-03-31,42,21,35,4
2020-04-01,30,23,39,3
2020-02-02,61,64,20,20
2020-02-03,142,26,10,17
2020-02-04,25,21,30,11
2020-02-05,21,39, , 
2020-02-07,30,35, ,17
2020-02-08,59, ,21,22
2020-02-09,99, ,27,10
2020-02-10,99, ,33,3
2020-02-11,21, ,31,4
2020-02-12,17, ,30,10
2020-02-13,17, ,32,11
2020-02-14,13, , ,11
2020-02-15,70, ,26,11
2020-02-16,72, ,29,11
2020-02-17,89, ,32,7
2020-02-18,42, ,32,11
2020-02-19,87, ,20,15
2020-02-20,107, ,30,8
2020-02-21,13, ,27,16
2020-02-22,59, ,29,8
2020-02-23,68,54,31,7
2020-02-24,70,34,32,11
2020-02-25,46,20,37,3
2020-02-26,13,9,37,3
