date, pm25
2020-07-02,46
2020-07-03,38
2020-07-04,25
2020-07-05,21
2020-07-06,30
2020-07-07,50
2020-07-08,30
2020-07-09,46
2020-07-10,57
2020-07-11,61
2020-07-12,53
2020-07-13,25
2020-07-17,57
2020-07-18,46
2020-07-19,30
2020-07-20,42
2020-07-21,46
2020-07-22,55
2020-07-23,53
2020-07-24,38
2020-07-25,34
2020-07-26,34
2020-07-27,30
2020-07-28,46
2020-07-29,55
2020-07-30,59
2020-06-02,55
2020-06-03,53
2020-06-04,42
2020-06-05,25
2020-06-06,25
2020-06-07,25
2020-06-08,21
2020-06-09,17
2020-06-10,17
2020-06-11,25
2020-06-12,25
2020-06-13,30
2020-06-14,25
2020-06-15,25
2020-06-16,25
2020-06-17,21
2020-06-18,17
2020-06-19,30
2020-06-20,25
2020-06-21,30
2020-06-22,30
2020-06-23,34
2020-06-27,55
2020-06-28,53
2020-06-29,46
2020-06-30,50
2020-07-01,25
2020-05-02,25
2020-05-03,13
2020-05-04,17
2020-05-05,30
2020-05-06,42
2020-05-07,42
2020-05-08,42
2020-05-09,46
2020-05-10,42
2020-05-11,38
2020-05-12,21
2020-05-13,21
2020-05-14,30
2020-05-15,21
2020-05-16,21
2020-05-17,25
2020-05-18,30
2020-05-19,38
2020-05-20,30
2020-05-21,34
2020-05-22,63
2020-05-23,76
2020-05-24,57
2020-05-25,30
2020-05-26,38
2020-05-27,42
2020-05-28,38
2020-05-29,53
2020-05-30,34
2020-05-31,42
2020-06-01,57
2020-04-02,57
2020-04-03,76
2020-04-04,89
2020-04-05,80
2020-04-06,74
2020-04-07,68
2020-04-08,65
2020-04-09,59
2020-04-10,59
2020-04-11,55
2020-04-12,53
2020-04-13,38
2020-04-14,42
2020-04-15,42
2020-04-16,25
2020-04-17,50
2020-04-18,46
2020-04-19,50
2020-04-20,53
2020-04-21,42
2020-04-22,30
2020-04-23,46
2020-04-24,55
2020-04-25,55
2020-04-26,53
2020-04-27,42
2020-04-28,38
2020-04-29,17
2020-04-30,21
2020-05-01,30
2020-03-04,25
2020-03-05,46
2020-03-06,65
2020-03-07,65
2020-03-08,63
2020-03-09,46
2020-03-10,76
2020-03-11,78
2020-03-12,65
2020-03-13,55
2020-03-14,55
2020-03-15,55
2020-03-16,57
2020-03-17,68
2020-03-18,87
2020-03-19,95
2020-03-20,93
2020-03-21,82
2020-03-22,76
2020-03-23,80
2020-03-24,38
2020-03-25,50
2020-03-26,55
2020-03-27,50
2020-03-28,46
2020-03-29,65
2020-03-30,72
2020-03-31,50
2020-04-01,30
2020-02-02,137
2020-02-03,102
2020-02-04,91
2020-02-05,34
2020-02-25,112
2020-02-26,139
2020-02-27,34
2020-02-28,25
2020-02-29,50
2020-03-01,70
2020-01-03,119
2020-01-04,154
2020-01-05,151
2020-01-06,97
2020-01-07,122
2020-01-08,155
2020-01-09,149
2020-01-10,158
2020-01-11,137
2020-01-12,132
2020-01-13,117
2020-01-14,154
2020-01-15,161
2020-01-16,156
2020-01-17,157
2020-01-18,134
2020-01-19,61
2020-01-20,74
2020-01-21,57
2020-01-22,93
2020-01-23,149
2020-01-24,149
2020-01-25,159
2020-01-26,157
2020-01-27,159
2020-01-28,158
2020-01-29,137
2020-01-30,53
2020-01-31,85
2020-02-01,102
2019-10-02,46
2019-10-03,34
2019-10-04,17
2019-10-05,38
2019-10-06,61
2019-10-07,89
2019-10-08,50
2019-10-09,59
2019-10-10,82
2019-10-11,80
2019-10-12,87
2019-10-13,107
2019-10-14,114
2019-10-15,127
2019-10-16,55
2019-10-17,38
2019-10-18,42
2019-10-19,68
2019-10-20,59
2019-10-21,55
2019-10-22,46
2019-10-23,55
2019-10-24,68
2019-10-26,42
2019-10-27,53
2019-10-28,63
2019-10-29,85
2019-10-30,119
2019-10-31,97
2019-11-01,65
2019-11-02,70
2019-11-03,89
2019-11-04,68
2019-11-05,50
2019-11-06,59
2019-11-07,65
2019-11-08,70
2019-11-09,38
2019-11-10,57
2019-11-11,74
2019-11-12,68
2019-11-13,61
2019-11-14,61
2019-11-15,46
2019-11-16,50
2019-11-17,55
2019-11-18,38
2019-11-19,34
2019-11-20,34
2019-11-21,38
2019-11-22,59
2019-11-23,21
2019-11-24,13
2019-11-25,9
2019-11-26,34
2019-11-27,82
2019-11-28,46
2019-11-29,68
2019-11-30,76
2019-12-01,65
2019-12-02,46
2019-12-03,53
2019-12-04,59
2019-12-05,72
2019-12-06,109
2019-12-07,139
2019-12-08,151
2019-12-09,129
2019-12-10,93
2019-12-11,68
2019-12-12,89
2019-12-13,102
2019-12-14,89
2019-12-15,70
2019-12-16,102
2019-12-17,122
2019-12-18,59
2019-12-19,78
2019-12-20,57
2019-12-21,25
2019-12-22,50
2019-12-23,25
2019-12-24,5
2019-12-25,46
2019-12-26,34
2019-12-27,93
2019-07-02,63
2019-07-03,55
2019-07-04,46
2019-07-05,30
2019-07-07,142
2019-07-08,55
2019-07-09,55
2019-07-10,59
2019-07-11,50
2019-07-12,50
2019-07-13,53
2019-07-14,57
2019-07-15,42
2019-07-16,34
2019-07-17,30
2019-07-18,38
2019-07-19,46
2019-07-20,30
2019-07-21,55
2019-07-22,59
2019-07-23,61
2019-07-24,65
2019-07-25,68
2019-07-26,85
2019-07-27,59
2019-07-28,38
2019-07-29,21
2019-07-30,25
2019-07-31,38
2019-08-01,42
2019-08-02,34
2019-08-03,50
2019-08-04,46
2019-08-05,50
2019-08-06,53
2019-08-07,53
2019-08-08,38
2019-08-09,38
2019-08-10,53
2019-08-11,55
2019-08-12,46
2019-08-13,46
2019-08-14,30
2019-08-15,25
2019-08-16,25
2019-08-17,38
2019-08-18,30
2019-08-19,42
2019-08-20,46
2019-08-21,42
2019-08-22,42
2019-08-23,42
2019-08-24,50
2019-08-25,50
2019-08-26,55
2019-08-27,59
2019-08-28,63
2019-08-29,53
2019-08-30,38
2019-08-31,50
2019-09-01,53
2019-09-02,53
2019-09-03,42
2019-09-04,38
2019-09-05,46
2019-09-06,42
2019-09-07,17
2019-09-08,21
2019-09-09,13
2019-09-10,21
2019-09-11,30
2019-09-12,30
2019-09-13,42
2019-09-14,55
2019-09-15,63
2019-09-16,65
2019-09-17,61
2019-09-18,63
2019-09-19,57
2019-09-20,46
2019-09-21,38
2019-09-22,55
2019-09-23,61
2019-09-24,61
2019-09-25,46
2019-09-26,57
2019-09-27,72
2019-09-28,72
2019-09-29,63
2019-09-30,46
2019-10-01,50
2019-04-02,101
2019-04-06,38
2019-04-07,46
2019-04-08,34
2019-04-09,46
2019-04-10,50
2019-04-11,53
2019-04-12,46
2019-04-13,38
2019-04-14,61
2019-04-15,38
2019-04-16,42
2019-04-17,57
2019-04-18,70
2019-04-19,72
2019-04-20,63
2019-04-21,53
2019-04-22,53
2019-04-23,55
2019-04-24,21
2019-04-25,38
2019-04-26,30
2019-04-27,38
2019-04-28,42
2019-04-29,21
2019-04-30,21
2019-05-01,46
2019-05-02,38
2019-05-03,46
2019-05-04,38
2019-05-05,42
2019-05-06,25
2019-05-07,21
2019-05-08,42
2019-05-09,38
2019-05-10,38
2019-05-11,46
2019-05-12,38
2019-05-13,21
2019-05-14,30
2019-05-15,34
2019-05-16,30
2019-05-17,34
2019-05-18,46
2019-05-19,34
2019-05-20,30
2019-05-21,30
2019-05-22,42
2019-05-23,42
2019-05-24,50
2019-05-29,42
2019-05-30,25
2019-05-31,25
2019-06-01,59
2019-06-02,53
2019-06-03,46
2019-06-04,53
2019-06-05,46
2019-06-06,53
2019-06-07,53
2019-06-08,42
2019-06-09,59
2019-06-10,55
2019-06-11,57
2019-06-12,42
2019-06-13,38
2019-06-14,30
2019-06-15,55
2019-06-16,68
2019-06-17,38
2019-06-18,50
2019-06-19,57
2019-06-20,53
2019-06-21,55
2019-06-22,55
2019-06-23,42
2019-06-24,38
2019-06-25,46
2019-06-26,59
2019-06-27,65
2019-06-28,70
2019-06-29,68
2019-06-30,186
2019-07-01,68
2019-01-02,152
2019-01-03,151
2019-01-04,97
2019-01-05,109
2019-01-06,147
2019-01-07,127
2019-01-08,124
2019-01-09,162
2019-01-10,137
2019-01-11,57
2019-01-12,76
2019-01-13,97
2019-01-14,112
2019-01-15,42
2019-01-16,76
2019-01-17,104
2019-01-18,129
2019-01-19,124
2019-01-20,65
2019-01-21,104
2019-01-22,127
2019-01-23,134
2019-01-24,122
2019-01-25,93
2019-01-26,137
2019-01-27,134
2019-01-28,155
2019-01-29,76
2019-01-30,74
2019-01-31,91
2019-02-01,109
2019-02-02,68
2019-02-03,80
2019-02-04,89
2019-02-05,109
2019-02-06,134
2019-02-07,155
2019-02-08,158
2019-02-09,161
2019-02-10,155
2019-02-11,157
2019-02-12,55
2019-02-13,72
2019-02-14,85
2019-02-15,119
2019-02-16,152
2019-02-17,154
2019-02-18,155
2019-02-19,149
2019-02-20,102
2019-02-21,112
2019-02-22,147
2019-02-23,142
2019-02-24,80
2019-02-25,85
2019-02-26,132
2019-02-28,137
2019-03-01,132
2019-03-02,76
2019-03-03,50
2019-03-04,72
2019-03-05,65
2019-03-06,53
2019-03-07,59
2019-03-08,63
2019-03-09,87
2019-03-10,55
2019-03-11,57
2019-03-12,21
2019-03-13,46
2019-03-14,50
2019-03-15,25
2019-03-16,21
2019-03-17,42
2019-03-18,50
2019-03-20,30
2019-03-21,53
2019-03-22,70
2019-03-23,82
2019-03-24,87
2019-03-25,95
2019-03-26,78
2019-03-27,46
2019-03-30,80
2019-03-31,89
2019-04-01,87
2018-10-02,55
2018-10-03,34
2018-10-04,63
2018-10-05,57
2018-10-06,61
2018-10-07,78
2018-10-08,65
2018-10-09,68
2018-10-10,72
2018-10-11,89
2018-10-12,76
2018-10-13,59
2018-10-14,55
2018-10-15,82
2018-10-16,87
2018-10-17,91
2018-10-18,95
2018-10-19,78
2018-10-20,61
2018-10-21,80
2018-10-22,89
2018-10-23,34
2018-10-24,70
2018-10-25,70
2018-10-27,122
2018-10-28,95
2018-10-29,21
2018-10-30,25
2018-10-31,25
2018-11-01,72
2018-11-03,175
2018-11-09,57
2018-11-10,57
2018-11-13,87
2018-11-14,85
2018-11-15,76
2018-11-16,76
2018-11-17,80
2018-11-18,59
2018-11-19,70
2018-11-20,78
2018-11-21,68
2018-11-22,70
2018-11-24,65
2018-11-25,50
2018-11-26,72
2018-11-27,59
2018-11-28,61
2018-11-29,80
2018-11-30,104
2018-12-01,119
2018-12-02,129
2018-12-03,114
2018-12-04,127
2018-12-05,109
2018-12-06,112
2018-12-09,34
2018-12-10,46
2018-12-12,63
2018-12-13,74
2018-12-14,72
2018-12-15,95
2018-12-16,134
2018-12-17,155
2018-12-18,147
2018-12-19,137
2018-12-20,152
2018-12-21,99
2018-12-22,97
2018-12-23,89
2018-12-24,147
2018-12-25,93
2018-12-26,102
2018-12-27,109
2018-12-28,155
2018-12-29,159
2018-12-30,156
2018-12-31,142
2018-07-04,55
2018-07-05,42
2018-07-06,53
2018-07-07,46
2018-07-08,30
2018-07-09,50
2018-07-10,57
2018-07-11,65
2018-07-12,55
