date, pm25, pm10, no2
2020-07-02,61,13,12
2020-07-03,53,10,17
2020-07-04,46,10,12
2020-07-05,30,10,11
2020-07-06,46,19,15
2020-07-07,65,16,19
2020-07-08,55,18,21
2020-07-09,42,22,21
2020-07-10,59,24,25
2020-07-11,65,13,17
2020-07-12,42,5,11
2020-07-13,30,10,17
2020-07-14,38,14,20
2020-07-15,50,15,22
2020-07-16,55,12,17
2020-07-17,46,15,22
2020-07-18,50,9,16
2020-07-19,42,10,17
2020-07-20,30,11,20
2020-07-21,46,16,21
2020-07-22,55,11,17
2020-07-23,50,12,18
2020-07-24,30,12,21
2020-07-25,55,10,17
2020-07-26,42,12,23
2020-07-27,46,27,18
2020-07-28,72,26,18
2020-07-29,70,16,14
2020-07-30,59,25,16
2020-07-31,74,18,24
2020-08-01,61, , 
2020-06-02,68,19,10
2020-06-03,63,15,13
2020-06-04,61,14,18
2020-06-05,50,8,21
2020-06-06,21,14,16
2020-06-07,53,13,12
2020-06-08,46,10,18
2020-06-09,30,10,14
2020-06-10,25,9,14
2020-06-11,30,10,27
2020-06-12,46,18,19
2020-06-13,59,10,13
2020-06-14,42,5,13
2020-06-15,21,10,22
2020-06-16,38,15,29
2020-06-17,53,13,17
2020-06-18,42,7,13
2020-06-19,25,8,28
2020-06-20,30,9,20
2020-06-21,21,5,22
2020-06-22,21,6,22
2020-06-23,30,10,26
2020-06-24,30,19,22
2020-06-25,55,20,19
2020-06-26,63,20,17
2020-06-27,70,14,17
2020-06-28,50,12,14
2020-06-29,50,16,15
2020-06-30,46,20,17
2020-07-01,61,22,17
2020-05-02,42,7,2
2020-05-03,13,4,2
2020-05-04,17,10,16
2020-05-05,38,18,17
2020-05-06,55,28,18
2020-05-07,68,17,19
2020-05-08,53,20,26
2020-05-09,61,11,16
2020-05-10,50,18,10
2020-05-11,53,14,17
2020-05-12,55,10,19
2020-05-13,21,13,16
2020-05-14,50,15,14
2020-05-15,53,13,16
2020-05-16,42,13,13
2020-05-17,42,17,14
2020-05-18,50,14,15
2020-05-19,34,21,17
2020-05-20,68,24,16
2020-05-21,65,20,15
2020-05-22,30,25,22
2020-05-23,74,24,17
2020-05-24,72,6,17
2020-05-25,13,10,16
2020-05-26,42,15,17
2020-05-27,46,10,21
2020-05-28,42,15,17
2020-05-29,53,13,12
2020-05-30,53,10,14
2020-05-31,53,13,10
2020-06-01,59,18,13
2020-04-02,61,27,34
2020-04-03,85,30,40
2020-04-04,93,33,18
2020-04-05,97,21,13
2020-04-06,76,21,12
2020-04-07,74,21,11
2020-04-08,72,23,12
2020-04-09,76,24,17
2020-04-10,70,17,12
2020-04-11,65,15,12
2020-04-12,63,10,5
2020-04-13,42,15,2
2020-04-14,57,20,12
2020-04-15,65,17,7
2020-04-16,53,23,15
2020-04-17,63,20,15
2020-04-18,61,22,9
2020-04-19,57,27,5
2020-04-20,70,24,8
2020-04-21,74,17,7
2020-04-22,61,17,7
2020-04-23,55,22,10
2020-04-24,68,25,8
2020-04-25,76,20,9
2020-04-26,61,12,1
2020-04-27,53,16,7
2020-04-28,53,14,9
2020-04-29,42,7,4
2020-04-30,30,10,7
2020-05-01,46,9,1
2020-03-04,38,10,39
2020-03-05,30,23,27
2020-03-06,78,24,31
2020-03-07,82,14,25
2020-03-08,50,11,31
2020-03-09,38,22,27
2020-03-10,70,8,22
2020-03-11,25,17,38
2020-03-12,59,24,26
2020-03-13,70,24,25
2020-03-14,72,17,16
2020-03-15,57,16,13
2020-03-16,55,21,26
2020-03-17,65,25,26
2020-03-18,74,28,31
2020-03-19,85,20,31
2020-03-20,68,30,25
2020-03-21,80,21,22
2020-03-22,76,30,7
2020-03-23,87,19,12
2020-03-24,53,20,23
2020-03-25,53,20,17
2020-03-26,61,23,19
2020-03-27,76,24,18
2020-03-28,76,58,27
2020-03-29,80,60,19
2020-03-30,78,11,15
2020-03-31,50,12,14
2020-04-01,38,18,25
2020-02-02,97,22,29
2020-02-03,74,40,37
2020-02-04,85,16,29
2020-02-05,50,13,31
2020-02-06,59,36,50
2020-02-07,89,24,44
2020-02-08,65,43,36
2020-02-09,107,53,34
2020-02-10,139,56,41
2020-02-11,151,11,33
2020-02-12,57,11,46
2020-02-13,38,23,36
2020-02-14,70,16,45
2020-02-15,70,31,38
2020-02-16,97,55,33
2020-02-17,152,63,33
2020-02-18,159,42,39
2020-02-19,119,15,31
2020-02-20,59,17,42
2020-02-21,63,31,44
2020-02-22,85,52,41
2020-02-23,137,54,39
2020-02-24,144,52,29
2020-02-25,119,50,28
2020-02-26,114,21,22
2020-02-27,68,10,27
2020-02-28,38,14,40
2020-02-29,50,18,27
2020-03-01,61, , 
2020-01-02,102,36,33
2020-01-03,95,34,38
2020-01-04,91,32,46
2020-01-05,85,31,42
2020-01-06,89,37,30
2020-01-07,102,39,34
2020-01-08,99,49,44
2020-01-09,127,35,54
2020-01-10,89,33,36
2020-01-11,82,38,43
2020-01-12,91,29,34
2020-01-13,78,45,37
2020-01-14,114,51,32
2020-01-15,134,55,36
2020-01-16,144,46,37
2020-01-17,122,32,41
2020-01-18,91,35,33
