date, pm25, pm10, o3
2020-07-02,57,14,61
2020-07-03,50,10,45
2020-07-04,25,12,50
2020-07-05,30,16,65
2020-07-06,42,16,82
2020-07-07,46,12,45
2020-07-08,34,16,59
2020-07-09,30,20,85
2020-07-10,46,24,90
2020-07-11,55,15,59
2020-07-12,50,7,43
2020-07-13,21,10,51
2020-07-14,30,15,50
2020-07-15,30,14,59
2020-07-16,38,17,70
2020-07-17,50,12,50
2020-07-18,42,10,47
2020-07-19,25,12,61
2020-07-20,25,17,66
2020-07-21,42,17,72
2020-07-22,46,18,76
2020-07-23,50,13,71
2020-07-24,38,12,33
2020-07-25,30,12,50
2020-07-26,30,11,50
2020-07-27,34,16,64
2020-07-28,42,21,77
2020-07-29,57,21,82
2020-07-30,55,24,79
2020-07-31,61,21,76
2020-08-01,61, , 
2020-06-02,38,17,60
2020-06-03,42,15,32
2020-06-04,38,16,29
2020-06-05,34,5,47
2020-06-06,17,15,51
2020-06-07,42,14,32
2020-06-08,34,9,28
2020-06-09,21,10,39
2020-06-10,30,14,38
2020-06-11,34,14,41
2020-06-12,25,14,44
2020-06-13,30,20,49
2020-06-14,42,12,44
2020-06-15,38,14,43
2020-06-16,38,10,40
2020-06-17,34,11,43
2020-06-18,30,13,40
2020-06-19,38,16,39
2020-06-20,46,11,45
2020-06-21,34,8,55
2020-06-22,30,11,49
2020-06-23,42,14,60
2020-06-24,42,20,59
2020-06-25,53,20,65
2020-06-26,55,18,59
2020-06-27,53,20,70
2020-06-28,55,22,60
2020-06-29,57,21,50
2020-06-30,55,16,54
2020-07-01,53,19,49
2020-05-02,21,12,44
2020-05-03,38,12,44
2020-05-04,38,10,48
2020-05-05,25,16,47
2020-05-06,34,19,41
2020-05-07,34,14,54
2020-05-08,57,19,71
2020-05-09,50,18,70
2020-05-10,42,19,59
2020-05-11,34,12,43
2020-05-12,25,14,41
2020-05-13,21,10,24
2020-05-14,17,22,50
2020-05-15,42,17,35
2020-05-16,38,15,37
2020-05-17,38,12,41
2020-05-18,34,18,46
2020-05-19,46,20,35
2020-05-20,46,20,53
2020-05-21,46,19,51
2020-05-22,50,20,57
2020-05-23,53,24,66
2020-05-24,53,14,45
2020-05-25,42,13,46
2020-05-26,34,13,46
2020-05-27,34,14,49
2020-05-28,34,17,50
2020-05-29,38,11,42
2020-05-30,38,17,45
2020-05-31,50,13,43
2020-06-01,34,14,53
2020-04-02,53,22,42
2020-04-03,63,37,50
2020-04-04,93,34,55
2020-04-05,87,22,44
2020-04-06,65,23,53
2020-04-07,61,26,55
2020-04-08,63,22,47
2020-04-09,53,23,55
2020-04-10,55,27,59
2020-04-11,63,30,65
2020-04-12,65,23,59
2020-04-13,59,28,51
2020-04-14,65,23,51
2020-04-15,53,20,43
2020-04-16,50,30,47
2020-04-17,70,43,51
2020-04-18,91,36,51
2020-04-19,74,24,60
2020-04-20,55,16,43
2020-04-21,38,20,39
2020-04-22,53,18,45
2020-04-23,42,22,59
2020-04-24,59,30,64
2020-04-25,72,22,52
2020-04-26,61,16,53
2020-04-27,50,22,44
2020-04-28,57,20,35
2020-04-29,46,11,34
2020-04-30,30,11,41
2020-05-01,30,9,36
2020-03-04,38,11,30
2020-03-05,34,16,30
2020-03-06,42,20,24
2020-03-07,59,24,30
2020-03-08,68,11,38
2020-03-09,42,27,34
2020-03-10,68,36,29
2020-03-11,89,39,33
2020-03-12,95,53,25
2020-03-13,122,41,29
2020-03-14,95,19,29
2020-03-15,59,13,38
2020-03-16,46,27,37
2020-03-17,63,42,41
2020-03-18,93,43,45
2020-03-19,107,28,45
2020-03-20,76,39,47
2020-03-21,91,51,43
2020-03-22,127,22,33
2020-03-23,68,15,36
2020-03-24,34,19,36
2020-03-25,53,14,35
2020-03-26,42,18,33
2020-03-27,46,39,28
2020-03-28,74,64,39
2020-03-29,76,69,43
2020-03-30,78,37,37
2020-03-31,59,10,35
2020-04-01,30,17,37
2020-02-02,153,52,8
2020-02-03,127,57,9
2020-02-04,127,28,32
2020-02-05,68,9,30
2020-02-06,21,20,30
2020-02-07,38,42,24
2020-02-08,87,55,19
2020-02-09,124,61,22
2020-02-10,152,57,19
2020-02-11,151,41,34
2020-02-12,82,32,32
2020-02-13,78,43,26
2020-02-14,87,36,24
2020-02-15,87,46,25
2020-02-16,107,55,25
2020-02-17,137,64,8
2020-02-18,155,60,14
2020-02-19,137,40,30
2020-02-20,97,24,30
2020-02-21,57,45,22
2020-02-22,89,47,32
2020-02-23,104,58,21
2020-02-24,142,55,35
2020-02-25,137,64,22
2020-02-26,154,46,32
2020-02-27,102,20,31
2020-02-28,50,26,36
2020-02-29,53,29,26
2020-03-01,59, , 
2020-01-02,147,56,15
2020-01-03,144,51,10
2020-01-04,124,43,12
2020-01-05,107,38,28
2020-01-06,95,48,27
2020-01-07,112,72,4
2020-01-08,163,51,3
2020-01-09,129,51,2
2020-01-10,122,58,1
2020-01-11,144,53,18
2020-01-12,119,34,20
2020-01-13,82,46,22
2020-01-14,104,58,8
2020-01-15,151,67,5
2020-01-16,158,61,15
2020-01-17,158,37,17
2020-01-18,91,34,21
2020-01-19,76,23,22
2020-01-20,68,20,24
2020-01-21,42,27,21
2020-01-22,61,49,10
2020-01-23,107,54,20
2020-01-24,124,59,9
2020-01-25,144,67,3
2020-01-26,157,60,13
2020-01-27,157,54,24
2020-01-28,137,51,10
2020-01-29,124,31,18
2020-01-30,80,51,15
2020-01-31,112,55,12
2020-02-01,139,62,9
2019-10-02,89,18,30
2019-10-03,46,7,36
2019-10-04,38,12,30
2019-10-05,38,39,32
2019-10-06,104,17,36
2019-10-07,59,11,28
2019-10-08,50,18,31
2019-10-09,59,19,24
2019-10-10,68,24,26
2019-10-11,78,21,28
2019-10-12,74,43,30
2019-10-13,144,50,25
2019-10-14,158,54,36
2019-10-15,159,33,31
2019-10-16,153,14,31
2019-10-17,50,24,30
2019-10-18,74,24,22
2019-10-19,82,20,18
2019-10-20,76,15,35
2019-10-21,53,19,35
2019-10-22,61,27,32
2019-10-23,82,28,23
