date,daily_cases,med_temp,med_hum,pm25,o3,no2,retail,grocery,parks,transit,work,home,rt1,rt2
2020-02-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.89362638553858,NaN
2020-02-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.86641044791236,NaN
2020-02-24,0,9.2,93.8884117854376,124,32,12,-9,16,17,-19,-18,5,1.84190034087866,NaN
2020-02-25,0,9,93.5298058079933,80,19,14,-13,-2,2,-24,-17,6,1.81149872267697,NaN
2020-02-26,0,7.5,18.7024830665809,157,33,12,-14,-9,5,-27,-16,6,1.78020972657377,NaN
2020-02-27,0,6.85,61.8286963674994,65,27,17,-10,-7,15,-26,-15,6,1.74110502052782,NaN
2020-02-28,0,8.475,11.9658303690485,42,36,22,-9,-7,19,-20,-14,6,1.69907229687772,NaN
2020-02-29,0,7,79.9821850491253,53,19,22,-18,-6,-1,-15,-9,5,1.6548506438734,NaN
2020-03-01,0,NaN,NaN,82,NaN,NaN,-17,-7,-1,-25,-6,5,1.60651901897377,NaN
2020-03-02,0,7.25,96.2570723378935,NaN,NaN,NaN,-18,-10,-37,-32,-13,7,1.55655861516696,NaN
2020-03-03,1,7.7,53.5123170653232,NaN,28,19,-6,-1,20,-22,-11,4,1.50443962602237,NaN
2020-03-04,15,8,27.2216045640964,NaN,34,16,-12,-1,25,-23,-12,5,1.45497084851985,1.61162982454176
2020-03-05,6,4,100,NaN,26,20,-23,-7,-27,-36,-15,9,1.40051179556125,1.58184714046084
2020-03-06,10,7.7,80.3369159228231,NaN,28,21,-19,-7,-4,-29,-16,9,1.34625005677887,1.55583966920701
2020-03-07,8,8.5,25.1023189305859,157,33,12,-27,-9,31,-18,-10,6,1.29498949526943,1.52562611129417
2020-03-08,20,NaN,NaN,172,37,13,-52,-17,11,-40,-13,9,1.24461806924288,1.48880028167532
2020-03-09,3,5.55,93.3358465665019,NaN,37,13,-44,-15,-34,-55,-27,15,1.19593215690025,1.46100377644677
2020-03-10,2,8.6,62.3061024053346,59,34,19,-47,-19,-28,-54,-29,16,1.14996152205607,1.43069246024439
2020-03-11,40,10,89.1836293975993,65,36,11,-51,-21,-23,-56,-33,17,1.10747245270097,1.39159395611089
2020-03-12,27,9,99.5010559688705,50,32,9,-67,-28,-46,-65,-41,22,1.06716179411028,1.35008456037928
2020-03-13,4,9,100,53,32,18,-72,-32,-57,-67,-47,26,1.02938319285471,1.30648889612374
2020-03-14,46,8.9,93.4342577566707,38,40,6,-84,-50,-67,-76,-52,25,0.993021094764328,1.2591480909445
2020-03-15,25,NaN,NaN,70,23,6,-89,-68,-60,-79,-46,20,0.961336778264873,1.20907319753762
2020-03-16,66,10,40.2746914685616,53,33,7,-72,-39,-50,-71,-53,26,0.933171115980077,1.16118893113722
2020-03-17,50,10.7,47.6455478291141,78,36,11,-74,-42,-57,-71,-56,27,0.909822210127114,1.10303069910768
2020-03-18,51,12.1,48.8125206052243,76,38,11,-76,-45,-51,-74,-57,28,0.884516462430111,1.05043649823547
2020-03-19,0,13.5,37.0466664249678,114,43,15,-76,-44,-51,-74,-58,29,0.865127700778101,1.01665108299665
2020-03-20,221,12.5,66.9804320120363,132,45,15,-76,-41,-70,-74,-59,31,0.847702603216468,0.995462898236273
2020-03-21,59,11.5,56.8686633563817,97,34,11,-86,-56,-73,-80,-57,26,0.829984329022394,0.983439449775145
2020-03-22,106,NaN,NaN,74,41,7,-93,-82,-80,-86,-55,23,0.814502649060043,0.983402465263111
2020-03-23,57,4.85,30.1750779293338,89,29,5,-78,-48,-70,-78,-63,31,0.800887922687233,0.991522987298943
2020-03-24,129,5.2,27.2975721587523,50,31,9,-79,-49,-73,-78,-64,31,0.789506669744908,0.999037824494014
2020-03-25,0,4,37.5261602188099,61,35,10,-80,-52,-71,-79,-66,32,0.777517019271429,1.01633702635572
2020-03-26,34,2,57.3067505117313,59,32,5,-82,-52,-73,-80,-67,34,0.767143044677543,1.03090699982127
2020-03-27,126,6,66.6299757220885,55,26,5,-81,-48,-78,-80,-66,36,0.757470215118415,1.04698420493095
2020-03-28,91,11.5,56.2459411404561,80,27,8,-87,-59,-76,-82,-60,27,0.750373909632283,1.06377940061394
2020-03-29,58,NaN,NaN,112,37,8,-93,-84,-77,-85,-54,22,0.741920116208232,1.073694293925
2020-03-30,25,9,78.1279240608925,109,39,5,-80,-50,-72,-78,-64,32,0.734958834582062,1.07540324277288
2020-03-31,37,6.1,49.306590439716,80,35,10,-91,-49,-74,-77,-65,32,0.728687144287035,1.05705171611848
2020-04-01,61,5.6,34.9617706030029,38,31,6,-91,-48,-63,-77,-65,32,0.721540415860544,1.02900163527936
2020-04-02,50,7,43.4617731082623,61,37,8,-90,-47,-62,-76,-65,32,0.714917413833219,0.987553998435017
2020-04-03,63,10.8,34.4814583431321,78,41,8,-84,-45,-73,-77,-64,34,0.709789124281549,0.955212814926647
2020-04-04,100,13.7,24.6665912773527,91,45,11,-90,-57,-74,-81,-57,27,0.704140689532584,0.93314329939831
2020-04-05,172,NaN,NaN,91,47,7,-95,-82,-78,-86,-55,23,0.700405519285436,0.934412692434478
2020-04-06,141,15,32.3839520863852,78,46,11,-82,-45,-64,-76,-61,30,0.696573802451221,0.93959010689326
2020-04-07,42,17,24.5516207002787,87,53,11,-80,-44,-69,-76,-62,30,0.692757697888205,0.956265573062816
2020-04-08,70,16.6,27.1679994228216,91,46,11,-80,-44,-62,-77,-62,30,0.68942310619914,0.970569922999844
2020-04-09,65,15.1,20.467737102382,78,51,8,-79,-39,-61,-76,-61,30,0.686850601608196,0.98344845024336
2020-04-10,38,16.45,29.2588778636041,72,53,11,-79,-35,-69,-76,-63,32,0.685024476082737,0.987883142712015
2020-04-11,72,16.2,32.2542693045746,74,49,7,-86,-51,-73,-79,-57,26,0.682500109407518,0.981431365600209
2020-04-12,57,NaN,NaN,63,42,4,-96,-93,-81,-86,-57,23,0.681427909386294,0.966416701582144
2020-04-13,67,NaN,NaN,53,50,NaN,-96,-95,-73,-91,-89,41,0.680720281636921,0.944063554162883
2020-04-14,52,15.05,52.8744333009544,59,41,4,-78,-43,-71,-75,-60,28,0.679420418086187,0.91719619873055
2020-04-15,40,12,48.8208144886953,61,37,6,-78,-43,-61,-76,-59,29,0.680006782523987,0.894879149057274
2020-04-16,173,13.1,50.4800971604647,50,45,13,-76,-41,-62,-74,-59,29,0.680577040913077,0.89054628882123
2020-04-17,116,13.2,76.2764283160273,59,41,15,-77,-40,-71,-75,-59,31,0.680787536064382,0.88323857058664
2020-04-18,56,13,93.7127979787003,53,43,10,-85,-53,-71,-79,-53,25,0.681208786971088,0.875218773381028
2020-04-19,31,NaN,NaN,57,35,4,-94,-82,-79,-85,-50,22,0.683651376813099,0.87187043939228
2020-04-20,32,13,96.3644153323528,61,33,6,-77,-48,-73,-77,-58,29,0.685918621594061,0.860159639917566
2020-04-21,84,9,87.3842257806408,61,29,6,-78,-48,-76,-77,-58,29,0.689072547661057,0.851789890132043
2020-04-22,109,14,27.7977792533638,59,45,7,-75,-43,-60,-74,-55,28,0.692749869842368,0.844974598630809
2020-04-23,26,16,35.2893918569491,68,48,15,-75,-39,-59,-72,-56,28,0.69823969904726,0.833121567077458
2020-04-24,80,15,41.6936938424546,72,54,17,-73,-30,-67,-73,-56,29,0.702816315231811,0.822507141545209
2020-04-25,66,NaN,NaN,72,42,5,-95,-95,-75,-87,-69,29,0.707437780049438,0.806726539229675
2020-04-26,8,NaN,NaN,50,41,4,-90,-68,-70,-83,-45,21,0.714853837361228,0.781981903974165
2020-04-27,83,12,82.2266362322384,30,33,9,-70,-36,-59,-73,-53,26,0.719258662461903,0.74619187182467
2020-04-28,47,12,93.6680268874372,30,31,10,-73,-42,-64,-73,-54,27,0.727112378352748,0.717102064204516
2020-04-29,28,13.3,74.6412894768289,38,38,6,-72,-37,-57,-70,-53,26,0.733926948276003,0.678356864580998
2020-04-30,71,13,87.7742301019844,25,34,10,-70,-25,-56,-70,-53,25,0.741974480256771,0.657578388380468
2020-05-01,74,NaN,NaN,34,30,6,-94,-94,-73,-89,-84,43,0.749272968126176,0.644499333353294
2020-05-02,68,16.95,56.7202785838071,46,38,6,-80,-43,-62,-74,-49,23,0.755634727129785,0.648580297753559
2020-05-03,25,NaN,NaN,34,41,6,-90,-73,-63,-81,-41,20,0.763135927797965,0.655684057990071
2020-05-04,9,17.15,33.6866386426366,34,45,9,-60,-29,-22,-60,-42,18,0.769619587902925,0.652366699075975
2020-05-05,13,12.85,93.7348692974656,53,32,13,-61,-29,-33,-60,-43,19,0.777660912865833,0.648020899007902
2020-05-06,16,18.05,71.9304450493489,34,40,8,-62,-31,-21,-62,-42,19,0.783613151583775,0.645511095458308
2020-05-07,32,17.65,48.9163961910397,50,48,9,-61,-29,-17,-60,-42,19,0.791621311087732,0.651562322000511
2020-05-08,58,18.95,38.8451580366573,61,53,11,-62,-28,-32,-60,-42,21,0.799930236777412,0.682944726884304
2020-05-09,11,16.7,62.6192087383019,55,44,10,-70,-37,-24,-61,-38,17,0.806665118158079,0.713427614322976
2020-05-10,7,NaN,NaN,38,45,2,-79,-61,-34,-64,-30,14,0.811886785569976,0.751129743705848
2020-05-11,2,12.575,93.6680268874372,42,29,6,-63,-37,-51,-66,-41,21,0.81934956026916,0.778853248425219
2020-05-12,12,14,91.3560689366134,30,32,6,-58,-28,-34,-56,-39,18,0.825389162569194,0.808943362607175
2020-05-13,11,15,82.3964219440145,34,15,12,-62,-32,-47,-63,-39,20,0.832551652141727,0.85050485649616
2020-05-14,14,16,82.5172385848174,55,39,6,-59,-28,-23,-58,-38,19,0.83760647235556,0.900465798254192
2020-05-15,10,13.2,93.2415573999713,76,35,6,-60,-27,-36,-58,-40,21,0.842634232978722,0.927887792862247
2020-05-16,10,16,87.054955306027,38,36,3,-68,-35,-38,-62,-33,17,0.846369509216715,0.965235497282944
