date,daily_cases,med_temp,med_hum,pm25,pm10,o3,no2,retail,grocery,parks,transit,work,home,infections,rt1,rt2,city_id
2020-02-24,0,10,76.431847934822,117,51,26,22,-16,19,25,-28,-22,7,170.304490308499,1.74574853854618,NaN,12
2020-02-25,18,10,81.8028893681597,127,44,29,22,-19,-4,19,-31,-22,9,192.887189520043,1.67899073577719,1.68593576549266,12
2020-02-26,2,7.93333333333333,31.1746769751877,104,22,37,19,-21,-12,6,-34,-20,10,216.965444157843,1.61324428069562,1.65412354327309,12
2020-02-27,52,6.5,30.7241175696747,65,12,32,24,-17,-10,17,-36,-20,10,242.062805413571,1.53998832022936,1.61275593081867,12
2020-02-28,31,8.6,25.7544620712279,46,11,37,32,-14,-11,43,-36,-20,9,267.685925424829,1.46619818838342,1.57750313911274,12
2020-02-29,7,7.5,43.2879380181887,57,23,30,23,-21,-10,1,-32,-24,8,293.199114447255,1.395822499713,1.54326275692842,12
2020-03-01,99,5.95,93.3854180341491,80,NaN,NaN,NaN,-31,-22,-40,-39,-15,8,317.838612051202,1.32386010041058,1.50886826924451,12
2020-03-02,34,6.75,93.4342577566707,NaN,NaN,NaN,NaN,-23,-19,-51,-48,-20,10,340.946185018775,1.25414999413763,1.47874487400305,12
2020-03-03,129,6.5,88.4201885486357,NaN,17,28,19,-13,-8,13,-38,-20,9,361.817427895524,1.1900226498738,1.44565277450341,12
2020-03-04,51,7.25,68.3164801830337,57,15,31,29,-17,-5,41,-37,-20,9,379.746069999616,1.12781466574115,1.4130178964552,12
2020-03-05,114,5.2,84.1459919643554,57,18,30,16,-23,-9,-26,-46,-22,11,394.266183465775,1.07060614053189,1.37172748871044,12
2020-03-06,86,4.88333333333333,91.7298472170023,61,20,25,27,-24,-10,-8,-47,-23,12,404.726476503057,1.01749862501476,1.32755078295584,12
2020-03-07,138,7,62.2128378851644,72,23,32,24,-34,-13,40,-37,-28,10,411.549874668697,0.967908648765153,1.28207567338221,12
2020-03-08,236,7,51.9888084690917,72,12,38,17,-50,-29,3,-43,-25,10,414.225755133504,0.923193379154373,1.23811924408842,12
2020-03-09,248,7.53333333333333,74.6249460300503,50,25,32,22,-44,-17,-44,-61,-33,17,412.871484753271,0.885143629324816,1.18846532699704,12
2020-03-10,227,9,58.6115587175568,76,16,34,16,-54,-18,-31,-62,-40,20,407.804555017675,0.848751665661351,1.14817320950087,12
