date,daily_cases,med_temp,med_hum,pm25,pm10,o3,no2,retail,grocery,parks,transit,work,home,infections,rt1,rt2,city_id
2020-02-24,0,9,85.3416358986948,104,49,21,33,-8,36,28,-15,-16,6,17.1289337286119,2.00455534069653,NaN,6
2020-02-25,0,11,80.8086717177881,109,43,18,34,-12,3,25,-22,-16,7,19.878587198375,1.98052789893522,NaN,6
2020-02-26,0,8.8,44.025041057644,89,17,29,28,-18,-7,-16,-29,-15,8,23.2175104575578,1.95959102146119,NaN,6
2020-02-27,0,9.75,36.8820587121219,42,4,28,19,-13,-3,-4,-28,-15,7,26.839940949664,1.93083913610629,NaN,6
2020-02-28,0,8.48333333333333,32.3624361571555,13,13,28,40,-12,-4,4,-29,-15,7,30.9014886554262,1.90243293223802,NaN,6
2020-02-29,2,10,47.0013156089009,42,20,23,33,-15,0,-6,-22,-17,5,35.5128565085076,1.86824868659502,NaN,6
2020-03-01,0,7,87.248859931572,55,33,22,18,-27,-4,-45,-39,-9,5,40.6918999574884,1.8253266224324,NaN,6
2020-03-02,1,10.75,79.3627470555705,82,16,24,32,-15,-2,-23,-31,-13,6,46.442516185631,1.78073074293955,NaN,6
2020-03-03,3,7.68333333333333,87.3395299394792,38,9,17,26,-15,-5,-25,-31,-13,7,52.746139968423,1.73494079697777,NaN,6
2020-03-04,5,7,77.3082252754604,21,16,19,33,-14,-1,-7,-30,-13,6,59.5742029740256,1.68271599587343,1.60427919702036,6
2020-03-05,8,8.93333333333333,75.574016344487,42,20,15,44,-17,-2,-15,-32,-15,8,66.8979065311011,1.63053535397444,1.5717645217981,6
2020-03-06,22,7.86666666666667,85.815176641733,46,21,22,37,-19,-1,-11,-34,-15,8,74.6444809522633,1.57266041760976,1.55146798688831,6
2020-03-07,8,8.75,83.6521452737846,59,31,22,42,-25,3,-20,-34,-20,8,82.7140272099014,1.51556322399223,1.54527033566357,6
2020-03-08,13,7.25,65.193051635158,72,13,29,47,-36,0,15,-39,-13,5,90.9663136120166,1.4541601933474,1.53261303669687,6
2020-03-09,18,7.5,71.2247317841679,38,22,22,44,-33,-1,-16,-45,-21,11,99.2405603269153,1.39622256712082,1.50993801300098,6
2020-03-10,6,9.25,65.4024907619495,59,23,23,43,-45,-3,-23,-51,-28,16,107.296177685983,1.33426874790225,1.48385400483601,6
2020-03-11,22,10.75,57.5459661507768,65,20,26,37,-51,-9,-19,-57,-33,19,115.067528660245,1.27812186968834,1.45507969916237,6
2020-03-12,14,11,77.9338836682378,57,30,31,30,-68,-15,-54,-66,-42,24,122.260692644798,1.22564965070033,1.42646208542328,6
2020-03-13,33,14,77.0254286471061,76,20,20,31,-74,-18,-65,-71,-49,29,128.712726650439,1.17310163956329,1.40062664575796,6
2020-03-14,40,10.5666666666667,75.0854873824923,55,26,24,19,-85,-42,-78,-78,-59,26,134.339061254624,1.12349324242086,1.36958611105817,6
2020-03-15,35,6.75,65.2328226297081,68,11,29,21,-90,-57,-73,-84,-54,21,139.011642252377,1.07728307899774,1.33680112439332,6
2020-03-16,61,8,61.5676676286916,38,18,30,40,-74,-31,-61,-74,-55,28,142.607575629409,1.03342096247111,1.3114471122388,6
2020-03-17,42,8.5,61.8142375978967,57,24,32,38,-77,-37,-65,-75,-58,31,145.069228084105,0.993216850149433,1.27992792269621,6
2020-03-18,62,11.3166666666667,64.3945308515962,68,32,40,36,-79,-39,-69,-77,-59,31,146.375504820328,0.958131487673552,1.25005274890226,6
2020-03-19,70,12.5,65.9774218972333,76,27,39,32,-79,-39,-74,-78,-61,33,146.544945774441,0.926892626729441,1.2100758713223,6
2020-03-20,87,14.0166666666667,71.8777142776078,70,31,34,33,-80,-37,-77,-79,-62,34,145.663158310073,0.894847167497233,1.168410481693,6
2020-03-21,58,11.75,68.8322186743656,80,24,38,22,-87,-51,-85,-83,-64,28,143.845886564341,0.868171245612021,1.12291755287137,6
2020-03-22,64,11,70.2096886636741,63,19,24,14,-96,-95,-91,-91,-64,24,141.153925817719,0.846095801399232,1.073729098828,6
2020-03-23,159,5.8,40.3589916976604,50,14,28,21,-80,-40,-78,-81,-68,34,137.683705235335,0.822987529887931,1.02874194743099,6
2020-03-24,135,6.5,45.5328642266388,38,17,30,28,-81,-45,-79,-80,-68,35,133.603343828616,0.802373697732636,0.988268876282734,6
2020-03-25,139,5.76666666666667,52.0261974111454,55,20,26,19,-83,-47,-83,-82,-70,36,129.017687078901,0.784792922272509,0.951709057935547,6
