date,daily_cases,med_temp,med_hum,pm25,pm10,no2,retail,grocery,parks,transit,work,home,infections,rt1,rt2,city_id
2020-02-24,0,9.25,90.967351054483,99,51,29,-13,29,33,-22,-18,6,138.264711273244,2.01425666742661,NaN,13
2020-02-25,0,9.7,94.1654969394708,132,61,31,-16,1,20,-25,-17,7,163.337825714818,1.92451084094671,NaN,13
2020-02-26,2,7.85,46.3016347040657,153,43,27,-17,-8,9,-29,-16,8,189.726650962983,1.83661267203897,NaN,13
2020-02-27,8,6.95,40.6296415939367,104,15,32,-13,-7,22,-27,-15,7,217.985055919064,1.74611498748391,1.81074624743639,13
2020-02-28,3,6.75,44.39045130974,38,19,42,-13,-7,47,-24,-15,7,248.082666998096,1.64994287926116,1.76558883220123,13
2020-02-29,1,8,60.3053951563603,50,21,27,-21,-9,4,-23,-20,7,279.309214329444,1.55497719115632,1.72760134480024,13
2020-03-01,35,6.9,93.7538264623931,53,NaN,NaN,-38,-18,-58,-37,-11,8,310.678568310316,1.46607083079501,1.68313462661241,13
2020-03-02,11,6.83333333333333,92.1881148257565,NaN,NaN,NaN,-20,-12,-46,-37,-14,8,341.183430116186,1.38019841125272,1.62693577785589,13
2020-03-03,26,6.725,88.6779640961423,NaN,21,23,-12,-5,-9,-30,-14,8,369.954893391419,1.30175784950229,1.5791258250616,13
2020-03-04,41,6.95,86.522328386984,63,16,29,-12,-5,44,-24,-15,7,396.145680558998,1.22657502180239,1.53104641876705,13
2020-03-05,28,6.05,93.3282403595385,46,13,18,-18,-4,-21,-33,-16,9,419.009295759194,1.15596128226718,1.46320708780657,13
2020-03-06,27,5.05,93.3135085550744,38,20,27,-22,-5,5,-31,-17,9,437.887543940526,1.09103188480608,1.40878262413064,13
2020-03-07,231,7.55,85.1266057126924,63,25,24,-27,-7,31,-25,-21,8,452.200761392854,1.03262344605607,1.35606063761001,13
2020-03-08,88,7.2,78.1889944027616,76,9,31,-52,-17,1,-28,-19,9,461.624670618573,0.98199567069432,1.30190864273246,13
2020-03-09,238,7.975,88.957854192652,30,20,27,-44,-10,-37,-50,-25,14,465.80029414926,0.933949014980436,1.25230180216039,13
2020-03-10,51,7.65,77.0512907054345,61,33,29,-51,-11,-27,-53,-32,17,465.760384834546,0.892255661928056,1.20574852349098,13
2020-03-11,561,9.4,81.9899504341699,82,29,27,-59,-18,-29,-57,-38,20,461.235079761502,0.856052336773029,1.16995391815507,13
2020-03-12,247,11.3,88.9212970509294,74,50,28,-74,-27,-62,-67,-46,25,452.652759405436,0.826853947354761,1.13664648389037,13
2020-03-13,186,12.1,88.9484310819855,117,25,29,-79,-29,-65,-71,-54,29,440.718304971764,0.799929413138404,1.09873424141623,13
2020-03-14,338,9.15,92.215834899848,63,23,13,-87,-49,-84,-80,-64,28,426.163741496409,0.777559289158884,1.06479767707244,13
2020-03-15,351,7.3,83.9258956231383,72,10,10,-92,-69,-83,-80,-56,23,409.590116012499,0.758856603182918,1.02636507607888,13
2020-03-16,445,7.4,82.298015440297,46,18,23,-78,-36,-63,-73,-60,29,391.531079666351,0.743051100037935,0.993103240028232,13
2020-03-17,382,9.1,80.8566751147377,59,32,37,-80,-42,-60,-73,-63,31,372.524309804992,0.73130811679596,0.960663129227343,13
2020-03-18,484,9.65,84.5245921134419,89,40,38,-81,-44,-68,-75,-64,32,353.038752318243,0.722476986478121,0.935695956667168,13
2020-03-19,463,10.675,80.4161472350972,99,30,31,-82,-44,-73,-77,-65,33,333.501057612177,0.715089790735864,0.916118247727691,13
2020-03-20,401,12.65,82.8089236952585,78,39,33,-84,-40,-78,-78,-66,35,314.27555641198,0.708316752415009,0.890625047021105,13
2020-03-21,380,11,91.7297894996347,93,34,13,-90,-58,-87,-83,-69,29,295.586982470731,0.705634308248031,0.873665523385343,13
2020-03-22,289,10,66.5781229681669,91,20,6,-96,-90,-93,-87,-65,25,277.546167008176,0.702855184961969,0.85168663431432,13
2020-03-23,588,5.575,56.4259167291765,61,14,12,-84,-45,-81,-80,-73,34,260.297699009591,0.702637069186875,0.834144256059752,13
2020-03-24,393,7.175,51.3069992818119,38,15,10,-84,-49,-78,-80,-73,35,243.944756869239,0.70201100364479,0.820678340568782,13
2020-03-25,299,5.6,59.308278112615,46,14,10,-86,-52,-81,-81,-75,37,228.534097875685,0.702885449581504,0.809503391061909,13
2020-03-26,334,5.55,79.1062920957831,46,21,16,-87,-52,-82,-82,-77,38,214.06641672331,0.705225848624486,0.801204502334594,13
2020-03-27,374,9.85,81.2767173443568,61,31,19,-87,-48,-83,-82,-77,40,200.521742197732,0.70783162821288,0.799184565307991,13
2020-03-28,373,11.1,74.8078261784614,70,69,28,-91,-62,-89,-84,-72,30,187.90038660772,0.711308397600207,0.805108493748879,13
2020-03-29,335,13.175,67.6407029254223,117,62,10,-96,-91,-93,-87,-65,25,176.179673837749,0.714798057356918,0.819895416971931,13
2020-03-30,200,11.45,84.0782422689364,107,29,7,-85,-48,-80,-80,-75,35,165.313505145866,0.72007206945137,0.842438295357236,13
