date,daily_cases,med_temp,med_hum,pm25,pm10,o3,no2,retail,grocery,parks,transit,work,home,rt1,rt2
2020-02-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.14489636460407,NaN
2020-02-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.12846345419411,NaN
2020-02-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.11575708143163,NaN
2020-02-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.09605110237965,NaN
2020-02-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.07578770625442,NaN
2020-02-24,0,11.0666666666667,78.8400283408878,137,56,29,40,-10,16,48,-22,-18,7,2.05018733327424,NaN
2020-02-25,0,10,87.5170617782344,149,51,29,32,-15,-6,1,-30,-18,9,2.01808030631875,NaN
2020-02-26,0,6.75,49.2636896003153,147,21,33,28,-16,-14,7,-30,-17,9,1.98369344138832,NaN
2020-02-27,0,4.5,65.6373732961683,65,7,32,42,-13,-10,9,-30,-17,9,1.9443793744891,NaN
2020-02-28,0,7.35,27.4700740679435,25,18,35,44,-11,-8,46,-21,-18,9,1.89882416846475,NaN
2020-02-29,1,5.7,55.4627754824476,61,21,24,31,-21,-12,-30,-27,-17,8,1.84552741563376,NaN
2020-03-01,1,6,98.3585644391677,63,NaN,NaN,NaN,-26,-22,-23,-26,-12,6,1.79132730044394,NaN
2020-03-02,0,4.65,100,NaN,NaN,NaN,NaN,-21,-19,-46,-40,-16,9,1.73646387632647,NaN
2020-03-03,2,7.75,44.0828646959209,NaN,8,30,32,-7,-8,20,-26,-14,7,1.67658411935595,NaN
2020-03-04,1,7.96666666666667,40.7945792691098,17,15,35,31,-6,-8,75,-20,-15,6,1.61548315253376,NaN
2020-03-05,6,5.28333333333333,86.2087150318347,38,50,20,26,-15,-10,-25,-35,-15,9,1.5508697795924,1.6141352065929
2020-03-06,0,3.58333333333333,100,127,30,19,29,-15,-7,7,-30,-16,9,1.48809190953189,1.56538620900441
