date,daily_cases,med_temp,med_hum,pm25,pm10,no2,retail,grocery,parks,transit,work,home,infections,rt1,rt2
2020-02-24,0,13,82.3147025564851,132,46,16,-28,1,7,-33,-26,10,91.4854832131596,1.59440597179369,NaN
2020-02-25,53,12.2,90.8095378071602,107,66,13,-30,-10,2,-33,-25,11,101.737257552494,1.52689424850428,1.51522510018608
2020-02-26,4,12,11.9288259150016,156,40,NaN,-30,-16,-19,-37,-23,12,112.223019414755,1.46050981447384,1.4781837677318
2020-02-27,34,10.5,26.1114326607458,91,11,NaN,-24,-11,6,-34,-22,11,122.664284693102,1.39445906968043,1.45570910968912
2020-02-28,32,11.3,13.5279920289937,34,35,NaN,-21,-10,28,-32,-22,11,132.808545886624,1.3311451945288,1.42866092650016
2020-02-29,13,9,57.3611161016934,46,55,NaN,-30,-12,-14,-24,-19,8,142.409945705024,1.26771508797956,1.40366700801535
2020-03-01,78,7,100,68,NaN,NaN,-42,-25,-54,-35,-16,9,151.232328073404,1.21174761984989,1.37557878643646
2020-03-02,9,6.65,98.8407890815975,NaN,NaN,NaN,-26,-16,-46,-44,-20,10,159.033342003089,1.15620246832887,1.35169744761413
2020-03-03,64,8.75,95.147354355995,NaN,17,NaN,-17,-6,-8,-35,-19,9,165.650493112755,1.10464422520392,1.31136824474352
2020-03-04,46,8.75,84.5262939574887,53,20,NaN,-19,-5,16,-30,-20,9,170.953319450943,1.05827629028572,1.27444113095775
2020-03-05,73,6,100,65,22,NaN,-25,-8,-36,-41,-20,11,174.829796206674,1.0156090696709,1.23052727753734
2020-03-06,46,7.1,87.2482069843362,55,20,NaN,-26,-7,-9,-36,-21,11,177.084569678379,0.973224024687914,1.187276712139
2020-03-07,110,11.25,58.8166056242399,61,37,NaN,-37,-11,19,-20,-21,9,178.124520196008,0.939116383000988,1.14967092589942
2020-03-08,103,9.15,63.6217075194432,91,13,NaN,-54,-24,-4,-19,-21,10,177.691181849218,0.907156416012444,1.11568499084056
2020-03-09,251,7,100,55,30,NaN,-41,-13,-41,-47,-27,14,175.92028367553,0.879516465863631,1.08799293636642
2020-03-10,41,11,61.0168041436164,72,24,NaN,-48,-11,-30,-47,-33,17,173.031458753666,0.852733523501236,1.06285816756679
2020-03-11,104,13.5,61.5949962428156,63,26,25,-55,-16,-35,-51,-38,19,169.182411009137,0.829647951282838,1.03287680747895
2020-03-12,241,14,72.2346737615309,65,51,16,-71,-23,-54,-63,-45,23,164.489630296287,0.812196702793394,1.011806570151
2020-03-13,42,15.7,77.2445370727518,119,29,14,-75,-26,-56,-64,-50,26,159.087323439268,0.795073461576194,0.99201665882974
2020-03-14,221,10,81.3738291515536,72,30,10,-84,-44,-72,-69,-56,24,153.180902289651,0.78059339948575,0.973633419206292
2020-03-15,227,10.5,59.2285456347928,80,14,14,-90,-65,-70,-69,-51,20,146.932399424531,0.769633379472547,0.958873379092099
2020-03-16,89,11.15,33.0115161984752,50,22,32,-74,-34,-55,-66,-53,25,140.451084774742,0.761075143515758,0.947835790754807
2020-03-17,192,12.3,46.5774435043737,63,30,33,-77,-35,-53,-66,-55,26,133.866198289395,0.752170981470609,0.928544014741803
2020-03-18,94,13.85,53.9804029253172,76,50,37,-79,-39,-67,-70,-56,28,127.301252489907,0.746211688723418,0.910303532689498
2020-03-19,119,15.1,56.9177880247046,114,51,36,-78,-38,-64,-71,-58,28,120.817242767992,0.741594162616957,0.891203686272045
2020-03-20,106,14,62.9671787790499,104,50,22,-80,-33,-72,-70,-59,30,114.467653419459,0.738107813302573,0.872657971202676
2020-03-21,341,14.75,55.7540044640438,102,30,14,-87,-52,-82,-72,-61,25,108.311981297876,0.734692240388687,0.864250885285892
2020-03-22,162,11,79.4708712593257,85,24,4,-95,-85,-89,-83,-58,23,102.387170502231,0.73341568021729,0.85056098489178
2020-03-23,30,6.7,27.8132540545285,61,14,7,-81,-41,-78,-75,-66,30,96.7073567634403,0.731891251457232,0.837287729594094
2020-03-24,136,8,22.3338422935561,42,19,13,-81,-42,-76,-75,-66,31,91.289649230803,0.731084954645861,0.827322198525687
2020-03-25,95,6.8,47.41028289315,61,17,16,-83,-46,-81,-76,-67,32,86.1453471060833,0.730458537096027,0.821455268723515
2020-03-26,214,3.05,100,53,16,15,-83,-45,-83,-77,-70,33,81.2719353053369,0.730283000927722,0.82162986410487
2020-03-27,126,9,71.3478599703425,53,38,13,-83,-41,-78,-77,-70,35,76.6595374819702,0.731797044749906,0.834983471608752
2020-03-28,109,14,47.3412458415712,70,52,9,-88,-58,-84,-75,-64,26,72.3005281968863,0.733583125702846,0.856177879506835
2020-03-29,157,14.85,48.0299841739306,82,57,10,-95,-87,-89,-82,-59,23,68.1979595785596,0.733840238590044,0.889427853990252
2020-03-30,26,12,82.5225655284768,85,28,12,-81,-44,-78,-75,-67,31,64.3522742735432,0.734040414091214,0.925676679161715
2020-03-31,81,7.65,46.6735744474364,72,10,15,-92,-44,-72,-70,-67,31,60.7411239727843,0.736595832336768,0.9617075960359
2020-04-01,72,8,39.5211503384949,34,21,17,-92,-42,-76,-69,-67,32,57.3387071665717,0.737032213213905,0.989531396299817
2020-04-02,33,9.7,36.9740823328993,70,28,19,-91,-42,-73,-70,-67,32,54.1428576388275,0.738781257077584,1.01251040383286
2020-04-03,123,12.5,36.6407562143713,68,28,22,-85,-42,-75,-71,-67,33,51.1440436205184,0.739825900651792,1.03446046972894
2020-04-04,57,14,37.1878459813416,91,41,15,-90,-56,-81,-73,-62,25,48.3263646925981,0.739487586262612,1.04903774771971
2020-04-05,79,14.5,34.3104690139222,99,33,21,-95,-86,-89,-80,-58,22,45.6765391705726,0.740372440546262,1.0584094555073
2020-04-06,27,17,40.8591572620278,93,33,20,-82,-42,-74,-71,-61,29,43.1768035974628,0.741027391717087,1.05624035651608
2020-04-07,63,17.1,39.6614780902496,87,43,20,-80,-39,-73,-71,-62,29,40.8173672331696,0.743589741551365,1.04528569737423
2020-04-08,99,18,23.903091909996,95,30,22,-80,-37,-76,-70,-61,29,38.5936537588466,0.743918480628183,1.0153000383561
2020-04-09,67,20.1,24.4261329492179,74,25,23,-79,-33,-73,-72,-61,29,36.5048134877966,0.745646436224371,0.976807154235424
2020-04-10,73,21.05,31.4184206180581,70,30,20,-80,-30,-74,-71,-63,32,34.5420038701016,0.747207458747461,0.92348267561383
2020-04-11,96,21.5,37.5111493240243,74,25,15,-87,-51,-82,-69,-62,25,32.694365192119,0.750225856274302,0.871997398889682
2020-04-12,63,20.5,29.1461798581993,70,19,8,-96,-96,-89,-82,-63,23,30.9565188986343,0.753129025350881,0.836627987576551
2020-04-13,224,18.65,37.0914812589118,68,17,11,-95,-87,-87,-87,-89,40,29.3268306801848,0.754320969708992,0.822412020242841
2020-04-14,227,17.6,61.6441627269528,61,33,8,-79,-39,-72,-70,-58,28,27.8017100817592,0.757197562080927,0.814142180053051
2020-04-15,30,14,40.6059507378864,55,19,8,-79,-37,-74,-70,-57,28,26.3697601537729,0.760186802449515,0.807806130719782
2020-04-16,71,16.5,44.4578177190472,53,27,13,-78,-36,-71,-69,-56,28,25.024042546166,0.764412693629521,0.803183132473607
