date,daily_cases,med_temp,med_hum,pm25,pm10,no2,retail,grocery,parks,transit,work,home,infections,rt1,rt2
2020-02-24,0,11.5,96.1600689042893,55,24,31,-1,31,25,1,-1,1,22.8938778106008,1.73289171989066,NaN
2020-02-25,1,11.2,95.7981027772625,55,21,24,-5,14,14,-7,-1,2,25.6586798754754,1.717739411026,NaN
2020-02-26,1,12.6,83.1822955881482,57,19,18,-14,-3,-20,-16,-1,3,28.7306180808777,1.6956124717979,NaN
2020-02-27,0,7.2,91.8250265400885,34,11,27,-15,-6,-22,-15,-2,4,32.1214635424015,1.66892908027499,NaN
2020-02-28,6,8.35,63.4020211647196,25,14,35,-8,0,8,-12,-1,2,35.8284552456146,1.63660337098869,1.7226836569054
2020-02-29,0,8.95,77.4658828444186,42,23,33,-11,-3,8,-10,0,1,39.837456856709,1.60562970270341,1.70717897421791
2020-03-01,0,11.65,94.2126746379871,61,18,10,-27,-10,-51,-31,-5,5,44.1240040462314,1.56967216993462,1.67208074015918
2020-03-02,0,11.8,95.5439649377179,30,NaN,NaN,-16,-2,-32,-15,-1,3,48.6700901436772,1.53368842030665,1.64312175279367
2020-03-03,3,9.45,96.3822281260929,NaN,NaN,23,-14,-4,-34,-15,-1,3,53.4413549992098,1.49377035104194,1.61483585131435
2020-03-04,5,6,90.1155193320598,21,11,25,-9,3,-13,-12,0,1,58.391246217077,1.44695866085323,1.60688823215061
2020-03-05,8,8.45,92.368279599021,30,12,30,-16,1,-28,-26,-14,7,63.4564817207698,1.39724086073934,1.58073037603799
2020-03-06,3,10.7,93.3196666436001,42,12,29,-18,1,-17,-29,-15,8,68.4804520049218,1.34982196031927,1.56888271398865
2020-03-07,4,9.6,86.1059958644714,25,9,20,-24,-1,-2,-26,-17,6,73.4359041680643,1.29858774064464,1.55007710018613
2020-03-08,12,9.7,73.5422564523128,25,14,23,-35,-8,14,-27,-11,4,78.1511696788788,1.2472482501598,1.50829131377274
2020-03-09,12,9.45,87.0315200334153,50,17,27,-33,0,-38,-40,-20,11,82.51930994168,1.19768092975921,1.4879148041248
2020-03-10,10,10.1,82.0168639088339,53,16,33,-48,-8,-36,-48,-29,16,86.4254815610313,1.1472132141424,1.45390613364059
2020-03-11,10,8.8,91.0618224616818,50,20,33,-55,-18,-32,-56,-37,20,89.7720015687454,1.10492603039031,1.42072806889502
2020-03-12,15,10.7,98.7110464412974,57,31,26,-73,-25,-73,-66,-46,27,92.4671580735339,1.06254560291496,1.38600459981678
2020-03-13,15,11.9,95.6085536512582,78,19,20,-76,-30,-70,-70,-53,30,94.484569067324,1.02568326175434,1.35856812510618
2020-03-14,31,12.5,77.2012321980094,53,15,9,-86,-50,-75,-75,-60,25,95.8198483493628,0.988901931628056,1.31248628432113
2020-03-15,30,11.25,58.4854256469144,53,8,3,-92,-66,-80,-82,-59,23,96.4796456502979,0.955037219376849,1.28085546081468
2020-03-16,24,10.9,58.6081638399257,25,11,22,-76,-38,-71,-73,-57,28,96.4772373982211,0.924282166495338,1.24467341535362
2020-03-17,28,10.8,80.0107513116811,34,20,23,-78,-44,-76,-75,-60,30,95.8290962922603,0.89705191799945,1.22121563791444
2020-03-18,81,14.85,68.4253415725595,59,20,13,-80,-46,-79,-76,-61,32,94.5848760076709,0.871188972001564,1.20296885222557
2020-03-19,54,13.2,74.4635931189111,59,19,17,-80,-45,-80,-78,-62,33,92.8151713162606,0.85003613103319,1.19037581444199
2020-03-20,52,13,83.8926082328924,59,26,18,-81,-46,-81,-78,-63,34,90.5842735679994,0.830491743585622,1.17970258391836
2020-03-21,50,11.75,89.9268823915778,72,21,16,-88,-59,-85,-81,-64,27,87.974000908449,0.811500673868264,1.17321917508604
2020-03-22,63,12.4,69.0525856402725,65,16,8,-96,-85,-92,-88,-64,25,85.0672869093804,0.796216253939153,1.1691818227305
2020-03-23,34,6.9,42.8777327781636,53,10,7,-81,-49,-85,-80,-69,34,81.9171730975605,0.782498572990308,1.16119475420871
2020-03-24,74,5.45,56.3738427893184,25,10,17,-83,-52,-86,-80,-70,35,78.5866901675103,0.771739971343646,1.15709859178808
2020-03-25,87,5,79.4489897790146,42,10,3,-85,-55,-87,-83,-72,37,75.1456466732794,0.762641040555535,1.14946706637657
2020-03-26,55,7.1,69.4761834691659,34,10,2,-86,-55,-88,-84,-74,39,71.6569343158724,0.753818632363813,1.12937539992566
2020-03-27,0,10.35,76.1760143957743,34,25,3,-85,-52,-86,-83,-74,39,68.1733361047908,0.745006177497762,1.09746973209527
2020-03-28,91,12.3,68.9141586605969,53,NaN,19,-88,-61,-86,-82,-67,28,64.7244626790343,0.73727737184893,1.06425512303789
2020-03-29,102,12.5,81.9785797160208,99,NaN,10,-95,-85,-90,-87,-66,25,61.3241905342831,0.729322019964477,1.0173396795055
2020-03-30,65,11.8,89.9656188971016,70,25,15,-83,-50,-83,-80,-71,35,57.98790816818,0.721230878632698,0.96416972602987
2020-03-31,65,9.05,66.0382830813578,53,7,5,-92,-52,-85,-79,-73,36,54.7275048094902,0.713991366706387,0.918956569090623
