date,daily_cases,med_temp,med_hum,pm25,pm10,o3,no2,retail,grocery,parks,transit,work,home,infections,rt1,rt2,city_id
2020-02-24,0,11.75,72.7602721165346,117,39,28,13,-32,-10,-13,-69,-43,17,56.2270639591978,1.20426222889598,NaN,18
2020-02-25,125,11,81.6307878101303,97,59,21,35,-37,-26,-21,-73,-43,19,58.7270503944099,1.17246275834668,1.28169589338436,18
2020-02-26,3,8.73333333333333,32.6094392221409,152,28,33,22,-38,-30,-18,-72,-42,19,61.0236113182609,1.14009015506885,1.23657349605652,18
2020-02-27,31,8,39.4047895552903,74,13,31,42,-31,-25,-5,-70,-42,19,63.0708338202953,1.1092332927052,1.1830650651795,18
2020-02-28,23,9.25,23.6686636865902,25,12,36,44,-28,-25,-5,-68,-41,18,64.8318782773936,1.0788834514581,1.13463883322879,18
2020-02-29,55,7,48.658547462241,38,30,23,33,-37,-29,-25,-69,-32,12,66.2793403045279,1.04985685758367,1.0836494098933,18
2020-03-01,107,6.5,93.3854180341491,80,NaN,NaN,NaN,-44,-50,-46,-69,-24,11,67.3943901239057,1.02269192094962,1.0449327600939,18
2020-03-02,40,5.06666666666667,96.6549649194096,NaN,NaN,NaN,NaN,-34,-33,-56,-71,-38,18,68.1648930229593,0.998250321929126,1.01059534380057,18
2020-03-03,98,7.45,84.345831569239,NaN,20,15,20,-23,-17,-19,-70,-36,16,68.5913509548098,0.974284468985264,0.984422663965637,18
2020-03-04,77,7.9,69.111998629277,63,20,29,20,-24,-20,16,-65,-36,15,68.6893792707538,0.952388991859892,0.970348311769295,18
2020-03-05,99,6.1,81.794198685947,63,21,24,17,-31,-22,-40,-70,-38,18,68.4713357474818,0.934023478675775,0.963042107865253,18
2020-03-06,81,6.11666666666667,85.7070106344424,65,20,26,21,-29,-24,-24,-69,-37,18,67.7967607491473,0.91653440323498,0.960191702067827,18
2020-03-07,72,8.1,75.4893608248404,70,25,33,20,-37,-28,16,-61,-32,11,67.0489627593794,0.901591101076185,0.957301548867593,18
2020-03-08,42,8.25,62.8772316076097,78,20,35,31,-48,-48,2,-61,-26,10,66.0289711684915,0.887555268759403,0.961939893543746,18
2020-03-09,75,8.5,69.8304644941628,68,27,26,29,-36,-30,-45,-71,-37,18,64.7834289562662,0.876125715501932,0.960203234749858,18
2020-03-10,35,10.1,61.1448307956178,82,22,30,39,-41,-25,-31,-72,-39,19,63.3780492360839,0.865269846648462,0.954208629937068,18
2020-03-11,72,11.75,69.2378321123255,78,24,32,29,-45,-28,-18,-74,-42,21,61.8472684637932,0.856584463181851,0.950796432569926,18
2020-03-12,88,13.0666666666667,81.5210554118365,63,42,25,26,-66,-33,-49,-78,-49,26,60.2128707987718,0.849692800805834,0.948122081671419,18
2020-03-13,10,14.7333333333333,76.3006699204752,109,17,38,23,-70,-36,-55,-80,-53,28,58.5013427339825,0.843622877024671,0.942836325573007,18
2020-03-14,143,11,81.8622792320773,61,23,24,11,-79,-50,-64,-82,-57,24,56.7436762632661,0.838128112496839,0.937299065042212,18
2020-03-15,44,8,80.3634810041594,72,16,32,14,-84,-74,-58,-80,-51,20,54.9620714814128,0.835881189552934,0.931959008719381,18
2020-03-16,42,9,65.3188791879699,65,25,35,18,-67,-39,-49,-80,-56,27,53.1712706010304,0.835069263553033,0.918022008239018,18
2020-03-17,56,9.75,70.2241181953561,76,40,38,23,-71,-43,-54,-81,-58,28,51.3964213170241,0.834715029777438,0.896996857691957,18
2020-03-18,27,11.25,71.4072414911445,102,54,43,30,-74,-45,-55,-81,-59,29,49.6636805889164,0.833922406736459,0.872636425696483,18
2020-03-19,83,13,62.818192188791,132,48,43,27,-73,-44,-58,-83,-61,30,47.9841910214505,0.837637489314983,0.840175458878672,18
2020-03-20,69,12,72.0473689358397,124,51,34,27,-75,-42,-68,-83,-61,32,46.3582814139435,0.839087144305258,0.820156495862544,18
2020-03-21,96,13.5,63.971242098313,124,35,42,22,-83,-54,-68,-84,-62,25,44.8016722989598,0.841187638483111,0.810699888519949,18
2020-03-22,79,11,59.4385281648236,87,23,33,6,-93,-88,-83,-88,-60,22,43.3211119586289,0.844109622440398,0.807055838859913,18
2020-03-23,45,6,45.8895676230268,70,13,31,11,-76,-47,-74,-87,-67,32,41.9091330701901,0.848193176345628,0.805252618345817,18
2020-03-24,43,7.35,39.4228766509506,42,22,33,22,-78,-48,-72,-85,-68,33,40.5643368186957,0.849740719954867,0.809695620086106,18
2020-03-25,24,5.5,51.4569487624117,72,16,32,9,-80,-51,-71,-86,-68,34,39.2900838808461,0.853593744156196,0.821252884271271,18
2020-03-26,84,6,56.2758743147238,55,18,25,14,-79,-49,-74,-87,-70,35,38.0792145774088,0.854184515252647,0.83796982967679,18
2020-03-27,38,10.25,55.6458886496772,55,34,28,20,-79,-47,-75,-87,-69,36,36.9270479887013,0.857699351739786,0.860925767169995,18
2020-03-28,23,11.5,66.8585580262715,78,64,37,17,-85,-60,-73,-87,-64,26,35.8251665503252,0.857160404930681,0.893658431171715,18
2020-03-29,28,14.25,55.9915258614997,95,69,40,17,-93,-89,-82,-89,-59,22,34.7710039595887,0.857961098255214,0.920339119629018,18
2020-03-30,30,11.9,67.1314519674673,89,31,37,9,-76,-48,-71,-86,-67,32,33.7582095457374,0.856654983877374,0.939087878632699,18
