date,daily_cases,med_temp,med_hum,pm25,pm10,o3,no2,retail,grocery,parks,transit,work,home,infections,rt1,rt2
2020-02-24,2,7.5,90.4071698279757,124,50,31,16,-10,32,6,-23,-17,5,11.0288348981766,1.17430550511608,NaN
2020-02-25,7,9,93.4823818113221,107,61,17,30,-15,1,-2,-27,-17,6,11.3754964864167,1.16806346972633,1.15438478128775
2020-02-26,4,9.5,40.5679343713048,129,37,31,19,-16,-7,-7,-30,-17,7,11.7312003705319,1.16241979001744,1.12688466821773
2020-02-27,7,8,34.4411764036201,70,10,30,18,-11,-7,-17,-26,-15,7,12.0895822439517,1.15431345646538,1.15387754492027
2020-02-28,0,7.55,37.1241548743133,17,16,34,36,-11,-6,20,-21,-15,7,12.4472122116415,1.14586471472214,1.18260471565201
2020-02-29,0,8.25,48.3376357606585,34,28,23,24,-16,-6,-9,-20,-18,6,12.8010308493265,1.13585071271635,1.2100348284183
2020-03-01,1,7,95.9470338722698,59,NaN,NaN,NaN,-32,-15,-63,-38,-10,8,13.1473170429951,1.12376250525244,1.27528701277687
2020-03-02,7,8.68333333333333,84.584862336505,NaN,NaN,NaN,NaN,-16,-7,-41,-33,-13,7,13.4821719093557,1.10903347357756,1.31911341490598
2020-03-03,3,7.51666666666667,90.3989248617378,NaN,10,17,19,-14,-6,-30,-35,-14,7,13.7996423680809,1.09318910468095,1.3915899936915
2020-03-04,1,7.18333333333333,77.8765808430859,21,14,25,18,-10,-5,18,-23,-13,6,14.0916770350903,1.07640177603508,1.42752207980955
2020-03-05,0,6.25,86.9722652550159,42,16,29,19,-16,-6,-30,-32,-15,8,14.3163769086143,1.05742704420677,1.47131351367375
2020-03-06,1,6.53333333333333,89.4558732548153,42,18,27,26,-15,-3,1,-27,-14,8,14.5466788794691,1.03675662120313,1.4686419050027
2020-03-07,0,7.98333333333333,75.1320050755317,55,33,30,16,-20,-5,12,-18,-18,7,14.7230499116685,1.01756897916732,1.46135937964668
2020-03-08,0,7.5,61.5229166906978,78,9,37,34,-39,-11,12,-12,-14,8,14.840357157098,0.996701938083804,1.43432344284254
2020-03-09,3,8.25,73.8573164544752,21,27,28,24,-33,-8,-29,-40,-20,11,14.9032531360725,0.977032550697812,1.4009016649921
2020-03-10,1,7.93333333333333,78.2000309644075,65,29,26,28,-42,-8,-22,-44,-25,14,14.9103089837071,0.96103322852294,1.34815362151485
2020-03-11,4,10.85,69.2556757493446,68,34,35,20,-49,-16,-30,-47,-30,16,14.8597458596397,0.942896938957868,1.2949579236955
2020-03-12,8,12.5,82.1675927570865,80,53,33,19,-68,-22,-62,-59,-38,21,14.7572651066816,0.928298144751806,1.2361969437513
2020-03-13,2,13,79.5965107020963,119,36,28,13,-73,-22,-59,-61,-44,25,14.6060920280285,0.913176060292354,1.15991159984789
2020-03-14,3,11.25,63.5307144667552,82,20,26,7,-82,-44,-77,-69,-56,26,14.4100063558237,0.902381769442952,1.12741945092532
2020-03-15,27,8.75,61.7520875430814,55,12,35,9,-89,-67,-74,-72,-49,21,14.1741132266381,0.892780951580173,1.07654613198216
2020-03-16,3,9.5,58.2844510840441,30,20,34,31,-72,-34,-59,-64,-50,24,13.9060143644255,0.884090856880688,1.0426713621072
2020-03-17,12,9,68.7698611970843,55,37,10,25,-74,-37,-54,-66,-54,26,13.6139224809848,0.87653072373309,0.997626102870513
2020-03-18,15,11.5666666666667,65.6281464654605,87,51,NaN,34,-78,-43,-65,-71,-57,28,13.3033930759312,0.870613743727568,0.979836172300585
2020-03-19,4,12.25,61.540404282815,112,44,41,19,-77,-40,-73,-69,-55,28,12.9787459931891,0.868090715120405,0.946695565604146
2020-03-20,0,13.15,68.96572024674,97,42,42,17,-79,-33,-73,-70,-56,30,12.6447107373901,0.866612482667921,0.916538071129574
2020-03-21,22,9.95,93.4823818113221,95,46,43,12,-86,-53,-85,-75,-61,27,12.3086599779542,0.867159370004259,0.866097838436871
2020-03-22,17,10.6166666666667,52.7891078578556,104,20,29,5,-95,-89,-92,-84,-59,24,11.9767285414442,0.86715761805469,0.840612049749553
2020-03-23,13,5.21666666666667,38.3874153750197,63,10,34,11,-79,-42,-80,-73,-63,30,11.6530696625821,0.867819471715376,0.817103563780039
2020-03-24,3,6.5,44.8038944267441,17,16,34,20,-80,-45,-79,-73,-65,31,11.3393169350969,0.871952886857484,0.793902592435847
2020-03-25,5,5.31666666666667,41.9105075853096,46,16,32,11,-82,-47,-81,-75,-66,32,11.0356367746793,0.876253913809156,0.781513677504689
2020-03-26,22,5.03333333333333,64.841955608636,30,12,24,12,-83,-48,-88,-77,-69,34,10.7456326279139,0.881079201673377,0.770320918092857
2020-03-27,15,10,66.988429412813,38,46,25,13,-82,-42,-79,-75,-68,35,10.4725795397727,0.886733588910894,0.780871257444458
2020-03-28,3,11.25,62.5757371129707,72,67,37,15,-87,-57,-87,-77,-66,28,10.2170955252183,0.892647252595003,0.798277163914362
2020-03-29,4,14,54.8931728712363,82,74,39,15,-95,-90,-91,-83,-60,24,9.97938155214283,0.901203881449769,0.823821297428594
2020-03-30,6,12.9833333333333,57.3254106148358,72,46,34,8,-81,-47,-81,-73,-66,31,9.75966215954367,0.909581743659087,0.830324968900508
2020-03-31,5,5,70.4030600714566,57,10,35,7,-90,-44,-77,-70,-68,32,9.55956273200998,0.919698831919605,0.841304482167642
2020-04-01,6,5,61.3427867558751,25,14,35,13,-91,-43,-74,-69,-67,32,9.38006121085464,0.92888135557651,0.869826563518753
2020-04-02,10,7,55.2430698721042,38,21,43,29,-90,-43,-80,-69,-67,33,9.2217650852492,0.939357428287195,0.899243269998241
2020-04-03,2,8.75,54.6259104096234,61,29,49,24,-85,-39,-75,-70,-66,34,9.08407079896864,0.94938929323158,0.907307643845403
2020-04-04,1,11.25,53.341860376917,76,36,48,18,-89,-56,-85,-75,-64,28,8.96628213809732,0.959395420214215,0.903336158476916
2020-04-05,4,13,40.6958018366015,89,21,39,12,-96,-90,-92,-83,-58,24,8.86804059738924,0.96826429790199,0.910312548494092
