date,daily_cases,med_temp,med_hum,pm25,pm10,o3,no2,so2,retail,grocery,parks,transit,work,home,infections,rt1,rt2
2020-02-24,0,11.75,72.7602721165346,117,53,30,40,3,-18,26,38,-41,-21,9,28.4097203492476,1.96709714253101,NaN
2020-02-25,3,11,81.6307878101303,124,54,23,47,2,-19,4,12,-46,-22,11,32.8854497757611,1.92883401655737,NaN
2020-02-26,1,8.73333333333333,32.6094392221409,112,33,37,39,2,-20,-8,26,-47,-22,11,37.9452426186161,1.88631313558883,NaN
2020-02-27,1,8,39.4047895552903,95,7,31,47,3,-15,-3,24,-44,-22,10,43.5971710600261,1.84000108741716,NaN
2020-02-28,1,9.25,23.6686636865902,30,13,40,51,3,-13,-3,68,-40,-23,10,49.8473292583689,1.79022587979961,NaN
2020-02-29,0,7,48.658547462241,55,28,26,41,11,-25,-9,-5,-30,-20,8,56.6866524808735,1.73407012711597,NaN
2020-03-01,0,6.5,93.3854180341491,78,NaN,NaN,NaN,NaN,-32,-15,-31,-32,-13,6,64.0815617162167,1.67279091279988,NaN
2020-03-02,2,5.06666666666667,96.6549649194096,NaN,NaN,NaN,NaN,NaN,-23,-13,-62,-47,-19,10,71.9518399245716,1.61043133572779,NaN
2020-03-03,1,7.45,84.345831569239,NaN,20,19,39,3,-7,3,30,-37,-18,8,80.1717232402856,1.54741661772005,NaN
2020-03-04,2,7.9,69.111998629277,70,24,33,44,3,-9,2,113,-39,-18,8,88.5996285550701,1.48484917623046,NaN
2020-03-05,8,6.1,81.794198685947,72,22,25,36,3,-17,1,-22,-42,-19,10,97.0829170462871,1.42343515264277,1.67000725327248
2020-03-06,1,6.11666666666667,85.7070106344424,65,27,28,43,2,-15,-1,21,-42,-21,10,105.404708225272,1.36362580281943,1.63926065863458
2020-03-07,41,8.1,75.4893608248404,85,29,41,38,7,-23,-6,115,-27,-18,6,113.491559944931,1.30185194034383,1.61212919603809
2020-03-08,0,8.25,62.8772316076097,80,13,39,40,3,-50,-16,49,-35,-18,8,121.086532418497,1.24413501045527,1.58366586794526
2020-03-09,5,8.5,69.8304644941628,63,28,34,38,2,-37,-8,-35,-58,-30,16,127.980691145208,1.19001225035849,1.55086642868432
2020-03-10,1,10.1,61.1448307956178,85,31,30,45,3,-47,-8,-27,-64,-36,20,134.005948439578,1.13834216530046,1.50780695900142
2020-03-11,20,11.75,69.2378321123255,89,25,35,39,4,-54,-15,-33,-69,-42,23,139.045082537299,1.09268119042768,1.4681749947409
2020-03-12,45,13.0666666666667,81.5210554118365,72,NaN,21,32,2,-72,-26,-72,-77,-52,28,143.002037530726,1.05030093271922,1.43060917035478
2020-03-13,13,14.7333333333333,76.3006699204752,NaN,NaN,35,34,2,-76,-32,-66,-78,-58,32,145.843091197975,1.01101864598907,1.38496084398762
2020-03-14,81,11,81.8622792320773,NaN,26,30,25,2,-87,-52,-83,-79,-64,27,147.578849332514,0.974669336830048,1.34074771109194
2020-03-15,103,8,80.3634810041594,72,20,33,24,2,-91,-67,-85,-81,-58,22,148.226228804129,0.940707234298839,1.29478257290423
2020-03-16,19,9,65.3188791879699,85,21,35,32,2,-76,-37,-74,-81,-63,31,147.822635575909,0.912139081713533,1.23333548327125
2020-03-17,30,9.75,70.2241181953561,70,37,37,35,4,-78,-40,-73,-83,-65,33,146.426324632061,0.886451925540726,1.17228078539139
2020-03-18,25,11.25,71.4072414911445,97,43,45,36,2,-80,-44,-72,-85,-66,34,144.150409006039,0.863669457274185,1.10662690243215
2020-03-19,94,13,62.818192188791,107,38,47,35,3,-81,-43,-80,-84,-68,35,141.133591776143,0.842133310512404,1.05589447743026
2020-03-20,321,12,72.0473689358397,89,44,44,35,2,-82,-44,-80,-84,-68,36,137.496032069496,0.82480413669025,1.02068427381121
2020-03-21,268,13.5,63.971242098313,99,26,50,23,2,-89,-62,-88,-83,-69,27,133.330523865652,0.809765189395004,0.987827654463676
2020-03-22,24,11,59.4385281648236,70,25,34,13,2,-96,-82,-94,-86,-65,24,128.751332718376,0.796863459156639,0.956215241855894
2020-03-23,22,6,45.8895676230268,70,17,33,20,2,-84,-50,-88,-88,-76,37,123.887763200367,0.783471854993022,0.924773236265388
2020-03-24,324,7.35,39.4228766509506,42,22,38,27,2,-84,-50,-83,-87,-76,38,118.841592032875,0.775124639108357,0.899518300295616
2020-03-25,133,5.5,51.4569487624117,59,20,37,27,3,-86,-52,-84,-88,-77,39,113.67055370799,0.766816695292015,0.877030668533384
2020-03-26,163,6,56.2758743147238,59,20,30,23,3,-86,-51,-87,-89,-79,40,108.45626372357,0.760760612314482,0.866705173891446
2020-03-27,198,10.25,55.6458886496772,63,33,35,27,2,-86,-51,-84,-88,-78,41,103.276771514312,0.755448240763182,0.865762298898142
2020-03-28,138,11.5,66.8585580262715,72,67,43,32,2,-91,-65,-88,-84,-72,29,98.18190782376,0.750689556237025,0.863308552407038
