date,daily_cases,med_temp,med_hum,pm25,pm10,no2,retail,grocery,parks,transit,work,home,infections,rt1,rt2
2020-02-24,0,13.9833333333333,74.4626792589208,81,27,23,-1,16,2,-6,-15,3,19.3079785698421,1.57927603391336,NaN
2020-02-25,0,13,79.5593672018175,46,25,18,0,-2,18,-7,-19,4,21.4015463798363,1.56672149383607,NaN
2020-02-26,0,13.5,65.2422519404806,46,29,11,-11,-8,-10,-11,-12,4,23.5356188997325,1.55518121331387,NaN
2020-02-27,3,10.5166666666667,47.2393665188464,37,17,14,-6,-3,-3,-15,-16,5,25.7666622063791,1.53708398553477,NaN
2020-02-28,1,13.0333333333333,51.949311115691,31,23,12,-5,-2,-6,-16,-15,5,28.1828611877457,1.51984470032445,NaN
2020-02-29,9,11.5,62.5381914727049,37,20,21,-3,1,7,-6,-8,1,30.7810503950371,1.49783281351465,1.60213166453516
2020-03-01,4,14.9833333333333,75.7021968380576,37,33,17,-13,-6,-21,-16,-1,2,33.5373465653671,1.4750761475533,1.58611293189611
2020-03-02,0,15,78.5152418527081,53,40,19,-9,-3,-15,-11,-2,2,36.4342558185357,1.45280947936108,1.58884759174874
2020-03-03,13,12,65.7835724610816,46,34,23,-6,-3,-14,-12,-2,2,39.4560983771018,1.42694814585103,1.59208331762246
2020-03-04,0,11,75.1060804617325,39,25,23,-5,1,-6,-9,-1,1,42.5904495183755,1.39850820487652,1.56254908347717
2020-03-05,0,11.9833333333333,68.2424972149516,38,22,22,-7,2,-3,-19,-15,5,45.8102903141916,1.36914314132723,1.53990132937667
2020-03-06,0,13,74.2616698034125,48,32,23,-15,-3,-25,-27,-17,7,49.0734631656185,1.33920360920895,1.49953047305642
2020-03-07,0,10,76.4194541780186,41,21,21,-22,1,-28,-29,-12,6,52.3388726483512,1.30794972911706,1.46486460061279
2020-03-08,28,9.7,69.5189673004018,38,19,16,-31,-10,-18,-30,-7,5,55.5676736146822,1.27235391740818,1.42620147275137
2020-03-09,10,10.5166666666667,62.3883115793032,47,29,24,-29,-2,-26,-39,-25,9,58.6546718907275,1.23408716042187,1.39004389943855
2020-03-10,6,11.5,60.8393022843187,59,28,17,-45,-6,-46,-53,-35,15,61.6601561573037,1.19719752745266,1.35816934760456
