date,daily_cases,med_temp,med_hum,pm25,pm10,o3,no2,retail,grocery,parks,transit,work,home,infections,rt1,rt2,city_id
2020-02-24,0,13,82.3147025564851,124,40,22,33,-20,8,15,-23,-23,9,69.5585449531966,1.3588053702595,NaN,2
2020-02-25,18,12.2,90.8095378071602,102,59,21,32,-25,-10,5,-30,-21,11,74.4835699497777,1.31801444484364,1.41160088847224,2
2020-02-26,10,12,11.9288259150016,151,29,30,17,-28,-16,-5,-33,-23,12,79.3413229927065,1.27823861388774,1.36183695283084,2
2020-02-27,35,10.5,26.1114326607458,74,11,27,30,-24,-15,14,-32,-22,12,84.0224114741222,1.24232982674295,1.32030094259566,2
2020-02-28,26,11.3,13.5279920289937,34,NaN,34,43,-24,-13,29,-28,-21,11,88.4197294842246,1.20983840716273,1.28737980268969,2
2020-02-29,49,9,57.3611161016934,NaN,30,13,25,-27,-14,-4,-22,-18,8,92.4862227686253,1.17883758326829,1.25576875094337,2
2020-03-01,36,7,100,76,24,18,16,-38,-23,-47,-43,-18,9,96.2067203150109,1.1477133252491,1.23017933258938,2
2020-03-02,38,6.65,98.8407890815975,76,25,11,19,-25,-19,-38,-35,-20,11,99.5529711666592,1.11767069153741,1.21262278894078,2
2020-03-03,44,8.75,95.147354355995,72,18,17,26,-18,-11,4,-30,-19,10,102.472475423528,1.0882158085903,1.20912746425871,2
2020-03-04,63,8.75,84.5262939574887,55,21,NaN,29,-19,-11,24,-29,-19,9,104.917517170084,1.05638093370433,1.20442259968716,2
2020-03-05,59,6,100,61,26,18,26,-27,-15,-25,-38,-21,13,106.852980129334,1.02757375069697,1.21102361175304,2
2020-03-06,48,7.1,87.2482069843362,72,21,25,27,-27,-8,3,-33,-21,12,108.056530312423,0.998707982479419,1.21589682086402,2
2020-03-07,53,11.25,58.8166056242399,68,25,30,22,-34,-10,33,-22,-18,8,108.871683149775,0.969955823291993,1.2285834412262,2
2020-03-08,49,9.15,63.6217075194432,74,17,31,34,-51,-17,-4,-35,-22,9,109.042685227028,0.943970195829624,1.23387998848342,2
2020-03-09,74,7,100,59,27,26,29,-43,-16,-32,-47,-30,17,108.58202722966,0.921667007618178,1.23286108967941,2
2020-03-10,31,11,61.0168041436164,74,20,27,36,-48,-16,-14,-46,-35,19,107.557699289685,0.898762394939984,1.2243758577138,2
2020-03-11,31,13.5,61.5949962428156,59,29,30,29,-55,-20,-22,-48,-40,20,106.039717896668,0.878548470324214,1.19500098521902,2
2020-03-12,15,14,72.2346737615309,68,45,26,27,-70,-25,-43,-56,-46,25,104.067366943331,0.861253377836921,1.15106295498215,2
2020-03-13,31,15.7,77.2445370727518,109,28,34,27,-75,-26,-44,-59,-52,29,101.684677646724,0.844851324606708,1.10549150450055,2
2020-03-14,143,10,81.3738291515536,78,23,22,15,-83,-43,-68,-67,-57,25,98.9665593512285,0.829507229184852,1.05886319775517,2
2020-03-15,159,10.5,59.2285456347928,72,19,34,24,-88,-62,-72,-74,-53,21,95.9777485406932,0.815254085789458,1.0148725735808,2
2020-03-16,61,11.15,33.0115161984752,57,21,35,39,-74,-35,-45,-61,-57,27,92.7634236694513,0.80375791197573,0.986272879937087,2
2020-03-17,131,12.3,46.5774435043737,59,29,32,38,-75,-40,-44,-63,-59,29,89.3671601751877,0.795390522231851,0.955806243757071,2
2020-03-18,136,13.85,53.9804029253172,76,45,37,41,-77,-42,-49,-64,-61,30,85.850386538316,0.787029698916759,0.932328135798341,2
2020-03-19,88,15.1,56.9177880247046,112,40,42,38,-78,-42,-53,-66,-62,32,82.2884073583389,0.780862841923119,0.914190883380882,2
2020-03-20,147,14,62.9671787790499,104,33,36,22,-80,-38,-63,-67,-62,33,78.7269330904946,0.774220355920953,0.892116514301777,2
2020-03-21,118,14.75,55.7540044640438,87,24,40,14,-87,-52,-75,-71,-61,26,75.1966666801784,0.769503417421921,0.868672728697332,2
2020-03-22,72,11,79.4708712593257,72,20,32,4,-95,-94,-85,-83,-65,24,71.7195316489773,0.766220918587618,0.843605183969053,2
2020-03-23,120,6.7,27.8132540545285,59,16,33,26,-78,-42,-66,-70,-67,32,68.314569010025,0.762533472937939,0.827202394219569,2
2020-03-24,96,8,22.3338422935561,46,16,35,26,-80,-46,-59,-69,-68,34,65.0081395194806,0.760875727106095,0.812742366902696,2
2020-03-25,141,6.8,47.41028289315,53,18,32,29,-83,-47,-67,-71,-71,35,61.8119067451817,0.758081589123399,0.792417154124164,2
2020-03-26,91,3.05,100,55,15,27,23,-84,-50,-67,-74,-72,37,58.7355501471895,0.756644824423231,0.777871234218812,2
2020-03-27,63,9,71.3478599703425,55,36,25,16,-84,-43,-69,-73,-72,38,55.7823772400312,0.754844480593306,0.760997996637843,2
2020-03-28,114,14,47.3412458415712,74,64,38,16,-88,-56,-76,-76,-65,27,52.9524438343003,0.753593769792666,0.751058012897342,2
2020-03-29,85,14.85,48.0299841739306,89,60,41,18,-95,-95,-83,-85,-63,24,50.2450861626154,0.752185061365003,0.739182555324029,2
2020-03-30,41,12,82.5225655284768,72,31,35,20,-82,-46,-69,-71,-70,33,47.6586455726259,0.750907981865324,0.737927273500093,2
