date,daily_cases,med_temp,med_hum,pm25,pm10,o3,no2,retail,grocery,parks,transit,work,home,infections,rt1,rt2
2020-02-24,0,14,93.8004679355337,NaN,53,25,28,-10,37,21,-28,-15,6,26.4541137216331,1.93509925599493,NaN
2020-02-25,0,11.5,100,122,52,24,31,-11,-1,18,-29,-15,7,30.7676465310929,1.90505202007197,NaN
2020-02-26,0,11.5,54.8879815468703,112,24,29,24,-16,-8,-16,-35,-15,8,35.3844827526346,1.86866763780941,NaN
2020-02-27,0,11,66.3653052243975,59,10,30,30,-10,-9,2,-32,-15,8,40.4924901572512,1.82676430995392,NaN
2020-02-28,1,11,46.6507380209733,17,26,30,41,-10,-7,12,-31,-15,7,46.2040074382468,1.77948241395942,NaN
2020-02-29,3,9,87.4289216218023,30,43,21,29,-14,-4,8,-25,-20,6,52.4853240308897,1.73078892112308,NaN
2020-03-01,3,6.5,100,78,29,NaN,21,-29,-8,-55,-37,-7,7,59.2775199213964,1.67725664380054,NaN
2020-03-02,1,8,100,NaN,21,11,25,-16,-7,-36,-36,-12,7,66.5332865291553,1.62094763982509,NaN
2020-03-03,6,8.25,100,57,9,15,27,-14,-8,-36,-39,-14,8,74.1776278509429,1.56461787951479,1.67072330399088
2020-03-04,6,9,100,34,14,23,24,-12,-4,7,-32,-14,7,82.0945479605452,1.50077731695626,1.64863788455707
2020-03-05,11,8,100,42,20,13,26,-17,-6,-25,-38,-14,8,90.1555039830312,1.43696801934603,1.63532536505976
2020-03-06,13,8,100,57,29,24,27,-19,-3,-16,-36,-15,9,98.1713098435482,1.37608015937952,1.62946302565273
2020-03-07,4,11,100,53,31,24,29,-22,-1,13,-28,-21,8,105.922597854148,1.31277686554599,1.62627757811236
2020-03-08,22,9.5,87.7651541431028,65,20,32,38,-42,-1,35,-24,-15,8,113.23056307713,1.25146885296183,1.608239510194
2020-03-09,33,7,100,50,20,22,38,-39,-6,-29,-51,-22,14,119.831487322938,1.19096755583232,1.59986252165525
2020-03-10,1,9.5,96.7882724530312,57,NaN,22,24,-45,-10,-28,-54,-27,16,125.68146325968,1.13773792682483,1.57894171413152
2020-03-11,10,13,82.4022182688579,NaN,28,31,41,-51,-15,-20,-56,-31,18,130.495438935104,1.08745620986083,1.53707647735693
2020-03-12,9,15,93.8857273569508,61,29,32,39,-67,-19,-46,-64,-38,22,134.19693580633,1.04268701969765,1.50184237940475
2020-03-13,15,17,100,107,51,30,32,-73,-17,-57,-68,-43,26,136.78077494255,0.999468346023991,1.43462500268993
2020-03-14,15,11,93.5765449060625,87,40,21,25,-84,-41,-76,-74,-58,27,138.248505718913,0.962806867582401,1.36115568015292
2020-03-15,32,10.5,93.8019882329321,68,26,31,10,-90,-60,-58,-74,-50,21,138.605535268117,0.929489779314502,1.27887754113527
2020-03-16,56,11,76.573905116887,46,14,33,13,-72,-30,-47,-69,-48,25,137.919256163328,0.900110375216888,1.20055059952708
2020-03-17,58,NaN,NaN,57,27,35,39,-74,-35,-58,-70,-52,28,136.3031837484,0.872665040232778,1.13279312838183
2020-03-18,115,18,72.8983782352432,72,36,40,40,-76,-37,-57,-73,-54,29,133.86894883955,0.848383229515711,1.07056976217522
2020-03-19,194,NaN,NaN,91,42,40,48,-77,-38,-67,-74,-55,30,130.714635544182,0.825939684150724,1.0220246744402
2020-03-20,165,13.5,93.6677059046129,85,36,33,43,-79,-32,-77,-75,-57,32,126.941853670894,0.808051790405361,0.993290411641187
