date,daily_cases,med_temp,med_hum,pm25,pm10,o3,no2,retail,grocery,parks,transit,work,home,rt1,rt2
2020-02-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.06363448682963,NaN
2020-02-16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.05471065781223,NaN
2020-02-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.04018688626384,NaN
2020-02-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.02483499984109,NaN
2020-02-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.00691901687339,NaN
2020-02-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.98330187865004,NaN
2020-02-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.95006421734658,NaN
2020-02-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.90736147263009,NaN
2020-02-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.85935090989118,NaN
2020-02-24,0,8.25,85.9935302110664,70,34,32,11,-1,31,36,-11,-12,4,1.8097338524362,NaN
2020-02-25,1,13.7333333333333,61.7642737989189,46,20,37,3,-8,0,33,-18,-12,5,1.75642053086533,NaN
2020-02-26,2,13,58.0134233929501,13,9,37,3,-18,-11,-15,-26,-13,8,1.69797987442587,NaN
2020-02-27,3,10,47.7859187527107,13,7,34,3,-11,-4,12,-26,-13,7,1.63906144523358,NaN
2020-02-28,3,9.73333333333333,38.7197207926829,13,16,33,8,-9,-2,24,-24,-13,6,1.57032668928975,NaN
2020-02-29,6,13.1166666666667,46.6675855476033,17,20,37,4,-17,0,25,-22,-16,6,1.50401883538813,1.60962485923035
