date,daily_cases,med_temp,med_hum,pm25,pm10,no2,retail,grocery,parks,transit,work,home,rt1,rt2
2020-02-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.88594614745887,NaN
2020-02-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.87576222379493,NaN
2020-02-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.86747391149923,NaN
2020-02-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.85860213923324,NaN
2020-02-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.84765688537867,NaN
2020-02-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8378368437201,NaN
2020-02-24,0,11.0666666666667,78.8400283408878,144,52,29,-12,27,52,-23,-18,7,1.81873039259425,NaN
2020-02-25,0,10,87.5170617782344,119,50,28,-15,4,4,-28,-18,9,1.79801078205291,NaN
2020-02-26,0,6.75,49.2636896003153,114,21,22,-18,-4,-2,-31,-19,9,1.77467838864131,NaN
2020-02-27,0,4.5,65.6373732961683,68,10,27,-14,-5,1,-36,-19,9,1.74496280371116,NaN
2020-02-28,3,7.35,27.4700740679435,38,14,40,-11,-1,63,-38,-21,8,1.71056308141095,NaN
2020-02-29,1,5.7,55.4627754824476,50,18,27,-21,-4,-27,-34,-19,8,1.6767522902978,NaN
2020-03-01,0,6,98.3585644391677,61,NaN,NaN,-22,-8,-14,-37,-11,5,1.63922692923258,NaN
2020-03-02,0,4.65,100,NaN,NaN,NaN,-24,-13,-55,-44,-17,10,1.60094926146034,NaN
2020-03-03,3,7.75,44.0828646959209,NaN,7,30,-6,1,43,-37,-16,7,1.5583759112042,NaN
2020-03-04,4,7.96666666666667,40.7945792691098,38,10,39,-8,1,72,-38,-15,7,1.51441057998929,NaN
2020-03-05,6,5.28333333333333,86.2087150318347,30,23,27,-16,-2,-35,-44,-17,9,1.47523774147123,1.560518726
2020-03-06,6,3.58333333333333,100,78,24,31,-14,3,26,-46,-17,9,1.4318299705425,1.51216033
2020-03-07,4,10.5,24.5221391399861,82,14,25,-18,1,82,-39,-17,6,1.38932524254407,1.465438675
2020-03-08,5,5.5,47.3639901274433,50,11,31,-43,-4,23,-51,-15,8,1.34980753594083,1.417736044
2020-03-09,12,6.85,74.6206692815435,38,22,27,-36,-6,-24,-62,-26,14,1.31616134431539,1.370575315
2020-03-10,6,7.61666666666667,58.3560727300163,70,8,22,-47,-9,-25,-65,-32,17,1.28110001100156,1.335170595
2020-03-11,25,12,76.4589458059451,25,17,38,-55,-15,-17,-71,-37,20,1.24781209796966,1.289762541
2020-03-12,23,12,90.3805177452837,59,24,26,-75,-29,-63,-77,-47,26,1.21752841366708,1.270456943
2020-03-13,27,12.5,87.6468337452682,70,24,25,-78,-28,-55,-81,-53,29,1.18668597018639,1.257720957
2020-03-14,33,10.5,91.8634884391352,72,17,16,-87,-50,-81,-84,-61,26,1.1547482929876,1.239886712
2020-03-15,26,8.55,76.2317576259423,57,16,13,-92,-66,-84,-88,-57,22,1.1285548238884,1.238635072
2020-03-16,18,8.75,71.2863115115115,55,21,26,-78,-38,-61,-84,-59,29,1.10116157315709,1.242597791
2020-03-17,32,8.5,72.3120785890432,65,25,26,-80,-40,-57,-83,-61,30,1.07335101716902,1.243864755
2020-03-18,31,10.75,62.3873743986741,74,28,31,-81,-43,-66,-84,-62,31,1.04579512186471,1.249396186
2020-03-19,45,11.5,60.2344448213575,85,20,31,-81,-44,-71,-86,-65,32,1.02215128031151,1.241343613
2020-03-20,28,11.5,68.2903608733277,68,30,25,-82,-40,-78,-87,-66,34,1.00137558985547,1.244933764
2020-03-21,21,11.25,61.3139637645285,80,21,22,-89,-59,-88,-89,-66,27,0.977635883974227,1.225536448
2020-03-22,27,10.8666666666667,70.3862777208369,76,30,7,-95,-86,-96,-93,-65,24,0.958165522083432,1.195912441
2020-03-23,35,5.06666666666667,48.77412189347,87,19,12,-83,-49,-86,-89,-71,34,0.938788037638273,1.16034877
2020-03-24,29,5,45.3706789001313,53,20,23,-84,-51,-83,-87,-72,35,0.922475667705621,1.11298986
2020-03-25,18,4,60.2192219077614,53,20,17,-86,-52,-86,-88,-73,35,0.903880627703957,1.072748592
2020-03-26,34,5,64.068883465585,61,23,19,-86,-52,-88,-89,-75,37,0.889332401190652,1.051147315
2020-03-27,209,9.75,65.1774427255799,76,24,18,-86,-49,-85,-89,-75,38,0.873782577705907,1.042634556
2020-03-28,57,11.75,59.5314231753754,76,58,27,-90,-63,-89,-90,-70,28,0.860436714113696,1.045286172
2020-03-29,44,13,57.8407092964146,80,60,19,-95,-84,-94,-93,-64,24,0.84851274471917,1.048111521
2020-03-30,54,9,90.3982513488791,78,11,15,-85,-53,-88,-90,-73,35,0.840086003799481,1.049394178
2020-03-31,27,5,70.0841210430271,50,12,14,-92,-50,-85,-87,-74,35,0.829240094979082,1.044335707
2020-04-01,44,4.8,63.2237996849535,38,18,25,-92,-48,-84,-88,-73,35,0.820478245744682,1.041687117
2020-04-02,65,6.25,61.7444772323404,61,27,34,-92,-48,-83,-88,-73,36,0.813537945065634,1.035977746
2020-04-03,83,9.25,53.1404581578214,85,30,40,-88,-46,-83,-89,-73,37,0.805548173287485,1.021469529
2020-04-04,63,10.75,56.6881117725074,93,33,18,-92,-61,-89,-90,-68,28,0.800173827243294,1.018412953
2020-04-05,43,13,41.276353531239,97,21,13,-96,-82,-94,-93,-63,23,0.796127767833757,1.005276312
2020-04-06,102,13,46.9118719462506,76,21,12,-86,-47,-83,-89,-70,33,0.789354823466028,0.997064957
2020-04-07,33,14.5,39.9773838192881,74,21,11,-85,-45,-81,-87,-70,34,0.78411755082583,0.982383888
2020-04-08,22,14.75,39.065500997743,72,23,12,-85,-42,-82,-87,-69,33,0.779370757983556,0.968892037
2020-04-09,143,14.5,42.607824844423,76,24,17,-84,-39,-83,-88,-69,34,0.774532986286905,0.958390013
2020-04-10,98,15.75,39.5549826632817,70,17,12,-84,-35,-82,-88,-71,36,0.771672733079258,0.947862223
2020-04-11,44,18.5,27.9998220899298,65,15,12,-90,-55,-89,-89,-67,27,0.766615295626898,0.935998066
2020-04-12,30,16.25,26.6069103386506,63,10,5,-97,-97,-95,-94,-68,24,0.764399521115758,0.924755426
2020-04-13,48,16.75,36.2253068065322,42,15,2,-96,-86,-90,-95,-92,42,0.760665449968135,0.912288895
2020-04-14,102,13.05,62.7225996869126,57,20,12,-84,-48,-81,-86,-67,32,0.759818117027412,0.89652778
2020-04-15,71,11.5,52.594556961226,65,17,7,-83,-45,-80,-86,-65,32,0.758826607674574,0.884591444
2020-04-16,69,12.5,53.7863784759571,53,23,15,-82,-44,-81,-87,-65,33,0.757256590375879,0.884001256
2020-04-17,68,16,46.828624456401,63,20,15,-83,-42,-81,-87,-65,34,0.756384912297067,0.888703952
2020-04-18,85,16.75,62.6348652929856,61,22,9,-89,-56,-88,-88,-63,27,0.755263417730444,0.90696414
2020-04-19,52,15.5,81.6816623605117,57,27,5,-95,-80,-94,-92,-60,23,0.755006558704244,0.926630466
2020-04-20,38,13,96.3197914757477,70,24,8,-82,-51,-86,-89,-63,31,0.755543999752589,0.947616509
2020-04-21,55,10.025,93.7123010317288,74,17,7,-82,-48,-82,-87,-63,31,0.757302839705729,0.968906393
2020-04-22,51,14.75,57.6315632882632,61,17,7,-81,-46,-79,-85,-61,31,0.755975156746815,0.988670145
2020-04-23,38,14.5,61.1430561649108,55,22,10,-81,-45,-78,-86,-62,31,0.758133924434837,1.007924575
2020-04-24,36,16.5,59.5089844574159,68,25,8,-81,-37,-79,-86,-61,32,0.760406180742344,1.011933304
2020-04-25,31,16.25,66.5793492335623,76,20,9,-93,-69,-89,-91,-70,28,0.762652107744882,1.009333039
2020-04-26,60,16.75,65.6866534044184,61,12,1,-94,-76,-92,-92,-56,22,0.767465086997769,1.016625103
2020-04-27,29,16,73.5224054236603,53,16,7,-77,-41,-79,-87,-59,28,0.771407314463037,1.008669654
2020-04-28,72,14.5,87.8576176759368,53,14,9,-80,-46,-81,-86,-59,30,0.775703503787483,1.005887598
