date,daily_cases,med_temp,med_hum,pm25,pm10,o3,retail,grocery,parks,transit,work,home,infections,rt1,rt2,state
2020-02-24,0,7.5,90.4071698279757,142,55,35,-11,27,21,-22,-19,5,19.6954484976138,2.02294114660642,NaN,Veneto
2020-02-25,0,9,93.4823818113221,137,64,22,-13,1,6,-26,-19,6,21.495289589273,2.00580262681936,NaN,Veneto
2020-02-26,0,9.5,40.5679343713048,154,46,32,-15,-6,-4,-28,-18,7,24.9507804078268,1.98140476998258,NaN,Veneto
2020-02-27,0,8,34.4411764036201,102,20,31,-10,-6,7,-28,-15,6,29.143471457125,1.95156688889866,NaN,Veneto
2020-02-28,0,7.55,37.1241548743133,50,26,36,-13,-5,19,-25,-15,6,33.6867300593053,1.9133214405016,NaN,Veneto
2020-02-29,0,8.25,48.3376357606585,53,29,26,-15,-4,6,-21,-12,4,38.7520509632297,1.87283409428218,NaN,Veneto
2020-03-01,2,7,95.9470338722698,59,NaN,NaN,-31,-7,-68,-38,-10,7,44.4438203391225,1.82025610675039,NaN,Veneto
2020-03-02,6,8.68333333333333,84.584862336505,NaN,NaN,NaN,-20,-9,-44,-35,-13,7,50.7476425226617,1.77019376985855,1.68392479506782,Veneto
2020-03-03,9,7.51666666666667,90.3989248617378,NaN,10,22,-16,-4,-34,-33,-13,7,57.6061516750201,1.71490243430459,1.66380050566628,Veneto
2020-03-04,4,7.18333333333333,77.8765808430859,38,11,30,-12,-2,8,-25,-13,6,64.973131307139,1.65630728863818,1.62533452494669,Veneto
2020-03-05,4,6.25,86.9722652550159,34,16,30,-16,-2,-21,-33,-14,7,72.7888177288663,1.59305382646085,1.60244131772262,Veneto
2020-03-06,17,6.53333333333333,89.4558732548153,42,20,24,-19,-1,-7,-31,-14,7,80.9392453579114,1.52802319556223,1.57021397051847,Veneto
2020-03-07,10,7.98333333333333,75.1320050755317,59,24,30,-22,-3,20,-25,-13,4,89.2634961106162,1.46575722925342,1.52736736859486,Veneto
2020-03-08,11,7.5,61.5229166906978,68,11,38,-31,-4,16,-19,-9,3,97.5757656021551,1.40928191989517,1.50026163952915,Veneto
2020-03-09,10,8.25,73.8573164544752,42,27,34,-30,-3,-25,-39,-18,9,105.712790776758,1.3505001405967,1.45329560331067,Veneto
2020-03-10,23,7.93333333333333,78.2000309644075,68,36,29,-45,-1,-30,-46,-24,14,113.554171497603,1.29302422053289,1.40914550961582,Veneto
2020-03-11,14,10.85,69.2556757493446,89,39,33,-53,-12,-38,-52,-30,17,120.868653364689,1.23864809181584,1.35803853610792,Veneto
