city,date,retail,grocery,parks,transit,work,home
Napoli,2020-02-15,4,-1,26,11,0,-2
Napoli,2020-02-16,0,-5,37,18,1,-2
Napoli,2020-02-17,-1,-1,5,6,2,-1
Napoli,2020-02-18,2,-1,11,5,1,-1
Napoli,2020-02-19,-2,-2,3,4,1,0
Napoli,2020-02-20,1,-2,9,7,1,-1
Napoli,2020-02-21,1,0,11,10,-1,-1
Napoli,2020-02-22,-1,2,17,11,0,-1
Napoli,2020-02-23,-4,-1,30,18,3,-2
Napoli,2020-02-24,-1,16,2,-6,-15,3
Napoli,2020-02-25,0,-2,18,-7,-19,4
Napoli,2020-02-26,-11,-8,-10,-11,-12,4
Napoli,2020-02-27,-6,-3,-3,-15,-16,5
Napoli,2020-02-28,-5,-2,-6,-16,-15,5
Napoli,2020-02-29,-3,1,7,-6,-8,1
Napoli,2020-03-01,-13,-6,-21,-16,-1,2
Napoli,2020-03-02,-9,-3,-15,-11,-2,2
Napoli,2020-03-03,-6,-3,-14,-12,-2,2
Napoli,2020-03-04,-5,1,-6,-9,-1,1
Napoli,2020-03-05,-7,2,-3,-19,-15,5
Napoli,2020-03-06,-15,-3,-25,-27,-17,7
Napoli,2020-03-07,-22,1,-28,-29,-12,6
Napoli,2020-03-08,-31,-10,-18,-30,-7,5
Napoli,2020-03-09,-29,-2,-26,-39,-25,9
Napoli,2020-03-10,-45,-6,-46,-53,-35,15
Napoli,2020-03-11,-56,-21,-53,-62,-43,18
Napoli,2020-03-12,-71,-30,-69,-71,-53,23
Napoli,2020-03-13,-76,-36,-75,-75,-59,27
Napoli,2020-03-14,-84,-47,-84,-80,-61,24
Napoli,2020-03-15,-92,-66,-90,-86,-64,22
Napoli,2020-03-16,-79,-47,-80,-81,-64,27
Napoli,2020-03-17,-79,-48,-80,-81,-67,28
Napoli,2020-03-18,-80,-48,-81,-82,-67,28
Napoli,2020-03-19,-81,-50,-83,-83,-69,30
Napoli,2020-03-20,-82,-47,-84,-83,-69,31
Napoli,2020-03-21,-85,-53,-87,-84,-66,25
Napoli,2020-03-22,-95,-83,-93,-90,-70,23
Napoli,2020-03-23,-83,-56,-86,-85,-72,30
Napoli,2020-03-24,-83,-54,-85,-85,-73,30
Napoli,2020-03-25,-85,-58,-87,-86,-74,31
Napoli,2020-03-26,-86,-60,-88,-87,-75,33
Napoli,2020-03-27,-83,-50,-86,-85,-73,33
Napoli,2020-03-28,-86,-55,-87,-84,-68,26
Napoli,2020-03-29,-94,-81,-93,-90,-69,23
Napoli,2020-03-30,-83,-54,-84,-84,-72,30
Napoli,2020-03-31,-92,-50,-82,-83,-73,30
Napoli,2020-04-01,-92,-48,-81,-82,-72,30
Napoli,2020-04-02,-92,-48,-82,-83,-72,31
Napoli,2020-04-03,-86,-44,-82,-83,-72,32
Napoli,2020-04-04,-89,-52,-86,-83,-66,26
Napoli,2020-04-05,-95,-78,-92,-89,-68,23
Napoli,2020-04-06,-85,-50,-82,-83,-70,29
Napoli,2020-04-07,-83,-44,-80,-82,-71,29
Napoli,2020-04-08,-83,-41,-80,-81,-70,29
Napoli,2020-04-09,-82,-36,-80,-80,-70,29
Napoli,2020-04-10,-82,-36,-81,-81,-71,31
Napoli,2020-04-11,-87,-49,-84,-81,-65,25
Napoli,2020-04-12,-97,-96,-94,-92,-74,24
Napoli,2020-04-13,-97,-95,-92,-94,-92,37
Napoli,2020-04-14,-85,-54,-82,-82,-70,29
Napoli,2020-04-15,-84,-49,-81,-81,-69,29
Napoli,2020-04-16,-83,-46,-81,-81,-68,30
Napoli,2020-04-17,-82,-40,-81,-81,-68,30
Napoli,2020-04-18,-86,-47,-85,-81,-62,25
Napoli,2020-04-19,-95,-79,-91,-88,-65,23
Napoli,2020-04-20,-83,-54,-84,-83,-67,28
Napoli,2020-04-21,-81,-44,-80,-80,-67,28
Napoli,2020-04-22,-84,-53,-84,-82,-68,29
Napoli,2020-04-23,-81,-40,-80,-80,-66,29
Napoli,2020-04-24,-78,-28,-77,-78,-64,28
Napoli,2020-04-25,-90,-66,-87,-85,-70,27
Napoli,2020-04-26,-96,-93,-91,-89,-66,23
Napoli,2020-04-27,-75,-37,-75,-77,-61,25
