date,med_temp,med_hum
2020-01-01,-0.5,83.37081566458573
2020-01-02,0,75.10703616948952
2020-01-03,0,86.47399695742088
2020-01-04,4,70.20666494684265
2020-01-05,7.5,31.269944661663136
2020-01-06,-2,68.97205445538597
2020-01-07,-0.5,71.9856904567257
2020-01-08,3,60.425225966640014
2020-01-09,2,64.83536951183426
2020-01-10,0,69.806050390569
2020-01-11,-2,86.0502156517045
2020-01-12,-1,69.18478564178771
2020-01-13,0,69.18478564178771
2020-01-14,-2,74.39493657238448
2020-01-15,0,69.6017280165298
2020-01-16,0,80.33283246958922
2020-01-17,1,75.10703616948952
2020-01-18,6,57.111838715303385
2020-01-19,5,32.58771603590447
2020-01-20,0,50.873716461594874
2020-01-21,-1,54.999260572554796
2020-01-22,-1,64.137090779592
2020-01-23,2,60.1771928765203
2020-01-24,2,65.06223972108722
2020-01-25,4,60.67027023244738
2020-01-26,3,75.4485476351069
2020-01-27,4,75.4485476351069
2020-01-28,3,93.28552679149317
2020-01-29,6,58.75710566793744
2020-01-30,4.5,63.09931648158296
2020-01-31,3,70.20666494684265
2020-02-01,3,86.57595680432547
2020-02-02,5,81.16326126554286
2020-02-03,6,75.78088296300407
2020-02-04,6,52.83107920663917
2020-02-05,8,19.815635263800246
2020-02-06,2,44.341136556539084
2020-02-07,3,52.010682798525586
2020-02-08,3,60.425225966640014
2020-02-09,4,62.98730857729643
2020-02-10,5,65.72593173509132
2020-02-11,11,23.56611690304066
2020-02-12,7,30.670516603970743
2020-02-13,6,39.10742436502
2020-02-14,10,42.79058655235179
2020-02-15,6,52.83107920663917
2020-02-16,5.5,63.21892686656152
2020-02-17,8,65.72593173509132
2020-02-18,11,42.20657504649029
2020-02-19,9,32.44427216545694
2020-02-20,6,42.20657504649029
2020-02-21,12,30.359765110140163
2020-02-22,9,43.36396857187724
2020-02-23,9.5,46.65073802097333
2020-02-24,12,54.39402067843743
2020-02-25,8,76.26296722008242
2020-02-26,8.5,33.7465384558609
2020-02-27,6.5,36.20803778172809
2020-02-28,9,21.490433529314227
2020-02-29,9,32.15373514002644
2020-03-01,5,93.33584656650186
2020-03-02,5,93.2344416434893
2020-03-03,8,76.10440404697026
2020-03-04,9,37.100435877352986
2020-03-05,5,60.67027023244738
2020-03-06,6,81.29492231081055
2020-03-07,10,25.78061974058433
2020-03-08,9,37.100435877352986
2020-03-09,8,61.151598203462754
2020-03-10,8,61.852431955094225
2020-03-11,11.5,64.44715674746907
2020-03-12,13,58.809036583679365
2020-03-13,15,40.1899157109373
2020-03-14,5.5,93.31068667899751
2020-03-15,9,71.16370157800365
2020-03-16,10,57.855491224856635
2020-03-17,12,54.1404536490307
2020-03-18,16,42.51240076984232
2020-03-19,15.5,43.36070137692285
2020-03-20,16,45.02270706073855
2020-03-21,16.5,46.77984359980965
2020-03-22,12.5,58.731267097711694
2020-03-23,8,38.807475810011276
2020-03-24,9,24.356563447393953
2020-03-25,7,45.805731041697435
2020-03-26,7,49.61020980666892
2020-03-27,10,47.2005972471017
2020-03-28,15,39.09794202454459
2020-03-29,15,39.09794202454459
2020-03-30,8,76.10440404697026
2020-03-31,9,21.669169944065345
2020-04-01,8,39.991869579059845
2020-04-02,11,40.56891502597647
2020-04-03,14,38.81942806425825
2020-04-04,15,33.58637609789902
2020-04-05,17,29.809078770647226
2020-04-06,16,31.48922589324287
2020-04-07,19,26.54209484792076
2020-04-08,18,26.410118656757554
2020-04-09,17,27.441030958800738
2020-04-10,20,26.54209484792076
2020-04-11,21,27.982635385681714
2020-04-12,19.5,23.93584378820944
2020-04-13,18,26.54209484792076
2020-04-14,18,11.445629398611281
2020-04-15,15.5,34.85206699279665
2020-04-16,17,30.622057172040385
2020-04-17,19,32.31729202515534
