date,med_temp,med_hum
2020-01-01,4.4,79.90513241561192
2020-01-02,3,100
2020-01-03,6.1,95.35619066469502
2020-01-04,6.1,100
2020-01-05,5.05,78.5233164539687
2020-01-06,4,100
2020-01-07,0.35,100
2020-01-08,0.4,100
2020-01-09,3,100
2020-01-10,7,96.64079197272298
2020-01-11,4,100
2020-01-12,3.5,91.43148293377283
2020-01-13,4,93.48445012593746
2020-01-14,5,100
2020-01-15,6,100
2020-01-16,5.85,100
2020-01-17,8,93.57607339053084
2020-01-18,6,100
2020-01-19,4,100
2020-01-20,3.7,99.99999999999997
2020-01-21,3.5,95.29081531638572
2020-01-22,4,88.33622333947145
2020-01-23,3.45,94.96414509361986
2020-01-24,5.2,86.9194577272076
2020-01-25,5.3,100
2020-01-26,6.15,99.99999999999997
2020-01-27,7.6,100
2020-01-28,6,100
2020-01-29,7.85,67.67020627532209
2020-01-30,7.15,68.0812401497118
2020-01-31,8.5,79.71407243419225
2020-02-01,8,100
2020-02-02,8.05,100
2020-02-03,7.7,100
2020-02-04,10.55,24.934508114407304
2020-02-05,9.9,21.267924392720623
2020-02-06,5.75,45.095624168624425
2020-02-07,7.15,42.599367561125476
2020-02-08,6.15,69.91660748767491
2020-02-09,8.5,78.34979894554138
2020-02-10,7.85,99.99999999999997
2020-02-11,14.95,13.34867704226274
2020-02-12,12.5,22.966834744192006
2020-02-13,8.5,67.35165399980107
2020-02-14,9.55,70.01013060504138
2020-02-15,9.5,60.665599164769986
2020-02-16,11.2,67.52664377154599
2020-02-17,10,100
2020-02-18,9.75,97.70653926089417
2020-02-19,9.25,66.46674178650375
2020-02-20,9.35,50.41960231941475
2020-02-21,9.65,54.1404536490307
2020-02-22,9.05,77.3576734757225
2020-02-23,10.5,83.73879457495383
2020-02-24,13,82.31470255648514
2020-02-25,12.2,90.80953780716024
2020-02-26,12,11.928825915001633
2020-02-27,10.5,26.111432660745805
2020-02-28,11.3,13.52799202899371
2020-02-29,9,57.36111610169337
2020-03-01,7,100
2020-03-02,6.65,98.84078908159748
2020-03-03,8.75,95.14735435599496
2020-03-04,8.75,84.52629395748869
2020-03-05,6,100
2020-03-06,7.1,87.24820698433624
2020-03-07,11.25,58.81660562423992
2020-03-08,9.15,63.62170751944323
2020-03-09,7,100
2020-03-10,11,61.01680414361641
2020-03-11,13.5,61.594996242815554
2020-03-12,14,72.23467376153087
2020-03-13,15.7,77.24453707275183
2020-03-14,10,81.3738291515536
2020-03-15,10.5,59.22854563479281
2020-03-16,11.15,33.01151619847525
2020-03-17,12.3,46.57744350437373
2020-03-18,13.85,53.980402925317236
2020-03-19,15.1,56.91778802470459
2020-03-20,14,62.96717877904992
2020-03-21,14.75,55.7540044640438
2020-03-22,11,79.4708712593257
2020-03-23,6.7,27.813254054528542
2020-03-24,8,22.333842293556067
2020-03-25,6.8,47.410282893149976
2020-03-26,3.05,100
2020-03-27,9,71.34785997034247
2020-03-28,14,47.34124584157117
2020-03-29,14.85,48.029984173930565
2020-03-30,12,82.52256552847683
2020-03-31,7.65,46.673574447436394
2020-04-01,8,39.52115033849488
2020-04-02,9.7,36.9740823328993
2020-04-03,12.5,36.640756214371294
2020-04-04,14,37.18784598134157
2020-04-05,14.5,34.31046901392222
2020-04-06,17,40.85915726202775
2020-04-07,17.1,39.6614780902496
2020-04-08,18,23.903091909996036
2020-04-09,20.1,24.42613294921793
2020-04-10,21.05,31.41842061805805
2020-04-11,21.5,37.511149324024295
2020-04-12,20.5,29.146179858199346
2020-04-13,18.65,37.0914812589118
2020-04-14,17.6,61.64416272695282
2020-04-15,14,40.60595073788644
2020-04-16,16.5,44.45781771904717
2020-04-17,18.2,33.88013342441978
2020-04-18,21,50.903308474838575
2020-04-19,18.25,75.81138550952573
2020-04-20,12.7,100
2020-04-21,12.6,84.62565939623579
2020-04-22,16.5,35.27112931112963
2020-04-23,18,39.50985703699978
2020-04-24,20,43.16023076024487
2020-04-25,20.7,49.39415334807221
2020-04-26,20.35,50.38783206326869
2020-04-27,21,63.029496832788105
2020-04-28,16.833333333333336,100
2020-04-29,20.7,48.693867906072384
2020-04-30,19,62.39795320048641
2020-05-01,18.8,68.42912229326828
2020-05-02,23.5,23.06440127320935
2020-05-03,21,53.901538315934815
