date,med_temp,med_hum
2020-01-01,6.5,76.16348142177326
2020-01-02,4.5,78.30590445032487
2020-01-03,4,90.12307370036012
2020-01-04,8,66.57325019366836
2020-01-05,6,70.59691357763039
2020-01-06,3.5,87.18566882710068
2020-01-07,1.5,93.0216578065749
2020-01-08,4,78.62127797687292
2020-01-09,4.5,75.8133273538862
2020-01-10,5.5,78.49936323864333
2020-01-11,3.5,80.8236834663833
2020-01-12,4,72.95660997830099
2020-01-13,3.5,81.14611649739103
2020-01-14,3,86.87283313746545
2020-01-15,4,75.4485476351069
2020-01-16,3.5,78.18640190990708
2020-01-17,5,75.61583924761365
2020-01-18,6,84.26085995464278
2020-01-19,3,75.27896229833108
2020-01-20,4,70.3072526807112
2020-01-21,3.5,77.80589738396014
2020-01-22,4.5,70.47800841351989
2020-01-23,4,70.40306007145662
2020-01-24,5,75.61583924761365
2020-01-25,6,68.16142265636086
2020-01-26,6,75.9437234078979
2020-01-27,6.5,81.29492231081055
2020-01-28,8,66.67596606288488
2020-01-29,12,38.538665956399974
2020-01-30,8,57.50655938993511
2020-01-31,8,71.19726058985754
2020-02-01,8.5,86.99222028059759
2020-02-02,8,87.33952993947925
2020-02-03,16.5,54.52287099153887
2020-02-04,13,25.218597791865214
2020-02-05,9,30.67138599261564
2020-02-06,7,35.15466394661131
2020-02-07,7.5,44.29503310959076
2020-02-08,6.5,68.67124650833262
2020-02-09,6,86.57595680432547
2020-02-10,9.5,71.4387833416105
2020-02-11,16,31.62813735069178
2020-02-12,12,33.054485982768995
2020-02-13,9,38.546152728206415
2020-02-14,9,57.60900776608191
2020-02-15,10,48.91488478039179
2020-02-16,10,62.306102405334585
2020-02-17,9,70.97718779226778
2020-02-18,12,53.884172630527125
2020-02-19,10.5,43.36266977948845
2020-02-20,10.5,36.185248801423114
2020-02-21,10.5,54.52287099153887
2020-02-22,9,71.16370157800365
2020-02-23,10,79.07556093501182
2020-02-24,13.5,74.55583514683653
2020-02-25,10,87.6039764658642
2020-02-26,9.5,30.960984840145223
2020-02-27,7,39.10742436502
2020-02-28,9.5,34.24591130323844
2020-02-29,7,53.098632762981765
2020-03-01,7,75.78088296300407
2020-03-02,4,93.28552679149317
2020-03-03,11.5,38.73656967284936
2020-03-04,9.5,44.864664624665615
2020-03-05,6.5,73.47229227050386
2020-03-06,7,75.9437234078979
2020-03-07,12,37.39273734433981
2020-03-08,9.5,50.01833889598812
2020-03-09,8,75.69836110530886
2020-03-10,12.5,42.67153084542872
2020-03-11,15,58.33754784211035
2020-03-12,12,87.6896910246721
2020-03-13,12,82.0479264748835
2020-03-14,8,100
2020-03-15,8,81.55281965741065
2020-03-16,11.5,62.52900827054068
2020-03-17,13.5,62.52900827054068
2020-03-18,14,59.04092137331875
2020-03-19,16,51.588941101713345
2020-03-20,13,66.98164478581077
2020-03-21,15,51.71865843996255
