date,med_temp,med_hum
2020-01-01,4,100
2020-01-02,1,100
2020-01-03,5,100
2020-01-04,5,100
2020-01-05,4,100
2020-01-06,3,100
2020-01-07,0,100
2020-01-08,1,100
2020-01-09,0,100
2020-01-10,5,100
2020-01-11,2.5,100
2020-01-12,2,100
2020-01-13,1,100
2020-01-14,4,100
2020-01-15,6,100
2020-01-16,4,100
2020-01-17,8,100
2020-01-18,6,100
2020-01-19,4,100
2020-01-20,5,100
2020-01-21,3,100
2020-01-22,3,100
2020-01-23,3,100
2020-01-24,5.5,100
2020-01-25,5,100
2020-01-26,6.5,100
2020-01-27,8,100
2020-01-28,6,100
2020-01-29,8,93.43425775667069
2020-01-30,6,100
2020-01-31,11,100
2020-02-01,9,100
2020-02-02,7,100
2020-02-03,7,100
2020-02-04,8,100
2020-02-05,9.5,53.61030164737613
2020-02-06,3,80.89432243031641
2020-02-07,6,81.29492231081055
2020-02-08,7,93.28552679149317
2020-02-09,9,93.52980580799328
2020-02-10,7,100
2020-02-11,14,66.7786819321014
2020-02-12,11,57.855491224856635
2020-02-13,9,93.50609380965767
2020-02-14,9,93.66802688743715
2020-02-15,8,100
2020-02-16,11,100
2020-02-17,10,100
2020-02-18,10,100
2020-02-19,7.5,100
2020-02-20,6,87.063573866525
2020-02-21,11.5,84.90137074281233
2020-02-22,9,100
2020-02-23,11,100
2020-02-24,14,93.80046793553373
2020-02-25,11.5,100
2020-02-26,11.5,54.88798154687028
2020-02-27,11,66.36530522439746
2020-02-28,11,46.65073802097333
2020-02-29,9,87.42892162180227
2020-03-01,6.5,100
2020-03-02,8,100
2020-03-03,8.25,100
2020-03-04,9,100
2020-03-05,8,100
2020-03-06,8,100
2020-03-07,11,100
2020-03-08,9.5,87.76515414310278
2020-03-09,7,100
2020-03-10,9.5,96.78827245303124
2020-03-11,13,82.40221826885791
2020-03-12,15,93.88572735695078
2020-03-13,17,100
2020-03-14,11,93.57654490606248
2020-03-15,10.5,93.8019882329321
2020-03-16,11,76.57390511688696
2020-03-18,18,72.89837823524324
2020-03-20,13.5,93.66770590461286
2020-03-21,14.5,87.93932434524476
2020-03-22,11,93.52980580799328
2020-03-23,6,56.601833902369236
2020-03-24,9,57.61039348808335
2020-03-25,7,75.862303185451
2020-03-26,4,100
2020-03-27,9,100
2020-03-28,14.5,79.74227469567361
2020-03-29,15,82.40221826885791
2020-03-30,14,87.93987707799131
2020-03-31,8,71.34785997034247
2020-04-01,9.5,66.67596606288488
2020-04-02,12,62.749352870665476
2020-04-03,14,67.38033620627652
2020-04-04,16,67.76965953357693
2020-04-05,17,59.72161450624217
2020-04-06,19,60.163324567622766
2020-04-07,19,56.560400048640226
2020-04-08,19.5,47.68880434156188
2020-04-09,21,52.953324918538684
2020-04-10,22,47.099569150099605
2020-04-11,23,50.0446023720182
2020-04-12,22,50.16674888216849
2020-04-13,20,56.67466283166095
2020-04-14,18.5,77.84989526230595
2020-04-15,15,67.76965953357693
2020-04-16,17.5,70.19237531129592
2020-04-17,20,60.380664845333186
2020-04-18,22,68.88455335627403
2020-04-19,21,83.17707082529641
2020-04-20,13,100
2020-04-21,13,100
2020-04-22,19,64.22351528460194
2020-04-23,19.5,68.42912229326828
2020-04-24,21,68.88455335627403
2020-04-25,22,73.38896219265978
2020-04-26,21,72.90617502544593
2020-04-27,21,78.28183408834832
2020-04-28,17,93.96867428001391
2020-04-29,19,100
2020-04-30,19,88.25807814964361
2020-05-01,20,78.01458531477618
2020-05-02,22.5,80.72945245682237
2020-05-03,21,83.07056865668882
2020-05-04,22.5,64.62284852911816
2020-05-05,22,83.28224538859223
2020-05-06,20,88.51962146835137
2020-05-07,22,60.80849361136813
2020-05-08,25,65.39896497120674
2020-05-09,25,54.129121311830716
2020-05-10,23,78.28183408834832
2020-05-11,20,88.41097223284731
2020-05-12,21.5,85.77825318973174
2020-05-13,16,100
2020-05-14,23,91.3046711668097
2020-05-15,20,94.00930974786736
2020-05-16,19,100
2020-05-17,23.5,85.98732358842781
2020-05-18,24,83.38611693561624
2020-05-19,20,100
2020-05-20,24,83.58784926503787
2020-05-21,25,65.20834884082107
2020-05-22,26.5,74.15679677103866
2020-05-23,26,69.58648439089438
2020-05-24,23,78.5426985712009
2020-05-25,26,59.665598223664816
2020-05-26,24,61.22741575076661
2020-05-27,24,60.80849361136813
2020-05-28,25,61.433620305047384
2020-05-29,16.75,90.99028912538982
2020-05-30,22,75.63372790476618
2020-05-31,21.5,75.84757357120185
2020-06-01,23.5,73.46754356615195
2020-06-02,26,69.7571098900847
2020-06-03,24,78.21542814555394
2020-06-04,17,100
2020-06-05,23,88.48593772277465
2020-06-06,24,83.17707082529641
2020-06-07,23,88.48593772277465
2020-06-08,19,100
2020-06-09,20,100
2020-06-10,18.5,98.48187099061735
2020-06-11,19.5,93.98899201394065
2020-06-12,25,78.5426985712009
2020-06-13,24,83.38611693561624
2020-06-14,24,88.70513301773073
2020-06-15,22.5,100
2020-06-16,24.5,88.70513301773073
2020-06-17,21,100
2020-06-18,24,78.28183408834832
2020-06-19,23.5,78.56862015653195
2020-06-20,25.5,73.99976723179445
2020-06-21,28,65.95870265422246
2020-06-22,29.5,56.78783668595791
2020-06-23,30,66.36000247611577
2020-06-24,28.5,70.25782899103439
2020-06-25,26.5,88.77635748539188
2020-06-26,28.5,76.62458571423747
2020-06-27,30.5,68.28995399634135
2020-06-28,30.5,68.21750881436657
2020-06-29,30,74.74013559858439
2020-06-30,29.5,74.74013559858439
2020-07-01,30,83.9832863339616
2020-07-02,29,54.80795643790807
2020-07-03,26,61.433620305047384
2020-07-04,26,57.680268956010195
2020-07-05,28.5,48.29337388841395
2020-07-06,30,48.56365504771219
2020-07-07,24,49.549159547609406
2020-07-08,26,39.16649857524756
2020-07-09,27,51.24387324896973
2020-07-10,30.5,48.562625006468835
2020-07-11,26,54.129121311830716
2020-07-12,25,57.460781959872754
2020-07-13,24,44.59662853524334
2020-07-14,24,44.3437021769521
2020-07-15,25,50.77076742704715
2020-07-16,27,54.129121311830716
2020-07-17,25,65.01566070822071
2020-07-18,25,38.829783363448016
2020-07-19,27,43.6034561734118
2020-07-20,30,45.587519165881766
2020-07-21,30,48.56365504771219
2020-07-22,30,55.029970545985485
2020-07-23,27,61.637697104138
2020-07-24,21,82.96271367352225
2020-07-25,26,54.35756048322609
2020-07-26,27,54.35756048322609
2020-07-27,28,58.22282677102304
2020-07-28,31,48.9176293071591
2020-07-29,30.5,56.78783668595791
2020-07-30,32.5,50.486255775585875
2020-07-31,31,58.53672438780335
2020-08-01,32,58.9524751125367
2020-08-02,28,61.93963568555405
2020-08-03,22,94.04940149842568
2020-08-04,20,73.29127147377004
2020-08-05,25,44.847451212201655
2020-08-06,26.5,50.98516715183482
2020-08-07,29,51.24387324896973
2020-08-08,30,43.019377813958585
2020-08-09,31,45.83014811630574
