"","cities","lon","lat"
"1","Napoli","14.2487826","40.8359336"
"2","Piacenza","9.6947461","45.0534751"
"3","Parma","10.3280833","44.8013678"
"4","Reggio_Emilia","10.6304958","44.6978446"
"5","Modena","10.9255707","44.6458885"
"6","Bologna","11.3430347","44.4936714"
"7","Rimini","12.5684371","44.0593886"
"8","Roma","12.4829321","41.8933203"
"9","Varese","8.826895","45.8182519"
"10","Como","9.0830353","45.8115623"
"11","Milano","9.1905","45.4668"
"12","Bergamo","9.6698727","45.6944947"
"13","Brescia","10.2200214","45.5398022"
"14","Pavia","9.1546375","45.1860043"
"15","Cremona","10.0248716","45.1334796"
"16","Lecco","9.389605","45.8553764"
"17","Lodi","9.503263","45.3138959"
"18","Monza","9.2735257","45.5834418"
"19","Bolzano","11.3547801","46.4981125"
"20","Torino","7.6824892","45.0677551"
"21","Alessandria","8.615321","44.9129225"
"22","Firenze","11.2555757","43.7698712"
"23","Verona","10.9924122","45.4384958"
"24","Cuneo","7.5478945","44.3895925"
"25","Mantova","10.7917191","45.1566683"
