"","cities","lon","lat","NOAAcode"
"1","Napoli",14.2487826,40.8359336,"162890-34113"
"2","Piacenza",9.6947461,45.0534751,"160840-99999"
"3","Parma",10.3280833,44.8013678,"162591-99999"
"4","Reggio_Emilia",10.6304958,44.6978446,"162591-99999"
"5","Modena",10.9255707,44.6458885,"161400-99999"
"6","Bologna",11.3430347,44.4936714,"161400-99999"
"7","Rimini",12.5684371,44.0593886,"161490-99999"
"8","Roma",12.4829321,41.8933203,"162350-99999"
"9","Varese",8.826895,45.8182519,"160660-99999"
"10","Como",9.0830353,45.8115623,"160660-99999"
"11","Milano",9.1905,45.4668,"160800-99999"
"12","Bergamo",9.6698727,45.6944947,"160760-99999"
"13","Brescia",10.2200214,45.5398022,"160880-99999"
"14","Pavia",9.1546375,45.1860043,"160800-99999"
"15","Cremona",10.0248716,45.1334796,"160840-99999"
"16","Lecco",9.389605,45.8553764,"160760-99999"
"17","Lodi",9.503263,45.3138959,"160800-99999"
"18","Monza",9.2735257,45.5834418,"160800-99999"
"19","Bolzano",11.3547801,46.4981125,"160200-99999"
"20","Torino",7.6824892,45.0677551,"160610-99999"
"21","Alessandria",8.615321,44.9129225,"161190-99999"
"22","Firenze",11.2555757,43.7698712,"161710-99999"
"23","Verona",10.9924122,45.4384958,"160900-99999"
"24","Cuneo",7.5478945,44.3895925,"162592-99999"
"25","Mantova",10.7917191,45.1566683,"160900-99999"
