date,region,positive,total
20200228,Napoli,1,203
20200229,Napoli,9,160
20200303,Napoli,13,32
20200308,Napoli,28,258
20200310,Napoli,6,138
20200311,Napoli,35,303
20200312,Napoli,13,92
20200313,Napoli,31,91
20200314,Napoli,31,158
20200315,Napoli,17,77
20200316,Napoli,31,141
20200317,Napoli,39,109
20200319,Napoli,100,447
20200320,Napoli,58,180
20200321,Napoli,47,298
20200322,Napoli,41,221
20200323,Napoli,39,377
20200324,Napoli,45,290
20200325,Napoli,38,262
20200326,Napoli,39,483
20200327,Napoli,69,607
20200328,Napoli,93,676
20200329,Napoli,71,506
20200330,Napoli,93,561
20200331,Napoli,62,635
20200401,Napoli,108,1029
20200402,Napoli,118,879
20200403,Napoli,149,1236
20200404,Napoli,70,1065
20200405,Napoli,34,413
20200406,Napoli,36,510
20200407,Napoli,75,1044
20200408,Napoli,25,418
20200409,Napoli,31,767
20200410,Napoli,73,1550
20200411,Napoli,37,1004
20200412,Napoli,62,1188
20200413,Napoli,61,1222
20200414,Napoli,78,1043
20200415,Napoli,16,606
20200416,Napoli,46,1013
20200417,Napoli,37,1388
20200418,Napoli,21,1474
20200419,Napoli,29,1339
20200420,Napoli,22,1419
20200421,Napoli,46,1854
20200422,Napoli,36,1550
20200423,Napoli,53,2623
20200424,Napoli,18,1230
20200425,Napoli,19,3565
20200426,Napoli,22,1854
20200427,Napoli,14,1174
20200428,Napoli,16,949
20200429,Napoli,11,927
20200430,Napoli,7,1623
20200501,Napoli,20,3650
20200502,Napoli,11,2678
20200503,Napoli,14,1627
20200504,Napoli,5,1445
20200505,Napoli,13,1641
20200506,Napoli,15,3729
20200507,Napoli,5,2487
20200508,Napoli,8,1666
20200509,Napoli,7,2706
20200510,Napoli,4,1336
20200511,Napoli,11,3318
20200512,Napoli,5,850
20200513,Napoli,8,1662
20200514,Napoli,2,793
20200515,Napoli,12,2885
20200516,Napoli,5,1685
20200517,Napoli,3,661
20200518,Napoli,1,336
20200519,Napoli,4,1249
20200520,Napoli,5,2528
20200521,Napoli,2,1128
