region,date,import_status,confirm
Napoli,2020-02-24,local,0
Napoli,2020-02-25,local,0
Napoli,2020-02-26,local,0
Napoli,2020-02-27,local,3
Napoli,2020-02-28,local,1
Napoli,2020-02-29,local,9
Napoli,2020-03-01,local,4
Napoli,2020-03-02,local,0
Napoli,2020-03-03,local,13
Napoli,2020-03-04,local,0
Napoli,2020-03-05,local,0
Napoli,2020-03-06,local,0
Napoli,2020-03-07,local,0
Napoli,2020-03-08,local,28
Napoli,2020-03-09,local,10
Napoli,2020-03-10,local,6
Napoli,2020-03-11,local,35
Napoli,2020-03-12,local,13
Napoli,2020-03-13,local,31
Napoli,2020-03-14,local,31
Napoli,2020-03-15,local,17
Napoli,2020-03-16,local,31
Napoli,2020-03-17,local,39
Napoli,2020-03-18,local,0
Napoli,2020-03-19,local,100
Napoli,2020-03-20,local,58
Napoli,2020-03-21,local,47
Napoli,2020-03-22,local,41
Napoli,2020-03-23,local,39
Napoli,2020-03-24,local,45
Napoli,2020-03-25,local,38
Napoli,2020-03-26,local,39
Napoli,2020-03-27,local,69
Napoli,2020-03-28,local,93
Napoli,2020-03-29,local,71
Napoli,2020-03-30,local,93
Napoli,2020-03-31,local,62
Napoli,2020-04-01,local,108
Napoli,2020-04-02,local,118
Napoli,2020-04-03,local,149
Napoli,2020-04-04,local,70
Napoli,2020-04-05,local,34
Napoli,2020-04-06,local,36
Napoli,2020-04-07,local,75
Napoli,2020-04-08,local,25
Napoli,2020-04-09,local,31
Napoli,2020-04-10,local,73
Napoli,2020-04-11,local,37
Napoli,2020-04-12,local,62
Napoli,2020-04-13,local,61
Napoli,2020-04-14,local,78
Napoli,2020-04-15,local,16
Napoli,2020-04-16,local,46
Napoli,2020-04-17,local,37
Napoli,2020-04-18,local,21
Napoli,2020-04-19,local,29
Napoli,2020-04-20,local,22
Napoli,2020-04-21,local,46
Napoli,2020-04-22,local,36
Napoli,2020-04-23,local,53
Napoli,2020-04-24,local,18
Napoli,2020-04-25,local,19
Napoli,2020-04-26,local,22
Napoli,2020-04-27,local,14
Napoli,2020-04-28,local,16
Napoli,2020-04-29,local,11
Napoli,2020-04-30,local,7
Napoli,2020-05-01,local,20
Napoli,2020-05-02,local,11
Napoli,2020-05-03,local,14
Napoli,2020-05-04,local,5
Napoli,2020-05-05,local,13
Napoli,2020-05-06,local,15
Napoli,2020-05-07,local,5
Napoli,2020-05-08,local,8
Napoli,2020-05-09,local,7
Napoli,2020-05-10,local,4
Napoli,2020-05-11,local,11
Napoli,2020-05-12,local,5
Napoli,2020-05-13,local,8
Napoli,2020-05-14,local,2
Napoli,2020-05-15,local,12
Napoli,2020-05-16,local,5
Napoli,2020-05-17,local,3
Napoli,2020-05-18,local,1
Napoli,2020-05-19,local,4
Napoli,2020-05-20,local,5
Napoli,2020-05-21,local,2
Napoli,2020-05-22,local,2
Napoli,2020-05-23,local,0
Napoli,2020-05-24,local,4
Napoli,2020-05-25,local,2
