date,daily_cases,med_temp,med_hum,pm25,pm10,o3,no2,retail,grocery,parks,transit,work,home,rt,region
2020-02-24,0,10,76.43184793,117,51,26,22,-16,19,25,-28,-22,7,1.745748539,Lombardia
2020-02-25,18,10,81.80288937,127,44,29,22,-19,-4,19,-31,-22,9,1.678990736,Lombardia
2020-02-26,2,7.933333333,31.17467698,104,22,37,19,-21,-12,6,-34,-20,10,1.613244281,Lombardia
2020-02-27,52,6.5,30.72411757,65,12,32,24,-17,-10,17,-36,-20,10,1.53998832,Lombardia
2020-02-28,31,8.6,25.75446207,46,11,37,32,-14,-11,43,-36,-20,9,1.466198188,Lombardia
2020-02-29,7,7.5,43.28793802,57,23,30,23,-21,-10,1,-32,-24,8,1.3958225,Lombardia
2020-03-01,99,5.95,93.38541803,80,NaN,NaN,NaN,-31,-22,-40,-39,-15,8,1.3238601,Lombardia
2020-03-02,34,6.75,93.43425776,NaN,NaN,NaN,NaN,-23,-19,-51,-48,-20,10,1.254149994,Lombardia
2020-03-03,129,6.5,88.42018855,NaN,17,28,19,-13,-8,13,-38,-20,9,1.19002265,Lombardia
2020-03-04,51,7.25,68.31648018,57,15,31,29,-17,-5,41,-37,-20,9,1.127814666,Lombardia
2020-03-05,114,5.2,84.14599196,57,18,30,16,-23,-9,-26,-46,-22,11,1.070606141,Lombardia
2020-03-06,86,4.883333333,91.72984722,61,20,25,27,-24,-10,-8,-47,-23,12,1.017498625,Lombardia
2020-03-07,138,7,62.21283789,72,23,32,24,-34,-13,40,-37,-28,10,0.967908649,Lombardia
2020-03-08,236,7,51.98880847,72,12,38,17,-50,-29,3,-43,-25,10,0.923193379,Lombardia
2020-03-09,248,7.533333333,74.62494603,50,25,32,22,-44,-17,-44,-61,-33,17,0.885143629,Lombardia
2020-03-10,227,9,58.61155872,76,16,34,16,-54,-18,-31,-62,-40,20,0.848751666,Lombardia
2020-03-11,343,11,65.63898611,55,20,27,26,-61,-22,-34,-67,-46,23,0.815902314,Lombardia
2020-03-12,321,12.03333333,79.25584124,65,38,28,16,-76,-30,-62,-75,-54,28,0.787695221,Lombardia
2020-03-13,232,13,82.04792647,99,25,33,15,-79,-33,-61,-78,-60,32,0.762735663,Lombardia
2020-03-14,496,10.25,85.99996241,70,28,30,11,-87,-52,-82,-83,-68,28,0.742019443,Lombardia
2020-03-15,552,6.75,83.3817945,82,13,31,10,-91,-69,-82,-85,-60,23,0.725477726,Lombardia
2020-03-16,344,8,72.42090054,53,20,34,16,-79,-39,-62,-81,-66,31,0.709049881,Lombardia
2020-03-17,233,9.25,75.03419041,63,30,37,17,-81,-44,-57,-81,-69,33,0.695525928,Lombardia
2020-03-18,312,10.75,70.25572826,93,34,44,16,-83,-46,-64,-82,-70,34,0.686744138,Lombardia
2020-03-19,340,12.5,63.7523397,99,24,46,17,-83,-47,-71,-83,-71,36,0.678918426,Lombardia
2020-03-20,509,13,71.87913085,78,38,46,14,-84,-43,-75,-84,-72,38,0.675331047,Lombardia
2020-03-21,715,12.5,74.14053877,97,25,45,9,-89,-60,-84,-86,-72,29,0.67252119,Lombardia
2020-03-22,347,10.73333333,62.31330818,74,24,32,6,-96,-86,-92,-90,-67,25,0.672059809,Lombardia
2020-03-23,255,5,49.1316801,74,18,31,8,-85,-49,-81,-87,-77,37,0.672650555,Lombardia
2020-03-24,257,5.833333333,45.50444029,50,20,37,14,-85,-51,-75,-85,-77,38,0.673744812,Lombardia
2020-03-25,344,4.216666667,63.22849282,63,20,32,7,-87,-53,-81,-86,-78,38,0.676752959,Lombardia
2020-03-26,386,5,68.66131433,61,23,28,9,-87,-54,-81,-87,-79,40,0.682268282,Lombardia
2020-03-27,602,9.5,61.59193531,70,31,32,11,-86,-51,-80,-87,-79,41,0.68838828,Lombardia
2020-03-28,289,11.5,62.48783511,82,68,39,12,-90,-64,-84,-87,-74,30,0.696053161,Lombardia
2020-03-29,178,13.01666667,58.51124637,89,58,41,8,-95,-88,-91,-90,-67,25,0.705995253,Lombardia
2020-03-30,137,10.48333333,71.8491287,70,27,38,7,-85,-51,-81,-87,-77,37,0.71587564,Lombardia
2020-03-31,139,4,75.36375497,57,9,30,11,-92,-50,-75,-84,-77,38,0.725808655,Lombardia
2020-04-01,236,4.65,63.35450285,38,16,33,15,-92,-48,-76,-84,-76,38,0.738019664,Lombardia
2020-04-02,132,6.5,58.18444999,63,22,41,16,-91,-48,-76,-84,-76,38,0.748757249,Lombardia
2020-04-03,144,9.5,55.00299485,72,33,46,20,-88,-47,-78,-86,-76,40,0.76072773,Lombardia
2020-04-04,273,11,55.99797244,97,38,53,16,-91,-62,-85,-86,-72,30,0.773493532,Lombardia
2020-04-05,124,11.75,54.51533219,104,25,46,17,-96,-87,-90,-90,-65,25,0.784100035,Lombardia
2020-04-06,103,13.5,51.2475465,74,25,53,21,-86,-47,-77,-85,-72,35,0.795161785,Lombardia
2020-04-07,53,14.5,45.01340677,74,31,56,17,-84,-46,-71,-82,-72,36,0.806847709,Lombardia
2020-04-08,63,13.5,46.84127335,93,27,50,18,-84,-44,-76,-83,-71,35,0.817786628,Lombardia
2020-04-09,112,15,42.13628285,82,28,57,18,-84,-40,-76,-83,-71,36,0.826465486,Lombardia
2020-04-10,108,15.25,42.90898633,89,25,57,16,-84,-37,-76,-83,-72,38,0.833393418,Lombardia
2020-04-11,107,16.5,40.12945824,80,23,61,21,-89,-56,-83,-84,-71,29,0.841411935,Lombardia
2020-04-12,51,15.75,35.47777178,76,13,49,10,-96,-95,-91,-90,-68,25,0.849344747,Lombardia
2020-04-13,82,16.25,38.07191263,55,19,54,6,-96,-88,-84,-92,-92,44,0.857097512,Lombardia
2020-04-14,35,13,59.68568527,68,24,47,11,-82,-45,-71,-82,-67,33,0.863902156,Lombardia
2020-04-15,46,10,59.97159414,78,19,40,9,-83,-44,-73,-81,-66,34,0.867258452,Lombardia
2020-04-16,46,12.5,57.47299004,50,25,46,16,-82,-43,-73,-82,-66,34,0.871020327,Lombardia
2020-04-17,72,15.5,46.0528862,65,20,47,15,-82,-42,-74,-82,-65,35,0.872194414,Lombardia
2020-04-18,39,16.25,54.2233858,59,19,45,11,-88,-57,-82,-83,-66,28,0.87492327,Lombardia
2020-04-19,60,17.75,61.78083701,53,24,50,8,-95,-85,-90,-89,-61,24,0.876903429,Lombardia
2020-04-20,49,14,90.77539659,63,20,24,12,-81,-50,-77,-84,-63,31,0.879684117,Lombardia
