date,daily_cases,med_temp,med_hum,pm25,pm10,o3,no2,retail,grocery,parks,transit,work,home,rt,region
2020-02-24,0,10,76.43184793,117,46,22,21,-12,25,32,-31,-17,8,2.049710737,Lombardia
2020-02-25,0,10,81.80288937,109,54,17,23,-15,1,-3,-36,-18,9,1.996203773,Lombardia
2020-02-26,0,7.933333333,31.17467698,139,10,35,17,-13,-12,2,-34,-18,9,1.93214632,Lombardia
2020-02-27,0,6.5,30.72411757,30,5,34,15,-11,-5,7,-31,-18,9,1.862456644,Lombardia
2020-02-28,0,8.6,25.75446207,13,5,38,17,-6,-8,51,-26,-20,9,1.787315624,Lombardia
2020-02-29,0,7.5,43.28793802,17,15,28,27,-15,-9,-2,-23,-21,8,1.707826326,Lombardia
2020-03-01,2,5.95,93.38541803,42,NaN,NaN,NaN,-25,-16,-31,-26,-9,7,1.623933275,Lombardia
2020-03-02,1,6.75,93.43425776,NaN,NaN,NaN,NaN,-23,-15,-48,-43,-17,9,1.542275261,Lombardia
2020-03-03,1,6.5,88.42018855,NaN,3,34,18,-9,-8,5,-32,-15,8,1.459814873,Lombardia
2020-03-04,1,7.25,68.31648018,NaN,8,34,23,-5,-9,59,-23,-15,7,1.382755729,Lombardia
2020-03-05,3,5.2,84.14599196,21,18,24,21,-17,-5,-27,-39,-17,9,1.308599093,Lombardia
2020-03-06,3,4.883333333,91.72984722,59,14,23,22,-14,-9,1,-32,-18,9,1.239081635,Lombardia
2020-03-07,24,7,62.21283789,55,5,38,19,-9,-9,88,-8,-20,7,1.171835749,Lombardia
2020-03-08,18,7,51.98880847,17,8,40,15,-33,-20,14,-12,-15,8,1.113954261,Lombardia
2020-03-09,13,7.533333333,74.62494603,34,8,40,15,-38,-15,-40,-53,-25,14,1.06011304,Lombardia
2020-03-10,23,9,58.61155872,59,19,31,27,-50,-20,-43,-58,-32,18,1.009457248,Lombardia
2020-03-11,24,11,65.63898611,21,6,35,20,-58,-26,-36,-61,-38,21,0.965835465,Lombardia
2020-03-12,86,12.03333333,79.25584124,46,15,34,21,-74,-33,-65,-71,-47,26,0.927612323,Lombardia
