date,daily_cases,med_temp,med_hum,pm25,pm10,o3,no2,retail,grocery,parks,transit,work,home,rt,region
2020-02-24,0,11.75,72.76027212,95,40,28,22,-25,23,21,-36,-25,10,2.12832485,Lombardia
2020-02-25,8,11,81.63078781,91,55,20,32,-29,0,2,-41,-27,12,2.059321849,Lombardia
2020-02-26,0,8.733333333,32.60943922,119,39,32,26,-30,-9,-12,-44,-28,13,1.978722908,Lombardia
2020-02-27,7,8,39.40478956,87,11,27,31,-26,-8,1,-44,-29,12,1.902438323,Lombardia
2020-02-28,14,9.25,23.66866369,30,11,35,39,-24,-7,22,-42,-30,12,1.812884031,Lombardia
2020-02-29,1,7,48.65854746,30,25,20,33,-33,-11,-22,-39,-20,7,1.723976471,Lombardia
2020-03-01,16,6.5,93.38541803,65,NaN,NaN,NaN,-43,-16,-41,-47,-17,5,1.635119179,Lombardia
2020-03-02,12,5.066666667,96.65496492,NaN,NaN,NaN,NaN,-33,-21,-58,-44,-24,12,1.544742689,Lombardia
2020-03-03,35,7.45,84.34583157,NaN,19,15,28,-18,0,18,-37,-23,10,1.457571025,Lombardia
2020-03-04,52,7.9,69.11199863,55,22,30,34,-19,-2,42,-36,-23,9,1.372848373,Lombardia
2020-03-05,52,6.1,81.79419869,59,20,24,29,-27,-8,-37,-43,-25,12,1.294769102,Lombardia
2020-03-06,70,6.116666667,85.70701063,59,22,22,32,-26,-2,-2,-42,-26,12,1.220371593,Lombardia
2020-03-07,94,8.1,75.48936082,68,29,34,26,-31,-6,52,-35,-18,6,1.149471038,Lombardia
2020-03-08,45,8.25,62.87723161,76,18,35,37,-57,-11,20,-50,-21,8,1.087523093,Lombardia
2020-03-09,100,8.5,69.83046449,55,25,32,34,-47,-13,-36,-58,-38,18,1.030524852,Lombardia
2020-03-10,86,10.1,61.1448308,72,24,30,27,-56,-13,-22,-64,-45,22,0.978539943,Lombardia
2020-03-11,333,11.75,69.23783211,65,20,34,34,-61,-17,-13,-68,-51,25,0.935690913,Lombardia
2020-03-12,221,13.06666667,81.52105541,50,29,26,30,-78,-30,-60,-76,-60,31,0.896419022,Lombardia
2020-03-13,161,14.73333333,76.30066992,70,14,33,19,-81,-31,-51,-78,-64,33,0.863534438,Lombardia
2020-03-14,244,11,81.86227923,38,22,26,14,-88,-50,-78,-81,-63,26,0.83407499,Lombardia
2020-03-15,199,8,80.363481,68,20,33,24,-92,-59,-72,-84,-59,22,0.809722624,Lombardia
2020-03-16,233,9,65.31887919,65,24,35,33,-81,-39,-62,-80,-68,32,0.790230967,Lombardia
2020-03-17,343,9.75,70.2241182,70,39,37,33,-83,-42,-60,-81,-70,34,0.772775533,Lombardia
2020-03-18,318,11.25,71.40724149,93,44,44,36,-85,-45,-67,-83,-71,35,0.758914447,Lombardia
2020-03-19,634,13,62.81819219,102,41,46,39,-85,-47,-73,-84,-72,36,0.748218153,Lombardia
2020-03-20,526,12,72.04736894,97,43,38,29,-85,-46,-75,-84,-72,37,0.741405313,Lombardia
2020-03-21,868,13.5,63.9712421,102,30,44,25,-90,-61,-82,-84,-67,27,0.734496114,Lombardia
2020-03-22,424,11,59.43852816,74,24,32,6,-96,-81,-90,-90,-67,24,0.730664919,Lombardia
2020-03-23,230,6,45.88956762,63,16,29,16,-87,-52,-83,-87,-77,37,0.727746767,Lombardia
2020-03-24,375,7.35,39.42287665,38,20,34,25,-87,-52,-79,-86,-78,38,0.724023383,Lombardia
2020-03-25,373,5.5,51.45694876,57,17,32,17,-88,-55,-83,-87,-78,39,0.724904327,Lombardia
2020-03-26,848,6,56.27587431,53,18,28,15,-88,-55,-83,-88,-79,40,0.723051418,Lombardia
2020-03-27,547,10.25,55.64588865,53,30,32,20,-88,-53,-81,-87,-79,41,0.723578263,Lombardia
2020-03-28,314,11.5,66.85855803,61,65,38,22,-91,-63,-84,-85,-70,28,0.72677303,Lombardia
2020-03-29,546,14.25,55.99152586,74,63,42,19,-96,-81,-88,-90,-68,24,0.728043662,Lombardia
2020-03-30,347,11.9,67.13145197,65,24,37,16,-88,-54,-82,-87,-78,37,0.729856438,Lombardia
2020-03-31,235,5.35,70.40178926,50,10,30,12,-94,-52,-78,-86,-78,38,0.734590858,Lombardia
2020-04-01,611,6.75,52.23572694,34,20,35,22,-93,-49,-78,-86,-78,38,0.738007677,Lombardia
2020-04-02,482,8.5,53.62287289,59,33,39,28,-93,-49,-78,-86,-78,39,0.73961453,Lombardia
2020-04-03,387,9.75,56.01004758,85,37,47,35,-89,-49,-78,-86,-77,40,0.742326233,Lombardia
2020-04-04,428,11.25,55.43132713,91,42,51,27,-92,-61,-82,-84,-68,28,0.745027273,Lombardia
2020-04-05,411,12.25,50.10713157,102,28,46,17,-96,-79,-87,-89,-67,24,0.747798062,Lombardia
2020-04-06,308,14,49.53268323,72,30,51,33,-88,-48,-77,-85,-76,36,0.750559597,Lombardia
2020-04-07,249,15.5,38.05723642,72,35,54,29,-87,-47,-75,-85,-76,37,0.751908032,Lombardia
2020-04-08,252,15.25,44.64607734,80,30,52,29,-87,-45,-76,-85,-75,37,0.755014681,Lombardia
2020-04-09,440,15.25,44.92092005,72,27,55,29,-86,-42,-76,-85,-75,37,0.758362881,Lombardia
2020-04-10,269,15.75,45.0057114,65,27,56,31,-86,-40,-76,-84,-76,39,0.760940694,Lombardia
2020-04-11,520,18,28.47416786,63,22,56,28,-90,-56,-80,-83,-67,27,0.763009107,Lombardia
2020-04-12,412,17.5,25.16487785,59,11,43,14,-97,-96,-87,-90,-72,24,0.765036658,Lombardia
2020-04-13,481,17.75,33.83298015,38,17,49,10,-96,-83,-84,-93,-93,44,0.767738316,Lombardia
2020-04-14,189,14,62.52900827,53,19,41,9,-86,-48,-75,-84,-73,36,0.77038639,Lombardia
2020-04-15,325,11.25,50.61561463,38,17,41,9,-86,-46,-75,-84,-73,36,0.771625533,Lombardia
2020-04-16,277,13.86666667,42.00175677,34,27,44,24,-85,-45,-76,-84,-73,36,0.775040512,Lombardia
2020-04-17,325,16.75,40.45157761,57,16,44,25,-86,-45,-75,-84,-72,38,0.775059016,Lombardia
2020-04-18,269,17,61.55264587,38,20,46,17,-89,-56,-80,-82,-63,27,0.776524629,Lombardia
2020-04-19,279,17.25,71.21764813,38,20,41,6,-95,-77,-85,-88,-63,23,0.777434854,Lombardia
2020-04-20,287,14.25,90.46800113,38,16,28,8,-86,-53,-82,-85,-72,35,0.778271035,Lombardia
2020-04-21,408,11.86666667,84.95477784,46,19,24,11,-85,-50,-77,-84,-71,35,0.778008881,Lombardia
2020-04-22,480,15.5,51.64936443,55,20,46,21,-84,-45,-72,-83,-70,35,0.780309507,Lombardia
2020-04-23,277,16.25,51.2113805,53,26,50,17,-84,-44,-73,-83,-70,36,0.781743574,Lombardia
2020-04-24,412,18,48.12842506,65,31,57,22,-84,-40,-72,-82,-70,36,0.782951124,Lombardia
2020-04-25,219,18.25,52.22133613,87,16,44,4,-92,-67,-78,-85,-71,28,0.78339521,Lombardia
2020-04-26,463,18.25,54.3892351,57,11,45,4,-94,-73,-81,-86,-60,23,0.785599865,Lombardia
2020-04-27,188,17.05,59.38372909,42,11,35,6,-81,-43,-72,-82,-69,33,0.788940232,Lombardia
2020-04-28,278,17,68.60397117,38,12,30,16,-83,-46,-71,-82,-69,34,0.794132173,Lombardia
2020-04-29,284,17.25,69.98225109,42,8,36,10,-82,-40,-67,-81,-68,34,0.798798886,Lombardia
2020-04-30,216,16,80.9410952,30,13,32,11,-81,-35,-75,-82,-68,34,0.803243939,Lombardia
