date,daily_cases,med_temp,med_hum,pm25,pm10,o3,no2,retail,grocery,parks,transit,work,home,rt,region
2020-02-24,0,11.75,72.76027212,119,39,29,16,-12,17,8,-42,-23,9,1.671091603,Lombardia
2020-02-25,27,11,81.63078781,93,62,22,24,-21,-6,0,-46,-23,10,1.630991201,Lombardia
2020-02-26,0,8.733333333,32.60943922,154,20,33,15,-22,-14,-14,-49,-21,11,1.589101144,Lombardia
2020-02-27,9,8,39.40478956,53,10,32,26,-16,-9,3,-45,-21,10,1.542400816,Lombardia
2020-02-28,13,9.25,23.66866369,38,13,36,44,-14,-10,23,-43,-21,10,1.493575442,Lombardia
2020-02-29,6,7,48.65854746,46,35,21,33,-21,-12,-26,-31,-12,7,1.44726726,Lombardia
2020-03-01,23,6.5,93.38541803,99,NaN,NaN,NaN,-28,-21,-30,-42,-10,6,1.397296244,Lombardia
2020-03-02,5,5.066666667,96.65496492,NaN,NaN,NaN,NaN,-21,-17,-50,-49,-18,10,1.350965586,Lombardia
2020-03-03,39,7.45,84.34583157,NaN,14,22,22,-9,-6,21,-40,-17,8,1.300945707,Lombardia
2020-03-04,4,7.9,69.11199863,46,19,32,27,-10,-7,31,-40,-17,8,1.252875031,Lombardia
2020-03-05,25,6.1,81.79419869,53,32,25,21,-18,-9,-39,-47,-19,10,1.206016067,Lombardia
2020-03-06,29,6.116666667,85.70701063,70,14,30,18,-16,-6,7,-43,-19,10,1.162556075,Lombardia
2020-03-07,41,8.1,75.48936082,NaN,21,31,14,-20,-9,24,-25,-12,6,1.120472231,Lombardia
2020-03-08,22,8.25,62.87723161,NaN,18,39,31,-41,-18,3,-38,-16,8,1.081868193,Lombardia
2020-03-09,53,8.5,69.83046449,NaN,32,32,22,-34,-14,-40,-57,-27,15,1.044174015,Lombardia
2020-03-10,28,10.1,61.1448308,NaN,19,34,33,-41,-14,-28,-60,-32,17,1.010861191,Lombardia
2020-03-11,79,11.75,69.23783211,NaN,20,34,26,-47,-18,-32,-63,-37,19,0.980622103,Lombardia
2020-03-12,65,13.06666667,81.52105541,NaN,33,29,23,-67,-25,-64,-71,-46,24,0.953082751,Lombardia
2020-03-13,14,14.73333333,76.30066992,NaN,10,40,13,-72,-29,-59,-74,-52,28,0.926583479,Lombardia
2020-03-14,140,11,81.86227923,NaN,28,24,8,-82,-47,-81,-75,-55,24,0.903681243,Lombardia
2020-03-15,100,8,80.363481,NaN,16,35,10,-87,-66,-77,-76,-50,20,0.883288039,Lombardia
2020-03-16,79,9,65.31887919,NaN,23,37,20,-70,-37,-67,-77,-55,27,0.86465988,Lombardia
2020-03-17,83,9.75,70.2241182,NaN,32,40,22,-73,-40,-64,-78,-58,28,0.848735395,Lombardia
2020-03-18,94,11.25,71.40724149,NaN,49,45,23,-75,-43,-71,-79,-58,29,0.833596242,Lombardia
2020-03-19,33,13,62.81819219,NaN,51,46,22,-75,-41,-75,-80,-60,30,0.822027271,Lombardia
2020-03-20,94,12,72.04736894,NaN,39,40,23,-76,-40,-77,-80,-61,32,0.809776449,Lombardia
2020-03-21,89,13.5,63.9712421,89,25,44,19,-85,-57,-86,-76,-59,25,0.801266181,Lombardia
2020-03-22,112,11,59.43852816,80,23,33,9,-94,-82,-92,-85,-59,22,0.795021074,Lombardia
2020-03-23,138,6,45.88956762,70,42,32,13,-77,-48,-83,-85,-67,32,0.789074286,Lombardia
2020-03-24,55,7.35,39.42287665,78,23,36,19,-78,-49,-79,-83,-67,32,0.783750979,Lombardia
2020-03-25,79,5.5,51.45694876,65,19,32,10,-80,-51,-82,-85,-68,33,0.779434592,Lombardia
2020-03-26,107,6,56.27587431,59,16,26,12,-80,-50,-83,-85,-70,35,0.776427252,Lombardia
2020-03-27,27,10.25,55.64588865,59,38,29,15,-81,-49,-81,-85,-69,36,0.775625984,Lombardia
2020-03-28,165,11.5,66.85855803,65,63,38,13,-86,-61,-87,-79,-61,26,0.772668502,Lombardia
2020-03-29,97,14.25,55.99152586,85,61,43,19,-93,-84,-91,-84,-57,22,0.76970577,Lombardia
2020-03-30,62,11.9,67.13145197,70,40,37,13,-78,-50,-81,-84,-67,32,0.768826146,Lombardia
