date,daily_cases,med_temp,med_hum,pm25,pm10,o3,no2,retail,grocery,parks,transit,work,home,rt,region
2020-02-24,0,13,82.31470256,124,40,22,33,-20,8,15,-23,-23,9,1.35880537,Emilia-Romagna
2020-02-25,18,12.2,90.80953781,102,59,21,32,-25,-10,5,-30,-21,11,1.318014445,Emilia-Romagna
2020-02-26,10,12,11.92882592,151,29,30,17,-28,-16,-5,-33,-23,12,1.278238614,Emilia-Romagna
2020-02-27,35,10.5,26.11143266,74,11,27,30,-24,-15,14,-32,-22,12,1.242329827,Emilia-Romagna
2020-02-28,26,11.3,13.52799203,34,NaN,34,43,-24,-13,29,-28,-21,11,1.209838407,Emilia-Romagna
2020-02-29,49,9,57.3611161,NaN,30,13,25,-27,-14,-4,-22,-18,8,1.178837583,Emilia-Romagna
2020-03-01,36,7,100,76,24,18,16,-38,-23,-47,-43,-18,9,1.147713325,Emilia-Romagna
2020-03-02,38,6.65,98.84078908,76,25,11,19,-25,-19,-38,-35,-20,11,1.117670692,Emilia-Romagna
2020-03-03,44,8.75,95.14735436,72,18,17,26,-18,-11,4,-30,-19,10,1.088215809,Emilia-Romagna
2020-03-04,63,8.75,84.52629396,55,21,NaN,29,-19,-11,24,-29,-19,9,1.056380934,Emilia-Romagna
2020-03-05,59,6,100,61,26,18,26,-27,-15,-25,-38,-21,13,1.027573751,Emilia-Romagna
2020-03-06,48,7.1,87.24820698,72,21,25,27,-27,-8,3,-33,-21,12,0.998707982,Emilia-Romagna
2020-03-07,53,11.25,58.81660562,68,25,30,22,-34,-10,33,-22,-18,8,0.969955823,Emilia-Romagna
2020-03-08,49,9.15,63.62170752,74,17,31,34,-51,-17,-4,-35,-22,9,0.943970196,Emilia-Romagna
2020-03-09,74,7,100,59,27,26,29,-43,-16,-32,-47,-30,17,0.921667008,Emilia-Romagna
2020-03-10,31,11,61.01680414,74,20,27,36,-48,-16,-14,-46,-35,19,0.898762395,Emilia-Romagna
2020-03-11,31,13.5,61.59499624,59,29,30,29,-55,-20,-22,-48,-40,20,0.87854847,Emilia-Romagna
2020-03-12,15,14,72.23467376,68,45,26,27,-70,-25,-43,-56,-46,25,0.861253378,Emilia-Romagna
2020-03-13,31,15.7,77.24453707,109,28,34,27,-75,-26,-44,-59,-52,29,0.844851325,Emilia-Romagna
2020-03-14,143,10,81.37382915,78,23,22,15,-83,-43,-68,-67,-57,25,0.829507229,Emilia-Romagna
2020-03-15,159,10.5,59.22854563,72,19,34,24,-88,-62,-72,-74,-53,21,0.815254086,Emilia-Romagna
2020-03-16,61,11.15,33.0115162,57,21,35,39,-74,-35,-45,-61,-57,27,0.803757912,Emilia-Romagna
2020-03-17,131,12.3,46.5774435,59,29,32,38,-75,-40,-44,-63,-59,29,0.795390522,Emilia-Romagna
2020-03-18,136,13.85,53.98040293,76,45,37,41,-77,-42,-49,-64,-61,30,0.787029699,Emilia-Romagna
2020-03-19,88,15.1,56.91778802,112,40,42,38,-78,-42,-53,-66,-62,32,0.780862842,Emilia-Romagna
2020-03-20,147,14,62.96717878,104,33,36,22,-80,-38,-63,-67,-62,33,0.774220356,Emilia-Romagna
2020-03-21,118,14.75,55.75400446,87,24,40,14,-87,-52,-75,-71,-61,26,0.769503417,Emilia-Romagna
2020-03-22,72,11,79.47087126,72,20,32,4,-95,-94,-85,-83,-65,24,0.766220919,Emilia-Romagna
2020-03-23,120,6.7,27.81325405,59,16,33,26,-78,-42,-66,-70,-67,32,0.762533473,Emilia-Romagna
2020-03-24,96,8,22.33384229,46,16,35,26,-80,-46,-59,-69,-68,34,0.760875727,Emilia-Romagna
2020-03-25,141,6.8,47.41028289,53,18,32,29,-83,-47,-67,-71,-71,35,0.758081589,Emilia-Romagna
2020-03-26,91,3.05,100,55,15,27,23,-84,-50,-67,-74,-72,37,0.756644824,Emilia-Romagna
2020-03-27,63,9,71.34785997,55,36,25,16,-84,-43,-69,-73,-72,38,0.754844481,Emilia-Romagna
2020-03-28,114,14,47.34124584,74,64,38,16,-88,-56,-76,-76,-65,27,0.75359377,Emilia-Romagna
2020-03-29,85,14.85,48.02998417,89,60,41,18,-95,-95,-83,-85,-63,24,0.752185061,Emilia-Romagna
2020-03-30,41,12,82.52256553,72,31,35,20,-82,-46,-69,-71,-70,33,0.750907982,Emilia-Romagna
2020-03-31,119,7.65,46.67357445,61,10,32,25,-91,-46,-62,-67,-70,35,0.750317672,Emilia-Romagna
2020-04-01,81,8,39.52115034,34,20,36,24,-91,-43,-63,-64,-70,34,0.749300162,Emilia-Romagna
2020-04-02,49,9.7,36.97408233,65,22,41,24,-91,-45,-59,-66,-70,35,0.748013177,Emilia-Romagna
2020-04-03,46,12.5,36.64075621,70,28,46,29,-87,-38,-62,-69,-69,36,0.747417049,Emilia-Romagna
2020-04-04,31,14,37.18784598,78,28,48,19,-90,-52,-74,-73,-63,26,0.745645673,Emilia-Romagna
2020-04-05,50,14.5,34.31046901,80,20,44,27,-96,-95,-82,-83,-63,24,0.74409604,Emilia-Romagna
2020-04-06,44,17,40.85915726,65,27,50,37,-84,-39,-59,-67,-64,31,0.741831712,Emilia-Romagna
2020-04-07,17,17.1,39.66147809,74,31,50,33,-83,-40,-53,-66,-65,32,0.739586126,Emilia-Romagna
2020-04-08,27,18,23.90309191,78,25,46,37,-84,-38,-59,-66,-64,32,0.73752932,Emilia-Romagna
2020-04-09,40,20.1,24.42613295,61,20,46,27,-83,-35,-57,-66,-64,32,0.733709243,Emilia-Romagna
2020-04-10,29,21.05,31.41842062,55,22,53,20,-83,-29,-60,-66,-64,34,0.730452849,Emilia-Romagna
2020-04-11,14,21.5,37.51114932,63,17,51,18,-89,-46,-74,-70,-61,25,0.725230907,Emilia-Romagna
2020-04-12,37,20.5,29.14617986,57,12,48,10,-96,-96,-84,-86,-66,24,0.720603902,Emilia-Romagna
2020-04-13,38,18.65,37.09148126,46,16,50,13,-96,-96,-71,-88,-90,43,0.716719066,Emilia-Romagna
2020-04-14,29,17.6,61.64416273,55,23,45,19,-81,-36,-57,-65,-60,30,0.712776769,Emilia-Romagna
2020-04-15,56,14,40.60595074,63,18,39,29,-81,-37,-61,-63,-60,31,0.70688529,Emilia-Romagna
2020-04-16,26,16.5,44.45781772,42,22,45,24,-79,-36,-57,-63,-59,31,0.702503082,Emilia-Romagna
2020-04-17,25,18.2,33.88013342,59,20,45,27,-79,-33,-59,-63,-58,32,0.699061789,Emilia-Romagna
2020-04-18,25,21,50.90330847,55,19,42,21,-86,-45,-71,-68,-56,24,0.694707746,Emilia-Romagna
2020-04-19,70,18.25,75.81138551,50,20,45,11,-94,-85,-82,-81,-57,23,0.690080922,Emilia-Romagna
2020-04-20,24,12.7,100,55,14,30,14,-79,-45,-69,-67,-57,29,0.686181079,Emilia-Romagna
2020-04-21,67,12.6,84.6256594,53,20,28,21,-78,-37,-59,-63,-56,29,0.682582789,Emilia-Romagna
2020-04-22,73,16.5,35.27112931,55,22,45,28,-78,-38,-58,-63,-55,29,0.67894537,Emilia-Romagna
2020-04-23,53,18,39.50985704,61,24,48,31,-77,-36,-54,-61,-55,29,0.677941578,Emilia-Romagna
2020-04-24,49,20,43.16023076,65,21,57,35,-77,-23,-52,-60,-55,30,0.676792136,Emilia-Romagna
2020-04-25,60,20.7,49.39415335,63,15,44,20,-94,-93,-73,-79,-72,29,0.676936056,Emilia-Romagna
2020-04-26,56,20.35,50.38783206,50,11,43,13,-91,-62,-78,-77,-51,21,0.677243957,Emilia-Romagna
2020-04-27,75,21,63.02949683,34,14,39,20,-73,-29,-52,-59,-52,25,0.677817913,Emilia-Romagna
2020-04-28,92,16.83333333,100,46,11,30,21,-75,-36,-54,-59,-53,28,0.67875515,Emilia-Romagna
2020-04-29,75,20.7,48.69386791,30,8,39,11,-75,-32,-52,-59,-52,27,0.680378648,Emilia-Romagna
2020-04-30,69,19,62.3979532,30,13,34,19,-72,-19,-50,-60,-52,26,0.681555584,Emilia-Romagna
2020-05-01,53,18.8,68.42912229,42,14,34,18,-94,-94,-66,-85,-87,45,0.682816677,Emilia-Romagna
2020-05-02,60,23.5,23.06440127,42,9,37,7,-82,-34,-65,-64,-51,23,0.686781237,Emilia-Romagna
2020-05-03,39,21,53.90153832,30,10,43,8,-91,-71,-74,-75,-47,21,0.690662494,Emilia-Romagna
2020-05-04,37,21.2,38.3631622,30,13,45,18,-57,-22,-9,-42,-41,17,0.696514346,Emilia-Romagna
2020-05-05,35,22,56.9082556,38,15,37,23,-60,-24,-10,-44,-42,19,0.702033298,Emilia-Romagna
2020-05-06,9,19.95,67.0541902,42,19,42,15,-60,-24,-21,-46,-41,19,0.708266865,Emilia-Romagna
2020-05-07,5,22,32.6493101,55,18,50,29,-61,-27,-3,-46,-41,20,0.714082686,Emilia-Romagna
2020-05-08,34,23.1,42.40885779,50,19,57,24,-62,-21,-8,-47,-41,21,0.720569859,Emilia-Romagna
2020-05-09,12,23.9,29.59324621,53,13,55,19,-65,-30,-22,-42,-39,15,0.727678595,Emilia-Romagna
2020-05-10,15,22.5,55.10867539,34,14,50,5,-74,-55,-35,-52,-30,13,0.736045515,Emilia-Romagna
2020-05-11,14,19,70.24910639,42,10,39,11,-56,-27,-35,-47,-38,18,0.743111432,Emilia-Romagna
2020-05-12,11,21.4,70.44152741,34,14,36,19,-56,-24,-17,-44,-37,19,0.752302835,Emilia-Romagna
2020-05-13,5,17,93.92748396,46,20,25,14,-59,-25,-38,-45,-38,19,0.761468631,Emilia-Romagna
2020-05-14,14,21.7,68.9269368,46,27,40,11,-56,-25,-11,-42,-37,18,0.771000793,Emilia-Romagna
2020-05-15,7,18.3,100,63,13,32,17,-58,-19,-26,-43,-38,20,0.781006258,Emilia-Romagna
2020-05-16,5,18.5,85.82704574,30,19,32,16,-63,-28,-36,-42,-33,15,0.792501843,Emilia-Romagna
2020-05-17,5,21.2,75.48048898,50,18,41,14,-69,-50,-31,-48,-25,12,0.803811388,Emilia-Romagna
2020-05-18,11,24,58.97318117,57,26,42,22,-35,-19,10,-33,-31,13,0.81484292,Emilia-Romagna
2020-05-19,3,20,94.08841125,65,24,32,19,-41,-19,-19,-39,-32,16,0.827775128,Emilia-Romagna
2020-05-20,11,23.5,54.97372629,61,18,48,18,-38,-15,6,-35,-31,14,0.842314515,Emilia-Romagna
2020-05-21,2,24,41.24751338,50,19,49,35,-38,-17,8,-35,-32,14,0.856833077,Emilia-Romagna
2020-05-22,6,25.45,50.40292915,53,23,64,23,-39,-12,9,-34,-31,15,0.871377242,Emilia-Romagna
2020-05-23,2,24.25,57.12711314,61,20,59,20,-42,-18,11,-24,-22,8,0.887285368,Emilia-Romagna
