date,daily_cases,med_temp,med_hum,pm25,pm10,o3,no2,retail,grocery,parks,transit,work,home,rt,region
2020-02-24,0,8.25,85.99353021,70,34,32,11,-1,31,36,-11,-12,4,1.809733852,Emilia-Romagna
2020-02-25,1,13.73333333,61.7642738,46,20,37,3,-8,0,33,-18,-12,5,1.756420531,Emilia-Romagna
2020-02-26,2,13,58.01342339,13,9,37,3,-18,-11,-15,-26,-13,8,1.697979874,Emilia-Romagna
2020-02-27,3,10,47.78591875,13,7,34,3,-11,-4,12,-26,-13,7,1.639061445,Emilia-Romagna
2020-02-28,3,9.733333333,38.71972079,13,16,33,8,-9,-2,24,-24,-13,6,1.570326689,Emilia-Romagna
2020-02-29,6,13.11666667,46.66758555,17,20,37,4,-17,0,25,-22,-16,6,1.504018835,Emilia-Romagna
2020-03-01,1,13,65.02022396,38,28,38,13,-28,-4,-30,-34,-8,6,1.44037887,Emilia-Romagna
2020-03-02,3,13.03333333,67.59025251,53,18,33,3,-12,-3,-20,-25,-11,5,1.37487183,Emilia-Romagna
2020-03-03,5,10.73333333,68.860133,13,16,34,10,-10,-6,-14,-26,-11,6,1.313378846,Emilia-Romagna
2020-03-04,9,8,86.15374388,13,21,23,8,-15,-7,-25,-29,-12,8,1.252115398,Emilia-Romagna
2020-03-05,35,9.35,73.34184904,17,14,30,6,-13,-2,0,-28,-11,7,1.194974647,Emilia-Romagna
2020-03-06,25,8.433333333,81.71027923,13,21,33,8,-15,2,1,-27,-12,7,1.139705045,Emilia-Romagna
2020-03-07,11,7.65,88.27652756,30,33,26,6,-28,3,-14,-37,-18,9,1.0908749,Emilia-Romagna
2020-03-08,9,6.366666667,66.21268688,55,20,35,4,-49,10,-7,-46,-17,9,1.04315458,Emilia-Romagna
2020-03-09,51,7.5,76.58179166,17,28,35,9,-39,-4,-28,-49,-23,13,0.999418531,Emilia-Romagna
2020-03-10,42,9.15,68.03291857,42,39,30,11,-47,-10,-32,-53,-29,17,0.956367398,Emilia-Romagna
2020-03-11,39,9.25,71.10463566,NaN,NaN,39,8,-53,-15,-24,-56,-35,19,0.921131022,Emilia-Romagna
2020-03-12,67,10.68333333,83.55186419,30,35,32,5,-69,-22,-60,-65,-44,24,0.888668512,Emilia-Romagna
2020-03-13,51,13,81.6191219,30,16,30,5,-75,-23,-71,-69,-50,28,0.859877295,Emilia-Romagna
2020-03-14,35,11.55,75.15024252,34,19,29,3,-85,-40,-85,-79,-61,28,0.836590364,Emilia-Romagna
2020-03-15,27,9.25,60.99232531,30,16,38,5,-91,-59,-86,-84,-60,24,0.815155836,Emilia-Romagna
2020-03-16,84,6.75,69.67657165,30,19,37,6,-74,-34,-71,-73,-54,26,0.797792778,Emilia-Romagna
2020-03-17,0,7.666666667,84.00208729,42,33,37,6,-77,-39,-71,-74,-57,28,0.782906876,Emilia-Romagna
2020-03-18,104,8.75,76.22332643,70,56,43,10,-79,-40,-76,-75,-58,30,0.769168084,Emilia-Romagna
2020-03-19,78,10.6,70.04229277,91,49,43,6,-80,-44,-81,-78,-61,31,0.759007822,Emilia-Romagna
2020-03-20,66,11.25,86.99256866,74,38,37,7,-80,-37,-83,-79,-62,33,0.749736411,Emilia-Romagna
2020-03-21,69,11.05,90.66750569,70,35,40,5,-88,-49,-91,-84,-66,30,0.742651775,Emilia-Romagna
2020-03-22,116,11.98333333,62.63918057,89,28,33,3,-97,-94,-96,-89,-71,27,0.736939636,Emilia-Romagna
2020-03-23,93,6,39.08255964,30,29,33,3,-82,-44,-86,-81,-72,33,0.732501386,Emilia-Romagna
2020-03-24,49,6.483333333,49.32361151,42,44,33,3,-84,-49,-87,-80,-73,34,0.730844019,Emilia-Romagna
2020-03-25,52,7,60.97218263,55,22,34,3,-87,-54,-88,-83,-76,36,0.729618381,Emilia-Romagna
2020-03-26,53,7.4,81.35984248,42,27,33,4,-87,-55,-89,-85,-76,37,0.728241549,Emilia-Romagna
2020-03-27,75,8,93.38541803,42,35,26,6,-86,-45,-89,-84,-75,38,0.727679678,Emilia-Romagna
2020-03-28,59,9.8,73.05082501,55,93,34,4,-89,-52,-90,-87,-69,31,0.727856778,Emilia-Romagna
2020-03-29,34,10.56666667,74.20261816,91,86,41,3,-96,-95,-94,-90,-71,27,0.726708772,Emilia-Romagna
2020-03-30,25,11,72.78771353,76,54,37,3,-84,-46,-83,-80,-71,32,0.726432865,Emilia-Romagna
