date,daily_cases,med_temp,med_hum,pm25,pm10,no2,retail,grocery,parks,transit,work,home,rt,region
2020-02-24,0,11.06666667,78.84002834,144,52,29,-12,27,52,-23,-18,7,1.818730393,Lombardia
2020-02-25,0,10,87.51706178,119,50,28,-15,4,4,-28,-18,9,1.798010782,Lombardia
2020-02-26,0,6.75,49.2636896,114,21,22,-18,-4,-2,-31,-19,9,1.774678389,Lombardia
2020-02-27,0,4.5,65.6373733,68,10,27,-14,-5,1,-36,-19,9,1.744962804,Lombardia
2020-02-28,3,7.35,27.47007407,38,14,40,-11,-1,63,-38,-21,8,1.710563081,Lombardia
2020-02-29,1,5.7,55.46277548,50,18,27,-21,-4,-27,-34,-19,8,1.67675229,Lombardia
2020-03-01,0,6,98.35856444,61,NaN,NaN,-22,-8,-14,-37,-11,5,1.639226929,Lombardia
2020-03-02,0,4.65,100,NaN,NaN,NaN,-24,-13,-55,-44,-17,10,1.600949261,Lombardia
2020-03-03,3,7.75,44.0828647,NaN,7,30,-6,1,43,-37,-16,7,1.558375911,Lombardia
2020-03-04,4,7.966666667,40.79457927,38,10,39,-8,1,72,-38,-15,7,1.51441058,Lombardia
2020-03-05,6,5.283333333,86.20871503,30,23,27,-16,-2,-35,-44,-17,9,1.475237741,Lombardia
2020-03-06,6,3.583333333,100,78,24,31,-14,3,26,-46,-17,9,1.431829971,Lombardia
2020-03-07,4,10.5,24.52213914,82,14,25,-18,1,82,-39,-17,6,1.389325243,Lombardia
2020-03-08,5,5.5,47.36399013,50,11,31,-43,-4,23,-51,-15,8,1.349807536,Lombardia
2020-03-09,12,6.85,74.62066928,38,22,27,-36,-6,-24,-62,-26,14,1.316161344,Lombardia
2020-03-10,6,7.616666667,58.35607273,70,8,22,-47,-9,-25,-65,-32,17,1.281100011,Lombardia
2020-03-11,25,12,76.45894581,25,17,38,-55,-15,-17,-71,-37,20,1.247812098,Lombardia
2020-03-12,23,12,90.38051775,59,24,26,-75,-29,-63,-77,-47,26,1.217528414,Lombardia
2020-03-13,27,12.5,87.64683375,70,24,25,-78,-28,-55,-81,-53,29,1.18668597,Lombardia
2020-03-14,33,10.5,91.86348844,72,17,16,-87,-50,-81,-84,-61,26,1.154748293,Lombardia
2020-03-15,26,8.55,76.23175763,57,16,13,-92,-66,-84,-88,-57,22,1.128554824,Lombardia
2020-03-16,18,8.75,71.28631151,55,21,26,-78,-38,-61,-84,-59,29,1.101161573,Lombardia
2020-03-17,32,8.5,72.31207859,65,25,26,-80,-40,-57,-83,-61,30,1.073351017,Lombardia
2020-03-18,31,10.75,62.3873744,74,28,31,-81,-43,-66,-84,-62,31,1.045795122,Lombardia
2020-03-19,45,11.5,60.23444482,85,20,31,-81,-44,-71,-86,-65,32,1.02215128,Lombardia
2020-03-20,28,11.5,68.29036087,68,30,25,-82,-40,-78,-87,-66,34,1.00137559,Lombardia
2020-03-21,21,11.25,61.31396376,80,21,22,-89,-59,-88,-89,-66,27,0.977635884,Lombardia
2020-03-22,27,10.86666667,70.38627772,76,30,7,-95,-86,-96,-93,-65,24,0.958165522,Lombardia
2020-03-23,35,5.066666667,48.77412189,87,19,12,-83,-49,-86,-89,-71,34,0.938788038,Lombardia
2020-03-24,29,5,45.3706789,53,20,23,-84,-51,-83,-87,-72,35,0.922475668,Lombardia
2020-03-25,18,4,60.21922191,53,20,17,-86,-52,-86,-88,-73,35,0.903880628,Lombardia
2020-03-26,34,5,64.06888347,61,23,19,-86,-52,-88,-89,-75,37,0.889332401,Lombardia
2020-03-27,209,9.75,65.17744273,76,24,18,-86,-49,-85,-89,-75,38,0.873782578,Lombardia
2020-03-28,57,11.75,59.53142318,76,58,27,-90,-63,-89,-90,-70,28,0.860436714,Lombardia
2020-03-29,44,13,57.8407093,80,60,19,-95,-84,-94,-93,-64,24,0.848512745,Lombardia
2020-03-30,54,9,90.39825135,78,11,15,-85,-53,-88,-90,-73,35,0.840086004,Lombardia
2020-03-31,27,5,70.08412104,50,12,14,-92,-50,-85,-87,-74,35,0.829240095,Lombardia
2020-04-01,44,4.8,63.22379968,38,18,25,-92,-48,-84,-88,-73,35,0.820478246,Lombardia
2020-04-02,65,6.25,61.74447723,61,27,34,-92,-48,-83,-88,-73,36,0.813537945,Lombardia
2020-04-03,83,9.25,53.14045816,85,30,40,-88,-46,-83,-89,-73,37,0.805548173,Lombardia
2020-04-04,63,10.75,56.68811177,93,33,18,-92,-61,-89,-90,-68,28,0.800173827,Lombardia
2020-04-05,43,13,41.27635353,97,21,13,-96,-82,-94,-93,-63,23,0.796127768,Lombardia
2020-04-06,102,13,46.91187195,76,21,12,-86,-47,-83,-89,-70,33,0.789354823,Lombardia
2020-04-07,33,14.5,39.97738382,74,21,11,-85,-45,-81,-87,-70,34,0.784117551,Lombardia
2020-04-08,22,14.75,39.065501,72,23,12,-85,-42,-82,-87,-69,33,0.779370758,Lombardia
