date,daily_cases,med_temp,med_hum,pm25,pm10,o3,no2,retail,grocery,parks,transit,work,home,rt,region
2020-02-24,0,9,85.3416359,104,49,21,33,-8,36,28,-15,-16,6,2.004555341,Emilia-Romagna
2020-02-25,0,11,80.80867172,109,43,18,34,-12,3,25,-22,-16,7,1.980527899,Emilia-Romagna
2020-02-26,0,8.8,44.02504106,89,17,29,28,-18,-7,-16,-29,-15,8,1.959591021,Emilia-Romagna
2020-02-27,0,9.75,36.88205871,42,4,28,19,-13,-3,-4,-28,-15,7,1.930839136,Emilia-Romagna
2020-02-28,0,8.483333333,32.36243616,13,13,28,40,-12,-4,4,-29,-15,7,1.902432932,Emilia-Romagna
2020-02-29,2,10,47.00131561,42,20,23,33,-15,0,-6,-22,-17,5,1.868248687,Emilia-Romagna
2020-03-01,0,7,87.24885993,55,33,22,18,-27,-4,-45,-39,-9,5,1.825326622,Emilia-Romagna
2020-03-02,1,10.75,79.36274706,82,16,24,32,-15,-2,-23,-31,-13,6,1.780730743,Emilia-Romagna
2020-03-03,3,7.683333333,87.33952994,38,9,17,26,-15,-5,-25,-31,-13,7,1.734940797,Emilia-Romagna
2020-03-04,5,7,77.30822528,21,16,19,33,-14,-1,-7,-30,-13,6,1.682715996,Emilia-Romagna
2020-03-05,8,8.933333333,75.57401634,42,20,15,44,-17,-2,-15,-32,-15,8,1.630535354,Emilia-Romagna
2020-03-06,22,7.866666667,85.81517664,46,21,22,37,-19,-1,-11,-34,-15,8,1.572660418,Emilia-Romagna
2020-03-07,8,8.75,83.65214527,59,31,22,42,-25,3,-20,-34,-20,8,1.515563224,Emilia-Romagna
2020-03-08,13,7.25,65.19305164,72,13,29,47,-36,0,15,-39,-13,5,1.454160193,Emilia-Romagna
2020-03-09,18,7.5,71.22473178,38,22,22,44,-33,-1,-16,-45,-21,11,1.396222567,Emilia-Romagna
2020-03-10,6,9.25,65.40249076,59,23,23,43,-45,-3,-23,-51,-28,16,1.334268748,Emilia-Romagna
2020-03-11,22,10.75,57.54596615,65,20,26,37,-51,-9,-19,-57,-33,19,1.27812187,Emilia-Romagna
2020-03-12,14,11,77.93388367,57,30,31,30,-68,-15,-54,-66,-42,24,1.225649651,Emilia-Romagna
2020-03-13,33,14,77.02542865,76,20,20,31,-74,-18,-65,-71,-49,29,1.17310164,Emilia-Romagna
2020-03-14,40,10.56666667,75.08548738,55,26,24,19,-85,-42,-78,-78,-59,26,1.123493242,Emilia-Romagna
2020-03-15,35,6.75,65.23282263,68,11,29,21,-90,-57,-73,-84,-54,21,1.077283079,Emilia-Romagna
2020-03-16,61,8,61.56766763,38,18,30,40,-74,-31,-61,-74,-55,28,1.033420962,Emilia-Romagna
2020-03-17,42,8.5,61.8142376,57,24,32,38,-77,-37,-65,-75,-58,31,0.99321685,Emilia-Romagna
2020-03-18,62,11.31666667,64.39453085,68,32,40,36,-79,-39,-69,-77,-59,31,0.958131488,Emilia-Romagna
2020-03-19,70,12.5,65.9774219,76,27,39,32,-79,-39,-74,-78,-61,33,0.926892627,Emilia-Romagna
2020-03-20,87,14.01666667,71.87771428,70,31,34,33,-80,-37,-77,-79,-62,34,0.894847167,Emilia-Romagna
2020-03-21,58,11.75,68.83221867,80,24,38,22,-87,-51,-85,-83,-64,28,0.868171246,Emilia-Romagna
2020-03-22,64,11,70.20968866,63,19,24,14,-96,-95,-91,-91,-64,24,0.846095801,Emilia-Romagna
2020-03-23,159,5.8,40.3589917,50,14,28,21,-80,-40,-78,-81,-68,34,0.82298753,Emilia-Romagna
2020-03-24,135,6.5,45.53286423,38,17,30,28,-81,-45,-79,-80,-68,35,0.802373698,Emilia-Romagna
2020-03-25,139,5.766666667,52.02619741,55,20,26,19,-83,-47,-83,-82,-70,36,0.784792922,Emilia-Romagna
2020-03-26,146,3.016666667,93.2727555,50,14,24,20,-86,-53,-86,-85,-74,39,0.770121133,Emilia-Romagna
2020-03-27,160,8,80.97841876,46,36,15,20,-84,-43,-83,-83,-72,39,0.757566845,Emilia-Romagna
2020-03-28,173,10.75,67.92097644,61,72,35,19,-88,-54,-85,-84,-67,28,0.745811119,Emilia-Romagna
2020-03-29,157,12,63.49889559,72,67,35,25,-96,-95,-89,-90,-65,24,0.735706663,Emilia-Romagna
