date,daily_cases,med_temp,med_hum,pm25,pm10,no2,retail,grocery,parks,transit,work,home,infections,rt,state
2020-02-24,0,9.25,90.96735105,99,51,29,-13,29,33,-22,-18,6,138.2647113,2.014256667,Lombardia
2020-02-25,0,9.7,94.16549694,132,61,31,-16,1,20,-25,-17,7,163.3378257,1.924510841,Lombardia
2020-02-26,2,7.85,46.3016347,153,43,27,-17,-8,9,-29,-16,8,189.726651,1.836612672,Lombardia
2020-02-27,8,6.95,40.62964159,104,15,32,-13,-7,22,-27,-15,7,217.9850559,1.746114987,Lombardia
2020-02-28,3,6.75,44.39045131,38,19,42,-13,-7,47,-24,-15,7,248.082667,1.649942879,Lombardia
2020-02-29,1,8,60.30539516,50,21,27,-21,-9,4,-23,-20,7,279.3092143,1.554977191,Lombardia
2020-03-01,35,6.9,93.75382646,53,NaN,NaN,-38,-18,-58,-37,-11,8,310.6785683,1.466070831,Lombardia
2020-03-02,11,6.833333333,92.18811483,NaN,NaN,NaN,-20,-12,-46,-37,-14,8,341.1834301,1.380198411,Lombardia
2020-03-03,26,6.725,88.6779641,NaN,21,23,-12,-5,-9,-30,-14,8,369.9548934,1.30175785,Lombardia
2020-03-04,41,6.95,86.52232839,63,16,29,-12,-5,44,-24,-15,7,396.1456806,1.226575022,Lombardia
2020-03-05,28,6.05,93.32824036,46,13,18,-18,-4,-21,-33,-16,9,419.0092958,1.155961282,Lombardia
2020-03-06,27,5.05,93.31350856,38,20,27,-22,-5,5,-31,-17,9,437.8875439,1.091031885,Lombardia
2020-03-07,231,7.55,85.12660571,63,25,24,-27,-7,31,-25,-21,8,452.2007614,1.032623446,Lombardia
2020-03-08,88,7.2,78.1889944,76,9,31,-52,-17,1,-28,-19,9,461.6246706,0.981995671,Lombardia
2020-03-09,238,7.975,88.95785419,30,20,27,-44,-10,-37,-50,-25,14,465.8002941,0.933949015,Lombardia
2020-03-10,51,7.65,77.05129071,61,33,29,-51,-11,-27,-53,-32,17,465.7603848,0.892255662,Lombardia
2020-03-11,561,9.4,81.98995043,82,29,27,-59,-18,-29,-57,-38,20,461.2350798,0.856052337,Lombardia
2020-03-12,247,11.3,88.92129705,74,50,28,-74,-27,-62,-67,-46,25,452.6527594,0.826853947,Lombardia
2020-03-13,186,12.1,88.94843108,117,25,29,-79,-29,-65,-71,-54,29,440.718305,0.799929413,Lombardia
2020-03-14,338,9.15,92.2158349,63,23,13,-87,-49,-84,-80,-64,28,426.1637415,0.777559289,Lombardia
2020-03-15,351,7.3,83.92589562,72,10,10,-92,-69,-83,-80,-56,23,409.590116,0.758856603,Lombardia
2020-03-16,445,7.4,82.29801544,46,18,23,-78,-36,-63,-73,-60,29,391.5310797,0.7430511,Lombardia
2020-03-17,382,9.1,80.85667511,59,32,37,-80,-42,-60,-73,-63,31,372.5243098,0.731308117,Lombardia
2020-03-18,484,9.65,84.52459211,89,40,38,-81,-44,-68,-75,-64,32,353.0387523,0.722476986,Lombardia
2020-03-19,463,10.675,80.41614724,99,30,31,-82,-44,-73,-77,-65,33,333.5010576,0.715089791,Lombardia
2020-03-20,401,12.65,82.8089237,78,39,33,-84,-40,-78,-78,-66,35,314.2755564,0.708316752,Lombardia
2020-03-21,380,11,91.7297895,93,34,13,-90,-58,-87,-83,-69,29,295.5869825,0.705634308,Lombardia
2020-03-22,289,10,66.57812297,91,20,6,-96,-90,-93,-87,-65,25,277.546167,0.702855185,Lombardia
2020-03-23,588,5.575,56.42591673,61,14,12,-84,-45,-81,-80,-73,34,260.297699,0.702637069,Lombardia
2020-03-24,393,7.175,51.30699928,38,15,10,-84,-49,-78,-80,-73,35,243.9447569,0.702011004,Lombardia
2020-03-25,299,5.6,59.30827811,46,14,10,-86,-52,-81,-81,-75,37,228.5340979,0.70288545,Lombardia
2020-03-26,334,5.55,79.1062921,46,21,16,-87,-52,-82,-82,-77,38,214.0664167,0.705225849,Lombardia
2020-03-27,374,9.85,81.27671734,61,31,19,-87,-48,-83,-82,-77,40,200.5217422,0.707831628,Lombardia
2020-03-28,373,11.1,74.80782618,70,69,28,-91,-62,-89,-84,-72,30,187.9003866,0.711308398,Lombardia
2020-03-29,335,13.175,67.64070293,117,62,10,-96,-91,-93,-87,-65,25,176.1796738,0.714798057,Lombardia
2020-03-30,200,11.45,84.07824227,107,29,7,-85,-48,-80,-80,-75,35,165.3135051,0.720072069,Lombardia
2020-03-31,154,5.65,71.33154551,63,10,11,-93,-49,-78,-79,-75,36,155.2489209,0.724218939,Lombardia
2020-04-01,231,5.95,65.73191755,34,15,11,-93,-48,-78,-78,-74,37,145.9520643,0.729229016,Lombardia
2020-04-02,159,6.975,68.6999744,50,20,10,-93,-47,-78,-78,-75,37,137.3734432,0.733731199,Lombardia
2020-04-03,257,9.2,69.82566081,61,30,16,-89,-45,-79,-79,-74,39,129.448908,0.739035119,Lombardia
2020-04-04,166,10.6,69.40074833,85,32,40,-92,-59,-87,-82,-70,29,122.1217448,0.741778804,Lombardia
2020-04-05,160,13.5,64.67193832,87,20,15,-96,-90,-92,-86,-64,25,115.3442587,0.745744489,Lombardia
2020-04-06,137,14.05,59.87271195,63,21,18,-87,-44,-75,-77,-69,33,109.0491489,0.749920794,Lombardia
2020-04-07,117,11.7,56.69978942,63,27,22,-85,-43,-75,-77,-69,34,103.183317,0.75481197,Lombardia
2020-04-08,315,13.075,60.65648356,68,21,30,-85,-43,-76,-77,-69,34,97.72410869,0.759412917,Lombardia
2020-04-09,213,12.7,64.35910512,57,25,28,-85,-37,-77,-76,-69,34,92.65195367,0.76500914,Lombardia
2020-04-10,247,13.85,62.31489557,63,25,36,-85,-32,-79,-76,-70,36,87.93941191,0.769351888,Lombardia
2020-04-11,230,14.875,64.53740653,65,21,27,-90,-52,-88,-81,-68,28,83.56623783,0.77274912,Lombardia
2020-04-12,269,16.25,57.59942887,57,14,6,-97,-96,-93,-88,-66,25,79.5043392,0.775794578,Lombardia
2020-04-13,190,17.675,57.59433664,46,15,8,-96,-88,-86,-90,-91,42,75.71342343,0.779081539,Lombardia
2020-04-14,35,14.425,82.69245174,50,23,12,-84,-43,-73,-75,-63,31,72.15977588,0.781711604,Lombardia
2020-04-15,94,11.55,79.23961514,57,19,7,-84,-41,-75,-74,-62,32,68.82345371,0.784829552,Lombardia
2020-04-16,168,13.15,71.746368,50,22,15,-82,-40,-75,-74,-61,32,65.68661343,0.788210643,Lombardia
2020-04-17,212,14.45,69.74314901,57,25,27,-83,-38,-76,-74,-61,33,62.73424584,0.789727316,Lombardia
2020-04-18,191,16.375,74.65679747,59,21,36,-89,-53,-86,-79,-63,28,59.9566004,0.791877088,Lombardia
2020-04-19,188,17.6,79.36624862,46,26,32,-96,-88,-92,-85,-58,24,57.33409422,0.793156887,Lombardia
2020-04-20,58,14.75,91.15472915,55,14,4,-82,-44,-77,-75,-58,29,54.85028684,0.795901985,Lombardia
2020-04-21,74,12.75,78.34616702,38,20,10,-81,-42,-71,-73,-58,29,52.49367522,0.796132968,Lombardia
2020-04-22,100,14,53.81486301,57,17,11,-81,-43,-73,-71,-57,29,50.26053194,0.797004545,Lombardia
2020-04-23,130,14.925,61.00236464,46,26,14,-81,-39,-73,-71,-57,30,48.13881036,0.79807979,Lombardia
2020-04-24,167,17.3,55.04579418,61,30,37,-82,-31,-75,-73,-57,31,46.11448964,0.800241399,Lombardia
2020-04-25,65,18,58.34629778,68,19,12,-93,-70,-87,-83,-72,29,44.18377533,0.800707962,Lombardia
2020-04-26,24,16.8,59.83145807,50,12,18,-95,-85,-91,-84,-56,23,42.34878341,0.802604174,Lombardia
2020-04-27,35,17.35,71.5966579,38,19,22,-78,-34,-71,-70,-53,27,40.60306582,0.804285659,Lombardia
2020-04-28,92,16.1,84.31336044,46,15,11,-79,-39,-71,-71,-54,28,38.9412365,0.806422975,Lombardia
2020-04-29,115,14.91666667,85.93144204,38,6,8,-80,-39,-74,-72,-54,29,37.36182642,0.810521125,Lombardia
2020-04-30,55,16.2,72.33920729,9,10,10,-77,-24,-73,-70,-54,27,35.86319444,0.81349749,Lombardia
2020-05-01,68,15.1,81.42076522,30,9,10,-94,-83,-82,-86,-87,45,34.44925459,0.816672357,Lombardia
2020-05-02,70,18.05,56.61427793,21,10,33,-84,-42,-83,-75,-60,26,33.11788679,0.820452081,Lombardia
