date,daily_cases,med_temp,med_hum,pm25,pm10,o3,no2,retail,grocery,parks,transit,work,home,rt,region
2020-02-24,0,11.06666667,78.84002834,137,56,29,40,-10,16,48,-22,-18,7,2.050187333,Lombardia
2020-02-25,0,10,87.51706178,149,51,29,32,-15,-6,1,-30,-18,9,2.018080306,Lombardia
2020-02-26,0,6.75,49.2636896,147,21,33,28,-16,-14,7,-30,-17,9,1.983693441,Lombardia
2020-02-27,0,4.5,65.6373733,65,7,32,42,-13,-10,9,-30,-17,9,1.944379374,Lombardia
2020-02-28,0,7.35,27.47007407,25,18,35,44,-11,-8,46,-21,-18,9,1.898824168,Lombardia
2020-02-29,1,5.7,55.46277548,61,21,24,31,-21,-12,-30,-27,-17,8,1.845527416,Lombardia
2020-03-01,1,6,98.35856444,63,NaN,NaN,NaN,-26,-22,-23,-26,-12,6,1.7913273,Lombardia
2020-03-02,0,4.65,100,NaN,NaN,NaN,NaN,-21,-19,-46,-40,-16,9,1.736463876,Lombardia
2020-03-03,2,7.75,44.0828647,NaN,8,30,32,-7,-8,20,-26,-14,7,1.676584119,Lombardia
2020-03-04,1,7.966666667,40.79457927,17,15,35,31,-6,-8,75,-20,-15,6,1.615483153,Lombardia
2020-03-05,6,5.283333333,86.20871503,38,50,20,26,-15,-10,-25,-35,-15,9,1.55086978,Lombardia
2020-03-06,0,3.583333333,100,127,30,19,29,-15,-7,7,-30,-16,9,1.48809191,Lombardia
2020-03-07,12,10.5,24.52213914,104,18,37,28,-16,-9,63,-8,-16,6,1.427698337,Lombardia
2020-03-08,4,5.5,47.36399013,57,16,38,27,-38,-21,34,-16,-14,7,1.365479308,Lombardia
2020-03-09,13,6.85,74.62066928,57,26,26,28,-35,-14,-21,-46,-24,13,1.304971396,Lombardia
2020-03-10,6,7.616666667,58.35607273,78,18,30,32,-45,-16,-26,-51,-30,17,1.249499958,Lombardia
2020-03-11,31,12,76.45894581,59,12,30,29,-52,-22,-13,-53,-37,20,1.196740169,Lombardia
2020-03-12,21,12,90.38051775,38,27,24,26,-72,-33,-62,-67,-46,26,1.144989619,Lombardia
2020-03-13,20,12.5,87.64683375,65,30,34,26,-76,-35,-55,-68,-53,29,1.098438069,Lombardia
2020-03-14,36,10.5,91.86348844,68,25,26,9,-86,-57,-84,-78,-63,27,1.055076359,Lombardia
2020-03-15,30,8.55,76.23175763,63,24,28,12,-91,-73,-83,-81,-58,22,1.017442636,Lombardia
2020-03-16,36,8.75,71.28631151,72,24,34,22,-77,-44,-59,-74,-60,30,0.981563445,Lombardia
2020-03-17,36,8.5,72.31207859,63,37,34,26,-78,-49,-59,-76,-62,31,0.952868138,Lombardia
2020-03-18,30,10.75,62.3873744,91,33,43,20,-81,-51,-64,-78,-64,32,0.923470128,Lombardia
2020-03-19,52,11.5,60.23444482,85,25,45,23,-80,-50,-73,-80,-67,34,0.898819612,Lombardia
2020-03-20,42,11.5,68.29036087,65,26,47,23,-82,-47,-74,-79,-68,36,0.875708198,Lombardia
2020-03-21,72,11.25,61.31396376,76,22,47,14,-89,-65,-86,-82,-68,28,0.855271406,Lombardia
2020-03-22,60,10.86666667,70.38627772,59,31,37,9,-95,-87,-93,-88,-66,24,0.839363359,Lombardia
2020-03-23,69,5.066666667,48.77412189,85,27,30,13,-83,-54,-80,-83,-74,36,0.824659079,Lombardia
2020-03-24,54,5,45.3706789,68,22,36,18,-84,-56,-78,-82,-75,36,0.813587642,Lombardia
2020-03-25,71,4,60.21922191,70,21,32,15,-85,-58,-78,-83,-76,38,0.802188917,Lombardia
2020-03-26,56,5,64.06888347,65,26,30,10,-86,-57,-84,-84,-78,39,0.792686538,Lombardia
2020-03-27,54,9.75,65.17744273,72,24,36,12,-85,-54,-79,-83,-77,40,0.785262631,Lombardia
2020-03-28,87,11.75,59.53142318,59,59,40,14,-90,-69,-87,-83,-71,29,0.777802615,Lombardia
2020-03-29,111,13,57.8407093,89,54,44,12,-95,-88,-91,-87,-65,24,0.770995303,Lombardia
2020-03-30,47,9,90.39825135,57,16,34,11,-84,-57,-79,-83,-76,37,0.76744383,Lombardia
2020-03-31,40,5,70.08412104,42,11,30,8,-92,-55,-75,-82,-76,37,0.761852853,Lombardia
2020-04-01,56,4.8,63.22379968,38,28,33,17,-92,-53,-73,-81,-76,37,0.757479686,Lombardia
2020-04-02,48,6.25,61.74447723,76,30,40,16,-91,-53,-77,-82,-75,38,0.754910134,Lombardia
2020-04-03,51,9.25,53.14045816,87,37,43,18,-87,-52,-75,-81,-75,40,0.754421058,Lombardia
2020-04-04,63,10.75,56.68811177,97,35,57,15,-91,-66,-85,-82,-70,29,0.752636601,Lombardia
2020-04-05,65,13,41.27635353,97,26,45,9,-96,-86,-91,-87,-64,24,0.751342289,Lombardia
2020-04-06,89,13,46.91187195,76,25,53,20,-85,-52,-71,-81,-72,35,0.749436492,Lombardia
2020-04-07,52,14.5,39.97738382,74,30,56,20,-83,-52,-71,-80,-73,36,0.746396431,Lombardia
2020-04-08,17,14.75,39.065501,85,30,62,20,-83,-49,-73,-81,-72,35,0.745737429,Lombardia
2020-04-09,63,14.5,42.60782484,85,23,60,18,-82,-46,-77,-81,-72,36,0.746612481,Lombardia
2020-04-10,81,15.75,39.55498266,72,21,55,21,-83,-43,-74,-79,-74,38,0.746354524,Lombardia
2020-04-11,139,18.5,27.99982209,65,52,61,12,-89,-62,-85,-81,-70,28,0.746777109,Lombardia
