date,daily_cases,med_temp,med_hum,pm25,pm10,no2,retail,grocery,parks,transit,work,home,rt,region
2020-02-24,0,13,82.31470256,132,46,16,-28,1,7,-33,-26,10,1.594405972,Lombardia
2020-02-25,53,12.2,90.80953781,107,66,13,-30,-10,2,-33,-25,11,1.526894249,Lombardia
2020-02-26,4,12,11.92882592,156,40,NaN,-30,-16,-19,-37,-23,12,1.460509814,Lombardia
2020-02-27,34,10.5,26.11143266,91,11,NaN,-24,-11,6,-34,-22,11,1.39445907,Lombardia
2020-02-28,32,11.3,13.52799203,34,35,NaN,-21,-10,28,-32,-22,11,1.331145195,Lombardia
2020-02-29,13,9,57.3611161,46,55,NaN,-30,-12,-14,-24,-19,8,1.267715088,Lombardia
2020-03-01,78,7,100,68,NaN,NaN,-42,-25,-54,-35,-16,9,1.21174762,Lombardia
2020-03-02,9,6.65,98.84078908,NaN,NaN,NaN,-26,-16,-46,-44,-20,10,1.156202468,Lombardia
2020-03-03,64,8.75,95.14735436,NaN,17,NaN,-17,-6,-8,-35,-19,9,1.104644225,Lombardia
2020-03-04,46,8.75,84.52629396,53,20,NaN,-19,-5,16,-30,-20,9,1.05827629,Lombardia
2020-03-05,73,6,100,65,22,NaN,-25,-8,-36,-41,-20,11,1.01560907,Lombardia
2020-03-06,46,7.1,87.24820698,55,20,NaN,-26,-7,-9,-36,-21,11,0.973224025,Lombardia
2020-03-07,110,11.25,58.81660562,61,37,NaN,-37,-11,19,-20,-21,9,0.939116383,Lombardia
2020-03-08,103,9.15,63.62170752,91,13,NaN,-54,-24,-4,-19,-21,10,0.907156416,Lombardia
2020-03-09,251,7,100,55,30,NaN,-41,-13,-41,-47,-27,14,0.879516466,Lombardia
2020-03-10,41,11,61.01680414,72,24,NaN,-48,-11,-30,-47,-33,17,0.852733524,Lombardia
2020-03-11,104,13.5,61.59499624,63,26,25,-55,-16,-35,-51,-38,19,0.829647951,Lombardia
2020-03-12,241,14,72.23467376,65,51,16,-71,-23,-54,-63,-45,23,0.812196703,Lombardia
2020-03-13,42,15.7,77.24453707,119,29,14,-75,-26,-56,-64,-50,26,0.795073462,Lombardia
2020-03-14,221,10,81.37382915,72,30,10,-84,-44,-72,-69,-56,24,0.780593399,Lombardia
2020-03-15,227,10.5,59.22854563,80,14,14,-90,-65,-70,-69,-51,20,0.769633379,Lombardia
2020-03-16,89,11.15,33.0115162,50,22,32,-74,-34,-55,-66,-53,25,0.761075144,Lombardia
2020-03-17,192,12.3,46.5774435,63,30,33,-77,-35,-53,-66,-55,26,0.752170981,Lombardia
2020-03-18,94,13.85,53.98040293,76,50,37,-79,-39,-67,-70,-56,28,0.746211689,Lombardia
2020-03-19,119,15.1,56.91778802,114,51,36,-78,-38,-64,-71,-58,28,0.741594163,Lombardia
2020-03-20,106,14,62.96717878,104,50,22,-80,-33,-72,-70,-59,30,0.738107813,Lombardia
2020-03-21,341,14.75,55.75400446,102,30,14,-87,-52,-82,-72,-61,25,0.73469224,Lombardia
2020-03-22,162,11,79.47087126,85,24,4,-95,-85,-89,-83,-58,23,0.73341568,Lombardia
2020-03-23,30,6.7,27.81325405,61,14,7,-81,-41,-78,-75,-66,30,0.731891251,Lombardia
2020-03-24,136,8,22.33384229,42,19,13,-81,-42,-76,-75,-66,31,0.731084955,Lombardia
2020-03-25,95,6.8,47.41028289,61,17,16,-83,-46,-81,-76,-67,32,0.730458537,Lombardia
2020-03-26,214,3.05,100,53,16,15,-83,-45,-83,-77,-70,33,0.730283001,Lombardia
2020-03-27,126,9,71.34785997,53,38,13,-83,-41,-78,-77,-70,35,0.731797045,Lombardia
2020-03-28,109,14,47.34124584,70,52,9,-88,-58,-84,-75,-64,26,0.733583126,Lombardia
2020-03-29,157,14.85,48.02998417,82,57,10,-95,-87,-89,-82,-59,23,0.733840239,Lombardia
2020-03-30,26,12,82.52256553,85,28,12,-81,-44,-78,-75,-67,31,0.734040414,Lombardia
2020-03-31,81,7.65,46.67357445,72,10,15,-92,-44,-72,-70,-67,31,0.736595832,Lombardia
2020-04-01,72,8,39.52115034,34,21,17,-92,-42,-76,-69,-67,32,0.737032213,Lombardia
2020-04-02,33,9.7,36.97408233,70,28,19,-91,-42,-73,-70,-67,32,0.738781257,Lombardia
