date,daily_cases,med_temp,med_hum,pm25,pm10,no2,retail,grocery,parks,transit,work,home,rt,region
2020-02-24,0,11.5,96.1600689,55,24,31,-1,31,25,1,-1,1,1.73289172,Toscana
2020-02-25,1,11.2,95.79810278,55,21,24,-5,14,14,-7,-1,2,1.717739411,Toscana
2020-02-26,1,12.6,83.18229559,57,19,18,-14,-3,-20,-16,-1,3,1.695612472,Toscana
2020-02-27,0,7.2,91.82502654,34,11,27,-15,-6,-22,-15,-2,4,1.66892908,Toscana
2020-02-28,6,8.35,63.40202116,25,14,35,-8,0,8,-12,-1,2,1.636603371,Toscana
2020-02-29,0,8.95,77.46588284,42,23,33,-11,-3,8,-10,0,1,1.605629703,Toscana
2020-03-01,0,11.65,94.21267464,61,18,10,-27,-10,-51,-31,-5,5,1.56967217,Toscana
2020-03-02,0,11.8,95.54396494,30,NaN,NaN,-16,-2,-32,-15,-1,3,1.53368842,Toscana
2020-03-03,3,9.45,96.38222813,NaN,NaN,23,-14,-4,-34,-15,-1,3,1.493770351,Toscana
2020-03-04,5,6,90.11551933,21,11,25,-9,3,-13,-12,0,1,1.446958661,Toscana
2020-03-05,8,8.45,92.3682796,30,12,30,-16,1,-28,-26,-14,7,1.397240861,Toscana
2020-03-06,3,10.7,93.31966664,42,12,29,-18,1,-17,-29,-15,8,1.34982196,Toscana
2020-03-07,4,9.6,86.10599586,25,9,20,-24,-1,-2,-26,-17,6,1.298587741,Toscana
2020-03-08,12,9.7,73.54225645,25,14,23,-35,-8,14,-27,-11,4,1.24724825,Toscana
2020-03-09,12,9.45,87.03152003,50,17,27,-33,0,-38,-40,-20,11,1.19768093,Toscana
2020-03-10,10,10.1,82.01686391,53,16,33,-48,-8,-36,-48,-29,16,1.147213214,Toscana
2020-03-11,10,8.8,91.06182246,50,20,33,-55,-18,-32,-56,-37,20,1.10492603,Toscana
2020-03-12,15,10.7,98.71104644,57,31,26,-73,-25,-73,-66,-46,27,1.062545603,Toscana
2020-03-13,15,11.9,95.60855365,78,19,20,-76,-30,-70,-70,-53,30,1.025683262,Toscana
2020-03-14,31,12.5,77.2012322,53,15,9,-86,-50,-75,-75,-60,25,0.988901932,Toscana
2020-03-15,30,11.25,58.48542565,53,8,3,-92,-66,-80,-82,-59,23,0.955037219,Toscana
2020-03-16,24,10.9,58.60816384,25,11,22,-76,-38,-71,-73,-57,28,0.924282166,Toscana
2020-03-17,28,10.8,80.01075131,34,20,23,-78,-44,-76,-75,-60,30,0.897051918,Toscana
2020-03-18,81,14.85,68.42534157,59,20,13,-80,-46,-79,-76,-61,32,0.871188972,Toscana
2020-03-19,54,13.2,74.46359312,59,19,17,-80,-45,-80,-78,-62,33,0.850036131,Toscana
2020-03-20,52,13,83.89260823,59,26,18,-81,-46,-81,-78,-63,34,0.830491744,Toscana
2020-03-21,50,11.75,89.92688239,72,21,16,-88,-59,-85,-81,-64,27,0.811500674,Toscana
2020-03-22,63,12.4,69.05258564,65,16,8,-96,-85,-92,-88,-64,25,0.796216254,Toscana
2020-03-23,34,6.9,42.87773278,53,10,7,-81,-49,-85,-80,-69,34,0.782498573,Toscana
2020-03-24,74,5.45,56.37384279,25,10,17,-83,-52,-86,-80,-70,35,0.771739971,Toscana
2020-03-25,87,5,79.44898978,42,10,3,-85,-55,-87,-83,-72,37,0.762641041,Toscana
2020-03-26,55,7.1,69.47618347,34,10,2,-86,-55,-88,-84,-74,39,0.753818632,Toscana
2020-03-27,0,10.35,76.1760144,34,25,3,-85,-52,-86,-83,-74,39,0.745006177,Toscana
2020-03-28,91,12.3,68.91415866,53,NaN,19,-88,-61,-86,-82,-67,28,0.737277372,Toscana
2020-03-29,102,12.5,81.97857972,99,NaN,10,-95,-85,-90,-87,-66,25,0.72932202,Toscana
2020-03-30,65,11.8,89.9656189,70,25,15,-83,-50,-83,-80,-71,35,0.721230879,Toscana
2020-03-31,65,9.05,66.03828308,53,7,5,-92,-52,-85,-79,-73,36,0.713991367,Toscana
2020-04-01,71,7.8,42.36713679,21,12,5,-91,-49,-83,-78,-72,36,0.707824121,Toscana
2020-04-02,261,8.35,56.48785331,42,12,16,-91,-49,-82,-78,-72,37,0.703542462,Toscana
2020-04-03,124,10.7,57.00090449,42,13,17,-87,-48,-83,-80,-71,38,0.69795889,Toscana
2020-04-04,83,14.45,51.3762041,50,16,26,-91,-59,-86,-80,-66,28,0.692539621,Toscana
2020-04-05,89,14.9,47.1105491,53,15,7,-96,-84,-90,-87,-66,25,0.687947602,Toscana
2020-04-06,54,16.6,48.35685322,50,22,6,-85,-46,-81,-78,-69,33,0.683909049,Toscana
2020-04-07,36,16.8,36.86171499,63,21,14,-84,-48,-82,-78,-70,34,0.678314608,Toscana
2020-04-08,66,16.7,39.95416317,61,18,12,-84,-46,-82,-78,-70,35,0.673804856,Toscana
2020-04-09,90,13.85,48.89444701,53,18,17,-83,-41,-81,-77,-69,35,0.670298215,Toscana
2020-04-10,108,14.4,51.00273187,55,21,NaN,-83,-39,-80,-78,-70,36,0.665868506,Toscana
2020-04-11,85,13.95,60.48713326,NaN,18,NaN,-88,-55,-83,-79,-64,27,0.660657113,Toscana
2020-04-12,105,14.5,62.63666004,NaN,14,9,-97,-96,-91,-89,-69,26,0.657493457,Toscana
2020-04-13,10,13.1,68.84943787,53,15,10,-96,-95,-88,-91,-92,43,0.654503931,Toscana
2020-04-14,42,13.55,69.46213517,55,12,6,-82,-46,-81,-76,-68,33,0.651522203,Toscana
2020-04-15,61,12.75,51.37594687,42,9,3,-82,-45,-80,-76,-67,34,0.649076447,Toscana
2020-04-16,71,10.7,65.02025207,25,12,14,-82,-44,-80,-76,-67,35,0.646842225,Toscana
2020-04-17,51,14.9,81.01360388,38,18,12,-82,-44,-80,-77,-66,36,0.645654713,Toscana
2020-04-18,69,15.35,93.7520332,42,20,7,-87,-54,-83,-78,-60,26,0.646054985,Toscana
2020-04-19,46,16.85,95.63306757,53,24,4,-95,-81,-89,-86,-60,24,0.644867999,Toscana
2020-04-20,44,15.85,97.81856134,57,10,5,-82,-46,-85,-79,-65,33,0.645666906,Toscana
2020-04-21,51,13.45,87.51452167,30,10,2,-82,-45,-84,-78,-66,33,0.647138995,Toscana
2020-04-22,56,15.6,63.90524726,34,14,4,-81,-43,-82,-76,-64,33,0.648536325,Toscana
2020-04-23,35,16.9,59.03624117,46,18,6,-80,-38,-77,-74,-64,33,0.650703291,Toscana
2020-04-24,54,13.6,74.94158275,55,20,16,-77,-32,-75,-74,-64,33,0.65436875,Toscana
2020-04-25,75,15.25,73.35170515,59,12,5,-95,-94,-83,-84,-76,30,0.658762333,Toscana
2020-04-26,79,15.7,84.40151946,46,10,5,-91,-62,-84,-81,-52,23,0.662306909,Toscana
2020-04-27,8,16.6,88.06966849,38,10,7,-74,-33,-73,-72,-60,29,0.66657699,Toscana
2020-04-28,28,15.4,97.50835079,34,10,5,-79,-41,-81,-75,-62,32,0.670603708,Toscana
2020-04-29,40,15.9,91.70711277,25,15,4,-78,-37,-78,-74,-60,31,0.67665872,Toscana
2020-04-30,41,16.9,85.6371852,25,13,5,-74,-28,-75,-72,-60,31,0.682353051,Toscana
2020-05-01,36,17.3,92.71684837,25,13,3,-92,-91,-65,-83,-89,44,0.689155605,Toscana
2020-05-02,37,17.35,92.04361502,21,15,3,-78,-40,-58,-68,-52,23,0.69557847,Toscana
2020-05-03,17,19.1,62.93348539,25,8,4,-86,-61,-55,-70,-46,20,0.701467096,Toscana
