date,daily_cases,med_temp,med_hum,pm25,pm10,o3,no2,retail,grocery,parks,transit,work,home,infections,rt,state
2020-02-24,0,11.75,72.76027212,117,39,28,13,-32,-10,-13,-69,-43,17,56.22706396,1.204262229,Lombardia
2020-02-25,125,11,81.63078781,97,59,21,35,-37,-26,-21,-73,-43,19,58.72705039,1.172462758,Lombardia
2020-02-26,3,8.733333333,32.60943922,152,28,33,22,-38,-30,-18,-72,-42,19,61.02361132,1.140090155,Lombardia
2020-02-27,31,8,39.40478956,74,13,31,42,-31,-25,-5,-70,-42,19,63.07083382,1.109233293,Lombardia
2020-02-28,23,9.25,23.66866369,25,12,36,44,-28,-25,-5,-68,-41,18,64.83187828,1.078883451,Lombardia
2020-02-29,55,7,48.65854746,38,30,23,33,-37,-29,-25,-69,-32,12,66.2793403,1.049856858,Lombardia
2020-03-01,107,6.5,93.38541803,80,NaN,NaN,NaN,-44,-50,-46,-69,-24,11,67.39439012,1.022691921,Lombardia
2020-03-02,40,5.066666667,96.65496492,NaN,NaN,NaN,NaN,-34,-33,-56,-71,-38,18,68.16489302,0.998250322,Lombardia
2020-03-03,98,7.45,84.34583157,NaN,20,15,20,-23,-17,-19,-70,-36,16,68.59135095,0.974284469,Lombardia
2020-03-04,77,7.9,69.11199863,63,20,29,20,-24,-20,16,-65,-36,15,68.68937927,0.952388992,Lombardia
2020-03-05,99,6.1,81.79419869,63,21,24,17,-31,-22,-40,-70,-38,18,68.47133575,0.934023479,Lombardia
2020-03-06,81,6.116666667,85.70701063,65,20,26,21,-29,-24,-24,-69,-37,18,67.79676075,0.916534403,Lombardia
2020-03-07,72,8.1,75.48936082,70,25,33,20,-37,-28,16,-61,-32,11,67.04896276,0.901591101,Lombardia
2020-03-08,42,8.25,62.87723161,78,20,35,31,-48,-48,2,-61,-26,10,66.02897117,0.887555269,Lombardia
2020-03-09,75,8.5,69.83046449,68,27,26,29,-36,-30,-45,-71,-37,18,64.78342896,0.876125716,Lombardia
2020-03-10,35,10.1,61.1448308,82,22,30,39,-41,-25,-31,-72,-39,19,63.37804924,0.865269847,Lombardia
2020-03-11,72,11.75,69.23783211,78,24,32,29,-45,-28,-18,-74,-42,21,61.84726846,0.856584463,Lombardia
2020-03-12,88,13.06666667,81.52105541,63,42,25,26,-66,-33,-49,-78,-49,26,60.2128708,0.849692801,Lombardia
2020-03-13,10,14.73333333,76.30066992,109,17,38,23,-70,-36,-55,-80,-53,28,58.50134273,0.843622877,Lombardia
2020-03-14,143,11,81.86227923,61,23,24,11,-79,-50,-64,-82,-57,24,56.74367626,0.838128112,Lombardia
2020-03-15,44,8,80.363481,72,16,32,14,-84,-74,-58,-80,-51,20,54.96207148,0.83588119,Lombardia
2020-03-16,42,9,65.31887919,65,25,35,18,-67,-39,-49,-80,-56,27,53.1712706,0.835069264,Lombardia
2020-03-17,56,9.75,70.2241182,76,40,38,23,-71,-43,-54,-81,-58,28,51.39642132,0.83471503,Lombardia
2020-03-18,27,11.25,71.40724149,102,54,43,30,-74,-45,-55,-81,-59,29,49.66368059,0.833922407,Lombardia
2020-03-19,83,13,62.81819219,132,48,43,27,-73,-44,-58,-83,-61,30,47.98419102,0.837637489,Lombardia
2020-03-20,69,12,72.04736894,124,51,34,27,-75,-42,-68,-83,-61,32,46.35828141,0.839087144,Lombardia
2020-03-21,96,13.5,63.9712421,124,35,42,22,-83,-54,-68,-84,-62,25,44.8016723,0.841187638,Lombardia
2020-03-22,79,11,59.43852816,87,23,33,6,-93,-88,-83,-88,-60,22,43.32111196,0.844109622,Lombardia
2020-03-23,45,6,45.88956762,70,13,31,11,-76,-47,-74,-87,-67,32,41.90913307,0.848193176,Lombardia
