date,daily_cases,med_temp,med_hum,pm25,pm10,o3,no2,retail,grocery,parks,transit,work,home,infections,rt,state
2020-02-24,0,9,85.3416359,144,56,27,26,-9,36,30,-22,-13,6,20.18156317,1.897597521,Emilia-Romagna
2020-02-25,3,11,80.80867172,134,53,23,35,-13,0,33,-26,-14,7,23.14400177,1.875876131,Emilia-Romagna
2020-02-26,5,8.8,44.02504106,102,25,28,27,-19,-8,-12,-33,-14,8,26.49672643,1.848027477,Emilia-Romagna
2020-02-27,10,9.75,36.88205871,50,9,28,35,-14,-8,2,-31,-14,7,30.25898638,1.815950224,Emilia-Romagna
2020-02-28,0,8.483333333,32.36243616,13,19,28,39,-13,-4,21,-27,-14,7,34.44652533,1.77899257,Emilia-Romagna
2020-02-29,4,10,47.00131561,50,34,20,30,-12,-2,0,-27,-15,5,39.06506895,1.737055265,Emilia-Romagna
2020-03-01,2,7,87.24885993,87,26,16,22,-28,-2,-45,-38,-8,7,44.10639186,1.690038053,Emilia-Romagna
2020-03-02,5,10.75,79.36274706,74,16,20,25,-14,-6,-19,-32,-11,6,49.54381993,1.639497667,Emilia-Romagna
2020-03-03,4,7.683333333,87.33952994,38,10,13,28,-15,-7,-25,-37,-13,7,55.32606493,1.581594679,Emilia-Romagna
2020-03-04,8,7,77.30822528,21,18,21,27,-12,-4,21,-31,-12,6,61.3785357,1.523406249,Emilia-Romagna
2020-03-05,4,8.933333333,75.57401634,46,24,17,28,-16,-6,-14,-34,-13,7,67.58642155,1.46237016,Emilia-Romagna
2020-03-06,28,7.866666667,85.81517664,57,21,23,27,-17,0,-5,-34,-13,8,73.78545892,1.403159668,Emilia-Romagna
2020-03-07,9,8.75,83.65214527,57,31,24,33,-18,1,6,-30,-16,7,79.91772294,1.343396382,Emilia-Romagna
2020-03-08,15,7.25,65.19305164,76,20,32,33,-43,1,35,-36,-13,8,85.78523754,1.287676887,Emilia-Romagna
2020-03-09,19,7.5,71.22473178,57,30,21,25,-38,-9,-16,-52,-22,13,91.25221689,1.232219101,Emilia-Romagna
2020-03-10,11,9.25,65.40249076,78,30,21,38,-44,-10,-10,-53,-26,16,96.20945123,1.179688853,Emilia-Romagna
2020-03-11,36,10.75,57.54596615,72,23,28,30,-49,-13,1,-55,-30,17,100.540745,1.125944172,Emilia-Romagna
2020-03-12,27,11,77.93388367,61,50,30,25,-67,-19,-44,-64,-36,22,104.1377922,1.079382455,Emilia-Romagna
2020-03-13,61,14,77.02542865,109,43,29,31,-72,-16,-52,-67,-43,26,106.8953712,1.036356359,Emilia-Romagna
2020-03-14,55,10.56666667,75.08548738,91,28,22,6,-83,-42,-74,-76,-57,25,108.7733472,0.997623982,Emilia-Romagna
2020-03-15,61,6.75,65.23282263,68,15,31,11,-89,-61,-58,-80,-53,22,109.7941601,0.959101741,Emilia-Romagna
2020-03-16,73,8,61.56766763,42,23,33,37,-72,-31,-44,-70,-49,25,109.9899488,0.926720287,Emilia-Romagna
2020-03-17,20,8.5,61.8142376,70,32,35,38,-75,-36,-55,-71,-53,28,109.3780694,0.895240492,Emilia-Romagna
2020-03-18,115,11.31666667,64.39453085,78,41,39,40,-76,-38,-61,-73,-53,29,108.0175402,0.866447473,Emilia-Romagna
2020-03-19,88,12.5,65.9774219,95,30,39,32,-77,-39,-73,-74,-55,30,105.9864864,0.841928502,Emilia-Romagna
2020-03-20,104,14.01666667,71.87771428,76,41,33,27,-78,-31,-78,-74,-56,32,103.3569292,0.819362262,Emilia-Romagna
2020-03-21,139,11.75,68.83221867,93,26,39,14,-86,-51,-87,-80,-62,27,100.231037,0.800331555,Emilia-Romagna
2020-03-22,104,11,70.20968866,61,18,30,3,-96,-95,-91,-88,-63,24,96.70998043,0.783435292,Emilia-Romagna
2020-03-23,145,5.8,40.3589917,46,13,32,29,-79,-39,-77,-77,-64,32,92.88979219,0.768823317,Emilia-Romagna
2020-03-24,199,6.5,45.53286423,38,15,32,20,-80,-43,-80,-77,-65,33,88.86312673,0.754559531,Emilia-Romagna
2020-03-25,179,5.766666667,52.02619741,50,17,29,11,-82,-46,-83,-79,-67,35,84.70739004,0.740257435,Emilia-Romagna
2020-03-26,143,3.016666667,93.2727555,55,12,26,15,-86,-53,-88,-82,-73,39,80.47632827,0.72968955,Emilia-Romagna
2020-03-27,96,8,80.97841876,46,30,17,14,-83,-39,-84,-81,-71,39,76.20418197,0.720052578,Emilia-Romagna
2020-03-28,150,10.75,67.92097644,63,68,37,14,-87,-55,-88,-83,-68,28,71.94487292,0.712168999,Emilia-Romagna
2020-03-29,172,12,63.49889559,76,55,41,10,-96,-95,-89,-88,-65,25,67.75610673,0.705369671,Emilia-Romagna
2020-03-30,43,8.85,78.98613692,61,52,37,17,-81,-45,-77,-78,-69,34,63.67746472,0.698693648,Emilia-Romagna
2020-03-31,85,5.916666667,57.42525791,55,11,37,10,-90,-43,-77,-77,-70,36,59.73672312,0.695395508,Emilia-Romagna
2020-04-01,75,4.5,54.59598639,25,17,39,17,-89,-41,-77,-76,-69,36,55.94890201,0.690755492,Emilia-Romagna
2020-04-02,119,7.25,52.08572697,55,19,44,22,-89,-42,-77,-76,-69,36,52.33614187,0.687740047,Emilia-Romagna
2020-04-03,82,9,56.67409102,63,24,48,24,-85,-35,-79,-78,-69,37,48.90736213,0.684647244,Emilia-Romagna
2020-04-04,53,9,58.6709031,72,26,49,20,-89,-52,-86,-82,-65,27,45.6613678,0.680848611,Emilia-Romagna
2020-04-05,58,10.75,52.41602651,72,22,43,21,-96,-95,-88,-87,-64,25,42.59626735,0.678835983,Emilia-Romagna
2020-04-06,82,12.25,50.80927555,61,29,48,22,-82,-38,-73,-77,-65,32,39.70295713,0.676968309,Emilia-Romagna
2020-04-07,67,15.43333333,43.2351757,74,27,47,22,-81,-37,-74,-77,-66,34,36.97826663,0.676421494,Emilia-Romagna
2020-04-08,53,15.16666667,32.537801,72,19,45,22,-81,-35,-75,-75,-65,33,34.42236915,0.674245406,Emilia-Romagna
2020-04-09,56,12.46666667,39.93555679,53,18,48,19,-80,-32,-79,-75,-65,34,32.03290027,0.67257276,Emilia-Romagna
2020-04-10,63,15.75,41.13642217,57,19,55,18,-79,-23,-78,-74,-66,35,29.79817951,0.67114907,Emilia-Romagna
2020-04-11,81,16.25,40.66948724,57,19,57,10,-86,-47,-85,-80,-64,27,27.70564234,0.669723663,Emilia-Romagna
2020-04-12,76,19,24.19173651,57,15,50,6,-96,-95,-89,-89,-67,25,25.74893618,0.670069813,Emilia-Romagna
2020-04-13,45,17.5,35.88858957,42,15,48,8,-96,-96,-80,-90,-92,44,23.92189828,0.66837409,Emilia-Romagna
2020-04-14,48,14.1,57.58684016,42,20,43,15,-79,-38,-75,-74,-61,31,22.22099346,0.667312354,Emilia-Romagna
2020-04-15,37,9.5,59.85396159,42,17,41,17,-78,-35,-75,-74,-60,32,20.63750081,0.665504574,Emilia-Romagna
