date,daily_cases,med_temp,med_hum,pm25,pm10,o3,no2,so2,retail,grocery,parks,transit,work,home,infections,rt,state
2020-02-24,0,11.75,72.76027212,117,53,30,40,3,-18,26,38,-41,-21,9,28.40972035,1.967097143,Lombardia
2020-02-25,3,11,81.63078781,124,54,23,47,2,-19,4,12,-46,-22,11,32.88544978,1.928834017,Lombardia
2020-02-26,1,8.733333333,32.60943922,112,33,37,39,2,-20,-8,26,-47,-22,11,37.94524262,1.886313136,Lombardia
2020-02-27,1,8,39.40478956,95,7,31,47,3,-15,-3,24,-44,-22,10,43.59717106,1.840001087,Lombardia
2020-02-28,1,9.25,23.66866369,30,13,40,51,3,-13,-3,68,-40,-23,10,49.84732926,1.79022588,Lombardia
2020-02-29,0,7,48.65854746,55,28,26,41,11,-25,-9,-5,-30,-20,8,56.68665248,1.734070127,Lombardia
2020-03-01,0,6.5,93.38541803,78,NaN,NaN,NaN,NaN,-32,-15,-31,-32,-13,6,64.08156172,1.672790913,Lombardia
2020-03-02,2,5.066666667,96.65496492,NaN,NaN,NaN,NaN,NaN,-23,-13,-62,-47,-19,10,71.95183992,1.610431336,Lombardia
2020-03-03,1,7.45,84.34583157,NaN,20,19,39,3,-7,3,30,-37,-18,8,80.17172324,1.547416618,Lombardia
2020-03-04,2,7.9,69.11199863,70,24,33,44,3,-9,2,113,-39,-18,8,88.59962856,1.484849176,Lombardia
2020-03-05,8,6.1,81.79419869,72,22,25,36,3,-17,1,-22,-42,-19,10,97.08291705,1.423435153,Lombardia
2020-03-06,1,6.116666667,85.70701063,65,27,28,43,2,-15,-1,21,-42,-21,10,105.4047082,1.363625803,Lombardia
2020-03-07,41,8.1,75.48936082,85,29,41,38,7,-23,-6,115,-27,-18,6,113.4915599,1.30185194,Lombardia
2020-03-08,0,8.25,62.87723161,80,13,39,40,3,-50,-16,49,-35,-18,8,121.0865324,1.24413501,Lombardia
2020-03-09,5,8.5,69.83046449,63,28,34,38,2,-37,-8,-35,-58,-30,16,127.9806911,1.19001225,Lombardia
2020-03-10,1,10.1,61.1448308,85,31,30,45,3,-47,-8,-27,-64,-36,20,134.0059484,1.138342165,Lombardia
2020-03-11,20,11.75,69.23783211,89,25,35,39,4,-54,-15,-33,-69,-42,23,139.0450825,1.09268119,Lombardia
2020-03-12,45,13.06666667,81.52105541,72,NaN,21,32,2,-72,-26,-72,-77,-52,28,143.0020375,1.050300933,Lombardia
2020-03-13,13,14.73333333,76.30066992,NaN,NaN,35,34,2,-76,-32,-66,-78,-58,32,145.8430912,1.011018646,Lombardia
2020-03-14,81,11,81.86227923,NaN,26,30,25,2,-87,-52,-83,-79,-64,27,147.5788493,0.974669337,Lombardia
2020-03-15,103,8,80.363481,72,20,33,24,2,-91,-67,-85,-81,-58,22,148.2262288,0.940707234,Lombardia
2020-03-16,19,9,65.31887919,85,21,35,32,2,-76,-37,-74,-81,-63,31,147.8226356,0.912139082,Lombardia
2020-03-17,30,9.75,70.2241182,70,37,37,35,4,-78,-40,-73,-83,-65,33,146.4263246,0.886451926,Lombardia
2020-03-18,25,11.25,71.40724149,97,43,45,36,2,-80,-44,-72,-85,-66,34,144.150409,0.863669457,Lombardia
2020-03-19,94,13,62.81819219,107,38,47,35,3,-81,-43,-80,-84,-68,35,141.1335918,0.842133311,Lombardia
2020-03-20,321,12,72.04736894,89,44,44,35,2,-82,-44,-80,-84,-68,36,137.4960321,0.824804137,Lombardia
2020-03-21,268,13.5,63.9712421,99,26,50,23,2,-89,-62,-88,-83,-69,27,133.3305239,0.809765189,Lombardia
