date,daily_cases,med_temp,med_hum,pm25,pm10,no2,retail,grocery,parks,transit,work,home,infections,rt,state
2020-02-24,0,13.98333333,74.46267926,81,27,23,-1,16,2,-6,-15,3,19.30797857,1.579276034,Campagnia
2020-02-25,0,13,79.5593672,46,25,18,0,-2,18,-7,-19,4,21.40154638,1.566721494,Campagnia
2020-02-26,0,13.5,65.24225194,46,29,11,-11,-8,-10,-11,-12,4,23.5356189,1.555181213,Campagnia
2020-02-27,3,10.51666667,47.23936652,37,17,14,-6,-3,-3,-15,-16,5,25.76666221,1.537083986,Campagnia
2020-02-28,1,13.03333333,51.94931112,31,23,12,-5,-2,-6,-16,-15,5,28.18286119,1.5198447,Campagnia
2020-02-29,9,11.5,62.53819147,37,20,21,-3,1,7,-6,-8,1,30.7810504,1.497832814,Campagnia
2020-03-01,4,14.98333333,75.70219684,37,33,17,-13,-6,-21,-16,-1,2,33.53734657,1.475076148,Campagnia
2020-03-02,0,15,78.51524185,53,40,19,-9,-3,-15,-11,-2,2,36.43425582,1.452809479,Campagnia
2020-03-03,13,12,65.78357246,46,34,23,-6,-3,-14,-12,-2,2,39.45609838,1.426948146,Campagnia
2020-03-04,0,11,75.10608046,39,25,23,-5,1,-6,-9,-1,1,42.59044952,1.398508205,Campagnia
2020-03-05,0,11.98333333,68.24249721,38,22,22,-7,2,-3,-19,-15,5,45.81029031,1.369143141,Campagnia
2020-03-06,0,13,74.2616698,48,32,23,-15,-3,-25,-27,-17,7,49.07346317,1.339203609,Campagnia
2020-03-07,0,10,76.41945418,41,21,21,-22,1,-28,-29,-12,6,52.33887265,1.307949729,Campagnia
2020-03-08,28,9.7,69.5189673,38,19,16,-31,-10,-18,-30,-7,5,55.56767361,1.272353917,Campagnia
2020-03-09,10,10.51666667,62.38831158,47,29,24,-29,-2,-26,-39,-25,9,58.65467189,1.23408716,Campagnia
2020-03-10,6,11.5,60.83930228,59,28,17,-45,-6,-46,-53,-35,15,61.66015616,1.197197527,Campagnia
2020-03-11,35,11.75,76.08651768,57,39,26,-56,-21,-53,-62,-43,18,64.40835225,1.160295937,Campagnia
2020-03-12,13,12.75,83.54811732,79,36,23,-71,-30,-69,-71,-53,23,66.84570317,1.120476304,Campagnia
2020-03-13,31,12,82.16759276,66,39,25,-76,-36,-75,-75,-59,27,68.94530271,1.081169312,Campagnia
2020-03-14,31,12.36666667,90.6002461,69,33,15,-84,-47,-84,-80,-61,24,70.64480072,1.044829914,Campagnia
2020-03-15,17,12.35,47.36511141,67,21,5,-92,-66,-90,-86,-64,22,71.88254798,1.009846455,Campagnia
2020-03-16,31,12,50.68498924,49,22,14,-79,-47,-80,-81,-64,27,72.64072992,0.974568379,Campagnia
2020-03-17,39,12,70.73086701,51,25,12,-79,-48,-80,-81,-67,28,72.92239072,0.939521944,Campagnia
2020-03-18,0,12.75,60.79167963,60,31,19,-80,-48,-81,-82,-67,28,72.71988831,0.905402567,Campagnia
2020-03-19,100,13.43333333,68.81781487,74,36,26,-81,-50,-83,-83,-69,30,72.02264201,0.871399777,Campagnia
2020-03-20,58,12.75,71.21202378,80,40,19,-82,-47,-84,-83,-69,31,70.83690603,0.841744341,Campagnia
2020-03-21,47,13.5,75.29283911,98,37,19,-85,-53,-87,-84,-66,25,69.18388678,0.812861352,Campagnia
2020-03-22,41,14.25,50.87748239,85,35,9,-95,-83,-93,-90,-70,23,67.11772448,0.783656754,Campagnia
2020-03-23,39,9.35,43.99220867,89,27,3,-83,-56,-86,-85,-72,30,64.7006144,0.756491857,Campagnia
2020-03-24,45,5.125,41.04347146,47,12,4,-83,-54,-85,-85,-73,30,61.97396443,0.732907292,Campagnia
2020-03-25,38,6,62.11892517,38,12,5,-85,-58,-87,-86,-74,31,58.98530388,0.711493292,Campagnia
2020-03-26,39,11,76.80527398,32,10,6,-86,-60,-88,-87,-75,33,55.80754924,0.692294614,Campagnia
2020-03-27,69,10,87.51706178,21,15,14,-83,-50,-86,-85,-73,33,52.51708258,0.675632643,Campagnia
2020-03-28,93,11.03333333,74.30452812,42,11,10,-86,-55,-87,-84,-68,26,49.17858092,0.659973135,Campagnia
2020-03-29,71,12.8,76.31406556,35,19,10,-94,-81,-93,-90,-69,23,45.84923967,0.645581276,Campagnia
2020-03-30,93,12.5,86.41323972,63,39,10,-83,-54,-84,-84,-72,30,42.57178698,0.633024218,Campagnia
2020-03-31,62,10.33333333,80.88205173,69,43,10,-92,-50,-82,-83,-73,30,39.37735143,0.622318764,Campagnia
2020-04-01,108,7.25,38.97547114,64,8,2,-92,-48,-81,-82,-72,30,36.29491356,0.609385423,Campagnia
2020-04-02,118,9.75,48.03061893,27,16,6,-92,-48,-82,-83,-72,31,33.34942451,0.600499985,Campagnia
2020-04-03,149,10.5,55.00682276,47,32,7,-86,-44,-82,-83,-72,32,30.54768875,0.592025165,Campagnia
2020-04-04,70,13.5,34.8188768,68,15,2,-89,-52,-86,-83,-66,26,27.89903439,0.585313047,Campagnia
2020-04-05,34,15.5,35.6677219,47,18,2,-95,-78,-92,-89,-68,23,25.4166121,0.579620496,Campagnia
2020-04-06,36,16.31666667,46.3154347,56,24,8,-85,-50,-82,-83,-70,29,23.10617327,0.575489578,Campagnia
2020-04-07,75,18.5,31.19950147,59,26,10,-83,-44,-80,-82,-71,29,20.96861382,0.573413596,Campagnia
2020-04-08,25,14.6,41.94603748,68,27,11,-83,-41,-80,-81,-70,29,19.00221101,0.572369478,Campagnia
2020-04-09,31,14.25,60.75728881,71,36,20,-82,-36,-80,-80,-70,29,17.20407441,0.57164374,Campagnia
2020-04-10,73,14,74.53649498,85,37,23,-82,-36,-81,-81,-71,31,15.568438,0.572089681,Campagnia
2020-04-11,37,14.6,81.96767314,86,34,14,-87,-49,-84,-81,-65,25,14.0852916,0.572758726,Campagnia
2020-04-12,62,14.2,91.99790595,86,28,9,-97,-96,-94,-92,-74,24,12.74316574,0.575054726,Campagnia
2020-04-13,61,15,85.71497195,68,25,8,-97,-95,-92,-94,-92,37,11.5305154,0.577834029,Campagnia
2020-04-14,78,14.73333333,64.59811864,70,26,10,-85,-54,-82,-82,-70,29,10.43747758,0.581095929,Campagnia
2020-04-15,16,12,37.58716345,63,22,3,-84,-49,-81,-81,-69,29,9.454600968,0.587106643,Campagnia
2020-04-16,46,13.25,54.87718351,37,15,10,-83,-46,-81,-81,-68,30,8.571725999,0.591760348,Campagnia
2020-04-17,37,15.25,74.45094997,34,25,15,-82,-40,-81,-81,-68,30,7.780907711,0.599000939,Campagnia
2020-04-18,21,16,78.57351009,50,23,10,-86,-47,-85,-81,-62,25,7.07354911,0.606216436,Campagnia
2020-04-19,29,18,69.90078515,49,27,10,-95,-79,-91,-88,-65,23,6.441386156,0.613354618,Campagnia
2020-04-20,22,16,91.90078694,45,26,10,-83,-54,-84,-83,-67,28,5.877114358,0.620632457,Campagnia
2020-04-21,46,15.65,86.58421745,48,23,13,-81,-44,-80,-80,-67,28,5.373022138,0.630762097,Campagnia
2020-04-22,36,15,93.77870428,43,14,12,-84,-53,-84,-82,-68,29,4.921962211,0.640594936,Campagnia
2020-04-23,53,15.25,62.31441681,34,11,4,-81,-40,-80,-80,-66,29,4.519187911,0.649218931,Campagnia
2020-04-24,18,15,71.8780436,38,16,9,-78,-28,-77,-78,-64,28,4.160217228,0.659610161,Campagnia
2020-04-25,19,14.98333333,83.13572101,47,17,9,-90,-66,-87,-85,-70,27,3.839438212,0.669566941,Campagnia
2020-04-26,22,15.81666667,64.56748969,46,15,8,-96,-93,-91,-89,-66,23,3.552325689,0.680490971,Campagnia
2020-04-27,14,16.1,74.68943144,35,15,12,-75,-37,-75,-77,-61,25,3.295332411,0.691851583,Campagnia
2020-04-28,16,16.7,82.51649415,36,30,22,-77,-39,-76,-77,-62,26,3.065238226,0.701622268,Campagnia
2020-04-29,11,16.9,81.40687652,53,21,9,-77,-37,-74,-75,-61,26,2.859343379,0.712174184,Campagnia
2020-04-30,7,16.93333333,75.50004639,35,21,9,-72,-22,-71,-74,-60,25,2.674589669,0.724097199,Campagnia
2020-05-01,20,17,77.50151269,34,16,6,-94,-92,-85,-90,-86,38,2.508286251,0.735395518,Campagnia
2020-05-02,11,17.68333333,82.61188001,28,25,7,-78,-31,-75,-73,-51,22,2.358801044,0.746487943,Campagnia
2020-05-03,14,17.25,75.09239314,33,20,5,-90,-69,-82,-82,-51,20,2.2245299,0.75576211,Campagnia
2020-05-04,5,17.85,48.54196166,27,10,6,-60,-26,-48,-60,-47,18,2.103615833,0.766649931,Campagnia
2020-05-05,13,17.11666667,71.43454785,23,20,19,-59,-24,-45,-60,-49,18,1.994138178,0.776235728,Campagnia
