date,daily_cases,med_temp,med_hum,pm25,pm10,o3,no2,retail,grocery,parks,transit,work,home,infections,rt1,rt2,state
2020-02-24,0,8.25,85.9935302110664,70,34,32,11,-1,31,36,-11,-12,4,19.7938346489685,1.8097338524362,NaN,Emilia-Romagna
2020-02-25,1,13.7333333333333,61.7642737989189,46,20,37,3,-8,0,33,-18,-12,5,22.5557084301124,1.75642053086533,NaN,Emilia-Romagna
2020-02-26,2,13,58.0134233929501,13,9,37,3,-18,-11,-15,-26,-13,8,25.5588370066693,1.69797987442587,NaN,Emilia-Romagna
2020-02-27,3,10,47.7859187527107,13,7,34,3,-11,-4,12,-26,-13,7,28.7743343030066,1.63906144523358,NaN,Emilia-Romagna
2020-02-28,3,9.73333333333333,38.7197207926829,13,16,33,8,-9,-2,24,-24,-13,6,32.1619878500274,1.57032668928975,NaN,Emilia-Romagna
2020-02-29,6,13.1166666666667,46.6675855476033,17,20,37,4,-17,0,25,-22,-16,6,35.6712082345556,1.50401883538813,1.58948485004261,Emilia-Romagna
2020-03-01,1,13,65.0202239584145,38,28,38,13,-28,-4,-30,-34,-8,6,39.2208742237354,1.44037887048045,1.54848640046351,Emilia-Romagna
2020-03-02,3,13.0333333333333,67.5902525076671,53,18,33,3,-12,-3,-20,-25,-11,5,42.7234972846866,1.37487182973845,1.50572201747931,Emilia-Romagna
2020-03-03,5,10.7333333333333,68.8601330037678,13,16,34,10,-10,-6,-14,-26,-11,6,46.1094083419255,1.31337884584251,1.45061248509161,Emilia-Romagna
2020-03-04,9,8,86.1537438825339,13,21,23,8,-15,-7,-25,-29,-12,8,49.2954286852237,1.25211539812579,1.41696908689307,Emilia-Romagna
2020-03-05,35,9.35,73.3418490357253,17,14,30,6,-13,-2,0,-28,-11,7,52.1986796517577,1.19497464740354,1.37091960486675,Emilia-Romagna
2020-03-06,25,8.43333333333333,81.710279229527,13,21,33,8,-15,2,1,-27,-12,7,54.708100383344,1.13970504479295,1.32215403524632,Emilia-Romagna
2020-03-07,11,7.65,88.2765275576743,30,33,26,6,-28,3,-14,-37,-18,9,56.8352491401676,1.09087489992477,1.28912713336498,Emilia-Romagna
2020-03-08,9,6.36666666666667,66.2126868755197,55,20,35,4,-49,10,-7,-46,-17,9,58.4783901465445,1.04315458043147,1.25661354634356,Emilia-Romagna
2020-03-09,51,7.5,76.5817916620103,17,28,35,9,-39,-4,-28,-49,-23,13,59.6252095414889,0.999418531067973,1.21483928702481,Emilia-Romagna
2020-03-10,42,9.15,68.0329185668679,42,39,30,11,-47,-10,-32,-53,-29,17,60.2764592708795,0.95636739810286,1.19327100023795,Emilia-Romagna
2020-03-11,39,9.25,71.1046356574977,NaN,NaN,39,8,-53,-15,-24,-56,-35,19,60.4275878470425,0.921131021684964,1.16816311069088,Emilia-Romagna
2020-03-12,67,10.6833333333333,83.5518641872631,30,35,32,5,-69,-22,-60,-65,-44,24,60.0807818304091,0.888668511747703,1.1561250620503,Emilia-Romagna
2020-03-13,51,13,81.6191218981948,30,16,30,5,-75,-23,-71,-69,-50,28,59.2810266758718,0.859877295487449,1.13410860013211,Emilia-Romagna
2020-03-14,35,11.55,75.150242522601,34,19,29,3,-85,-40,-85,-79,-61,28,58.0936308698855,0.836590363579205,1.10326604048006,Emilia-Romagna
2020-03-15,27,9.25,60.9923253100294,30,16,38,5,-91,-59,-86,-84,-60,24,56.5750859213539,0.815155835589801,1.07475120161237,Emilia-Romagna
2020-03-16,84,6.75,69.6765716483244,30,19,37,6,-74,-34,-71,-73,-54,26,54.7937337637236,0.797792778494965,1.03434076393096,Emilia-Romagna
2020-03-17,0,7.66666666666667,84.0020872857231,42,33,37,6,-77,-39,-71,-74,-57,28,52.8133613589989,0.782906876386758,0.982631849357595,Emilia-Romagna
