date,daily_cases,med_temp,med_hum,pm25,pm10,o3,no2,retail,grocery,parks,transit,work,home,rt,region
2020-02-24,0,16.5,63.50069854,70,24,15,8,0,18,19,-4,-3,1,1.70994517,Lazio
2020-02-25,3,16,61.44630594,57,17,20,NaN,-1,8,9,-7,-2,1,1.687848637,Lazio
2020-02-26,0,15,67.57614853,38,20,24,1,-9,-3,-6,-10,0,2,1.660574774,Lazio
2020-02-27,0,12,40.28163421,46,10,22,3,-5,0,0,-9,1,2,1.630742303,Lazio
2020-02-28,0,15.5,29.12009043,17,13,24,1,-5,0,4,-8,1,1,1.595769327,Lazio
2020-02-29,3,14.5,53.17873627,30,14,20,5,-4,0,7,-7,0,0,1.558410845,Lazio
2020-03-01,0,15,67.76965953,34,22,24,1,-21,-7,-41,-22,-4,3,1.515648774,Lazio
2020-03-02,1,14.75,77.09877308,30,NaN,NaN,NaN,-14,-7,-30,-13,0,2,1.47577101,Lazio
2020-03-03,7,12.5,58.57459232,NaN,22,22,5,-8,0,-24,-13,0,2,1.431887372,Lazio
2020-03-04,15,13,54.7690434,34,10,19,4,-6,3,-9,-11,1,1,1.38682688,Lazio
2020-03-05,13,13.5,41.37164941,25,9,18,5,-11,5,-8,-22,-15,6,1.340279879,Lazio
2020-03-06,7,14.5,69.81897366,25,17,24,NaN,-18,2,-16,-25,-16,8,1.29099481,Lazio
2020-03-07,22,14,67.38033621,21,10,19,4,-20,3,-4,-23,-7,4,1.246903357,Lazio
2020-03-08,6,15,40.39581793,30,7,23,1,-26,3,12,-29,-9,3,1.202749666,Lazio
2020-03-09,14,13.5,51.33584258,21,10,21,5,-30,2,-26,-39,-26,11,1.162866092,Lazio
2020-03-10,0,16,38.90819967,30,11,24,2,-46,-2,-39,-53,-38,18,1.122485484,Lazio
2020-03-11,23,17,45.55592014,38,20,18,5,-55,-15,-39,-61,-46,22,1.085680005,Lazio
2020-03-12,63,16.5,59.72161451,53,16,18,5,-74,-25,-64,-70,-57,29,1.049949816,Lazio
2020-03-13,56,13,91.20110913,53,22,15,6,-79,-32,-71,-75,-63,32,1.013396897,Lazio
2020-03-14,70,14,82.28567971,57,20,16,4,-85,-43,-80,-77,-57,25,0.980036298,Lazio
2020-03-15,66,17.5,52.09517281,46,15,22,2,-91,-55,-82,-82,-57,22,0.952030715,Lazio
2020-03-16,58,15.5,48.64162958,53,18,22,3,-78,-39,-76,-79,-67,31,0.923188859,Lazio
2020-03-17,74,16,55.62039168,55,25,19,4,-80,-43,-79,-81,-70,33,0.896892033,Lazio
2020-03-18,104,18,50.25353575,65,28,20,4,-82,-47,-79,-82,-70,33,0.871113675,Lazio
2020-03-19,88,18.5,39.87043663,76,30,24,4,-82,-46,-81,-82,-71,34,0.847200035,Lazio
2020-03-20,77,18,38.5743336,82,27,23,3,-82,-45,-82,-82,-70,35,0.825908003,Lazio
2020-03-21,138,16.5,46.7798436,78,34,21,4,-87,-54,-87,-81,-62,26,0.80814193,Lazio
2020-03-22,156,18,51.84457758,85,33,23,4,-94,-76,-91,-87,-64,24,0.793082559,Lazio
2020-03-23,122,11,29.92659689,82,20,25,1,-81,-48,-85,-84,-73,34,0.7778712,Lazio
2020-03-24,116,8.5,46.08876506,68,12,23,1,-83,-49,-86,-84,-74,35,0.763898914,Lazio
2020-03-25,141,12,27.23932984,42,7,23,1,-84,-50,-85,-84,-74,35,0.750582353,Lazio
2020-03-26,139,11,73.68108945,25,7,18,1,-86,-55,-88,-86,-76,37,0.739933257,Lazio
2020-03-27,136,14.5,67.72861956,21,6,17,3,-84,-49,-86,-84,-74,37,0.730671286,Lazio
2020-03-28,136,14,65.3793381,17,31,15,3,-87,-54,-88,-82,-63,27,0.721776345,Lazio
2020-03-29,106,16,63.39544034,50,56,18,4,-94,-77,-91,-88,-64,24,0.717384138,Lazio
